Cache Initialized. size: 32GB
hit ratio:0.75528,time:18189
hit ratio:0.758585,time:21021
hit ratio:0.771157,time:22604
hit ratio:0.775962,time:23830
hit ratio:0.779334,time:24897
hit ratio:0.783657,time:25919
hit ratio:0.780867,time:26876
hit ratio:0.774087,time:27738
hit ratio:0.773402,time:28533
hit ratio:0.778764,time:29064
hit ratio:0.78267,time:29592
hit ratio:0.785768,time:30023
hit ratio:0.785002,time:30630
hit ratio:0.782709,time:31031
hit ratio:0.778787,time:31302
hit ratio:0.777526,time:31587
hit ratio:0.774581,time:31830
hit ratio:0.772337,time:32146
hit ratio:0.769812,time:32440
hit ratio:0.770578,time:32730
hit ratio:0.771485,time:33020
hit ratio:0.770914,time:33350
hit ratio:0.771013,time:33639
hit ratio:0.769783,time:33924
hit ratio:0.769336,time:34163
hit ratio:0.769582,time:34400
hit ratio:0.7682,time:34721
hit ratio:0.76645,time:35066
hit ratio:0.765139,time:35315
hit ratio:0.765124,time:35528
hit ratio:0.765357,time:35746
hit ratio:0.765749,time:35973
hit ratio:0.766167,time:36207
hit ratio:0.766721,time:36435
hit ratio:0.767496,time:36679
hit ratio:0.768214,time:36924
hit ratio:0.768759,time:37160
hit ratio:0.769246,time:37396
hit ratio:0.769671,time:37616
hit ratio:0.769871,time:37844
hit ratio:0.770222,time:38090
hit ratio:0.77062,time:38314
hit ratio:0.77078,time:38510
hit ratio:0.770527,time:38717
hit ratio:0.770344,time:38920
hit ratio:0.770074,time:39130
hit ratio:0.769898,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.769579,time:39568
hit ratio:0.769468,time:39775
hit ratio:0.769194,time:39999
hit ratio:0.769266,time:40219
hit ratio:0.769201,time:40457
hit ratio:0.769394,time:40679
hit ratio:0.769654,time:40899
hit ratio:0.770109,time:41106
hit ratio:0.770622,time:41306
hit ratio:0.770992,time:41502
hit ratio:0.771447,time:41702
hit ratio:0.771816,time:41924
hit ratio:0.772134,time:42155
hit ratio:0.77255,time:42411
hit ratio:0.772902,time:42688
hit ratio:0.773271,time:43008
hit ratio:0.773422,time:43381
hit ratio:0.773281,time:43781
hit ratio:0.773084,time:44273
hit ratio:0.772779,time:44928
hit ratio:0.772532,time:45574
hit ratio:0.772384,time:46169
hit ratio:0.77163,time:46868
hit ratio:0.770904,time:47632
hit ratio:0.770546,time:48402
hit ratio:0.769984,time:49090
hit ratio:0.769805,time:49766
hit ratio:0.769694,time:50510
hit ratio:0.769573,time:51321
hit ratio:0.770069,time:51998
hit ratio:0.771575,time:52442
hit ratio:0.773109,time:52925
hit ratio:0.774151,time:53504
hit ratio:0.774986,time:54086
hit ratio:0.776068,time:54697
hit ratio:0.777115,time:55237
hit ratio:0.779008,time:55417
hit ratio:0.780809,time:55577
hit ratio:0.782468,time:55742
hit ratio:0.783515,time:56002
hit ratio:0.784525,time:56245
hit ratio:0.785441,time:56515
hit ratio:0.785938,time:56859
hit ratio:0.786569,time:57190
hit ratio:0.787241,time:57581
hit ratio:0.787929,time:58073
hit ratio:0.78888,time:58553
hit ratio:0.789925,time:58975
hit ratio:0.790849,time:59454
hit ratio:0.791448,time:59903
hit ratio:0.792155,time:60334
hit ratio:0.792955,time:60780
hit ratio:0.793764,time:61208
hit ratio:0.794649,time:61714
hit ratio:0.79564,time:62308
hit ratio:0.796609,time:62828
hit ratio:0.797419,time:63254
hit ratio:0.798315,time:63603
hit ratio:0.799206,time:63949
hit ratio:0.800002,time:64299
hit ratio:0.800795,time:64638
hit ratio:0.801618,time:64969
hit ratio:0.802516,time:65336
hit ratio:0.803496,time:65627
hit ratio:0.804494,time:65870
hit ratio:0.805508,time:66118
hit ratio:0.806596,time:66372
hit ratio:0.807406,time:66723
hit ratio:0.808238,time:67135
hit ratio:0.809213,time:67420
hit ratio:0.809959,time:67881
hit ratio:0.81083,time:68339
hit ratio:0.812105,time:68506
hit ratio:0.813401,time:68642
hit ratio:0.814689,time:68775
hit ratio:0.815921,time:68922
hit ratio:0.816729,time:69287
hit ratio:0.817324,time:69705
hit ratio:0.817644,time:70151
hit ratio:0.818273,time:70544
hit ratio:0.819122,time:70854
hit ratio:0.819879,time:71161
hit ratio:0.820781,time:71419
hit ratio:0.821634,time:71705
hit ratio:0.822463,time:72004
hit ratio:0.823374,time:72237
hit ratio:0.824286,time:72515
hit ratio:0.825084,time:72861
hit ratio:0.826005,time:73119
hit ratio:0.827054,time:73281
hit ratio:0.828124,time:73402
hit ratio:0.829131,time:73560
hit ratio:0.830103,time:73726
hit ratio:0.83106,time:73861
hit ratio:0.831935,time:74039
hit ratio:0.832672,time:74313
hit ratio:0.833488,time:74516
hit ratio:0.834194,time:74793
hit ratio:0.834752,time:75160
hit ratio:0.835418,time:75421
hit ratio:0.836178,time:75634
hit ratio:0.836705,time:75950
hit ratio:0.837371,time:76167
hit ratio:0.838098,time:76341
hit ratio:0.838878,time:76486
hit ratio:0.839618,time:76640
hit ratio:0.840282,time:76816
hit ratio:0.840903,time:77017
hit ratio:0.84159,time:77192
hit ratio:0.842224,time:77369
hit ratio:0.842827,time:77572
hit ratio:0.843429,time:77782
hit ratio:0.843964,time:77973
hit ratio:0.844534,time:78138
hit ratio:0.845168,time:78270
hit ratio:0.84586,time:78396
hit ratio:0.846515,time:78535
hit ratio:0.847106,time:78687
hit ratio:0.847622,time:78861
hit ratio:0.848156,time:79061
hit ratio:0.848662,time:79303
hit ratio:0.849123,time:79583
hit ratio:0.849576,time:79842
hit ratio:0.849847,time:80227
hit ratio:0.849906,time:80763
hit ratio:0.84976,time:81477
hit ratio:0.84942,time:82221
hit ratio:0.849097,time:82927
hit ratio:0.848818,time:83694
hit ratio:0.848642,time:84501
hit ratio:0.848556,time:85306
hit ratio:0.84846,time:86179
hit ratio:0.848287,time:87248
hit ratio:0.848188,time:88374
hit ratio:0.848144,time:89443
hit ratio:0.848056,time:90633
hit ratio:0.848004,time:91839
hit ratio:0.847896,time:92839
hit ratio:0.847542,time:93747
hit ratio:0.847249,time:94776
hit ratio:0.846881,time:95887
hit ratio:0.846724,time:97113
hit ratio:0.846535,time:98244
hit ratio:0.846222,time:99309
hit ratio:0.845812,time:100500
hit ratio:0.845467,time:101661
hit ratio:0.84523,time:102715
hit ratio:0.845161,time:103708
hit ratio:0.845203,time:104736
hit ratio:0.845154,time:105586
hit ratio:0.845252,time:106382
hit ratio:0.845291,time:107122
hit ratio:0.845279,time:107885
hit ratio:0.845144,time:108840
hit ratio:0.845101,time:109734
hit ratio:0.845017,time:110568
hit ratio:0.844887,time:111455
hit ratio:0.844791,time:112180
hit ratio:0.844544,time:112698
hit ratio:0.844233,time:113004
hit ratio:0.843943,time:113342
hit ratio:0.843552,time:113740
