FreeMem Rebalancing init. Cache Initialized. size: 64GB
hit ratio:0.75528,time:18189
hit ratio:0.76,time:21021
hit ratio:0.780247,time:22604
hit ratio:0.789485,time:23830
hit ratio:0.793756,time:24897
hit ratio:0.797338,time:25919
hit ratio:0.795683,time:26876
hit ratio:0.790389,time:27738
hit ratio:0.790109,time:28533
hit ratio:0.795079,time:29064
hit ratio:0.799277,time:29592
hit ratio:0.802694,time:30023
hit ratio:0.802386,time:30630
hit ratio:0.800114,time:31031
hit ratio:0.796508,time:31302
hit ratio:0.795307,time:31587
hit ratio:0.792711,time:31830
hit ratio:0.790721,time:32146
hit ratio:0.788742,time:32440
hit ratio:0.789553,time:32730
hit ratio:0.790527,time:33020
hit ratio:0.790151,time:33350
hit ratio:0.790363,time:33639
hit ratio:0.789253,time:33924
hit ratio:0.788949,time:34163
hit ratio:0.789166,time:34400
hit ratio:0.787873,time:34721
hit ratio:0.786232,time:35066
hit ratio:0.785025,time:35315
hit ratio:0.785169,time:35528
hit ratio:0.785593,time:35746
hit ratio:0.786066,time:35973
hit ratio:0.786496,time:36207
hit ratio:0.78702,time:36435
hit ratio:0.787695,time:36679
hit ratio:0.788427,time:36924
hit ratio:0.788951,time:37160
hit ratio:0.789437,time:37396
hit ratio:0.789882,time:37616
hit ratio:0.790097,time:37844
hit ratio:0.790437,time:38090
hit ratio:0.790823,time:38314
hit ratio:0.791,time:38510
hit ratio:0.790753,time:38717
hit ratio:0.790581,time:38920
hit ratio:0.790353,time:39130
hit ratio:0.790193,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.78989,time:39568
hit ratio:0.789809,time:39775
hit ratio:0.789573,time:39999
hit ratio:0.789684,time:40219
hit ratio:0.789657,time:40457
hit ratio:0.789877,time:40679
hit ratio:0.790189,time:40899
hit ratio:0.790705,time:41106
hit ratio:0.791249,time:41306
hit ratio:0.79167,time:41502
hit ratio:0.792142,time:41702
hit ratio:0.792461,time:41924
hit ratio:0.792723,time:42155
hit ratio:0.793076,time:42411
hit ratio:0.793367,time:42688
hit ratio:0.793671,time:43008
hit ratio:0.793771,time:43381
hit ratio:0.793555,time:43781
hit ratio:0.793305,time:44273
hit ratio:0.793002,time:44928
hit ratio:0.792787,time:45574
hit ratio:0.792645,time:46169
hit ratio:0.791925,time:46868
hit ratio:0.791222,time:47632
hit ratio:0.790872,time:48402
hit ratio:0.790337,time:49090
hit ratio:0.790226,time:49766
hit ratio:0.790282,time:50510
hit ratio:0.790332,time:51321
hit ratio:0.790925,time:51998
hit ratio:0.792411,time:52442
hit ratio:0.79393,time:52925
hit ratio:0.795033,time:53504
hit ratio:0.795989,time:54086
hit ratio:0.797144,time:54697
hit ratio:0.798265,time:55237
hit ratio:0.800008,time:55417
hit ratio:0.801667,time:55577
hit ratio:0.803227,time:55742
hit ratio:0.804229,time:56002
hit ratio:0.805224,time:56245
hit ratio:0.806141,time:56515
hit ratio:0.806698,time:56859
hit ratio:0.807375,time:57190
hit ratio:0.808044,time:57581
hit ratio:0.808796,time:58073
hit ratio:0.809746,time:58553
hit ratio:0.810791,time:58975
hit ratio:0.811767,time:59454
hit ratio:0.812492,time:59903
hit ratio:0.813326,time:60334
hit ratio:0.81422,time:60780
hit ratio:0.8151,time:61208
hit ratio:0.816059,time:61714
hit ratio:0.817138,time:62308
hit ratio:0.818206,time:62828
hit ratio:0.819211,time:63254
hit ratio:0.820322,time:63603
hit ratio:0.821402,time:63949
hit ratio:0.822414,time:64299
hit ratio:0.8234,time:64638
hit ratio:0.824387,time:64969
hit ratio:0.82543,time:65336
hit ratio:0.826506,time:65627
hit ratio:0.827533,time:65870
hit ratio:0.828584,time:66118
hit ratio:0.829683,time:66372
hit ratio:0.830576,time:66723
hit ratio:0.831472,time:67135
hit ratio:0.832468,time:67420
hit ratio:0.833251,time:67881
hit ratio:0.83414,time:68339
hit ratio:0.835308,time:68506
hit ratio:0.836492,time:68642
hit ratio:0.837654,time:68775
hit ratio:0.838773,time:68922
hit ratio:0.839546,time:69287
hit ratio:0.840147,time:69705
hit ratio:0.840485,time:70151
hit ratio:0.841117,time:70544
hit ratio:0.841914,time:70854
hit ratio:0.842616,time:71161
hit ratio:0.843423,time:71419
hit ratio:0.844199,time:71705
hit ratio:0.844953,time:72004
hit ratio:0.845782,time:72237
hit ratio:0.846608,time:72515
hit ratio:0.847343,time:72861
hit ratio:0.848169,time:73119
hit ratio:0.849098,time:73281
hit ratio:0.85004,time:73402
hit ratio:0.850925,time:73560
hit ratio:0.851771,time:73726
hit ratio:0.852629,time:73861
hit ratio:0.853396,time:74039
hit ratio:0.854068,time:74313
hit ratio:0.854786,time:74516
hit ratio:0.855408,time:74793
hit ratio:0.855907,time:75160
hit ratio:0.856506,time:75421
hit ratio:0.857171,time:75634
hit ratio:0.857641,time:75950
hit ratio:0.858221,time:76167
hit ratio:0.858848,time:76341
hit ratio:0.859528,time:76486
hit ratio:0.860175,time:76640
hit ratio:0.860747,time:76816
hit ratio:0.861311,time:77017
hit ratio:0.861921,time:77192
hit ratio:0.862472,time:77369
hit ratio:0.863004,time:77572
hit ratio:0.863531,time:77782
hit ratio:0.863992,time:77973
hit ratio:0.86448,time:78138
hit ratio:0.865033,time:78270
hit ratio:0.865635,time:78396
hit ratio:0.866207,time:78535
hit ratio:0.86673,time:78687
hit ratio:0.867175,time:78861
hit ratio:0.867645,time:79061
hit ratio:0.868089,time:79303
hit ratio:0.868486,time:79583
hit ratio:0.868888,time:79842
hit ratio:0.86914,time:80227
hit ratio:0.869179,time:80763
hit ratio:0.869037,time:81477
hit ratio:0.868697,time:82221
hit ratio:0.8684,time:82927
hit ratio:0.868133,time:83694
hit ratio:0.868005,time:84501
hit ratio:0.867919,time:85306
hit ratio:0.867808,time:86179
hit ratio:0.867625,time:87248
hit ratio:0.867506,time:88374
hit ratio:0.86746,time:89443
hit ratio:0.867371,time:90633
hit ratio:0.867293,time:91839
hit ratio:0.867164,time:92839
hit ratio:0.866784,time:93747
hit ratio:0.866484,time:94776
hit ratio:0.866116,time:95887
hit ratio:0.865914,time:97113
hit ratio:0.865725,time:98244
hit ratio:0.865398,time:99309
hit ratio:0.865022,time:100500
hit ratio:0.864672,time:101661
hit ratio:0.86445,time:102715
hit ratio:0.864343,time:103708
hit ratio:0.86434,time:104736
hit ratio:0.864271,time:105586
hit ratio:0.864353,time:106382
hit ratio:0.864395,time:107122
hit ratio:0.864366,time:107885
hit ratio:0.864228,time:108840
hit ratio:0.864167,time:109734
hit ratio:0.864109,time:110568
hit ratio:0.864001,time:111455
hit ratio:0.863966,time:112180
hit ratio:0.86376,time:112698
hit ratio:0.863456,time:113004
hit ratio:0.863208,time:113342
hit ratio:0.862862,time:113740
hit ratio:0.862381,time:113932
hit ratio:0.861859,time:114137
hit ratio:0.861347,time:114370
hit ratio:0.860927,time:114597
hit ratio:0.860547,time:114850
hit ratio:0.860189,time:115090
hit ratio:0.85991,time:115414
hit ratio:0.859784,time:115661
hit ratio:0.859705,time:115827
hit ratio:0.859605,time:115967
hit ratio:0.859568,time:116092
hit ratio:0.859517,time:116205
hit ratio:0.859456,time:116308
hit ratio:0.859438,time:116410
hit ratio:0.859457,time:116506
hit ratio:0.859527,time:116598
hit ratio:0.859573,time:116689
hit ratio:0.859623,time:116786
hit ratio:0.85965,time:116883
hit ratio:0.859672,time:116981
hit ratio:0.85968,time:117081
hit ratio:0.85967,time:117184
hit ratio:0.859662,time:117288
hit ratio:0.859694,time:117394
hit ratio:0.85977,time:117503
hit ratio:0.859884,time:117606
hit ratio:0.85995,time:117715
hit ratio:0.860047,time:117826
hit ratio:0.860092,time:117928
hit ratio:0.860174,time:118033
hit ratio:0.860232,time:118148
hit ratio:0.860236,time:118269
hit ratio:0.860257,time:118391
hit ratio:0.860249,time:118507
hit ratio:0.860244,time:118622
hit ratio:0.860212,time:118733
hit ratio:0.860169,time:118830
hit ratio:0.860153,time:118937
hit ratio:0.860136,time:119046
hit ratio:0.860139,time:119154
hit ratio:0.860092,time:119259
hit ratio:0.860004,time:119368
hit ratio:0.859957,time:119472
hit ratio:0.859946,time:119572
hit ratio:0.859882,time:119678
hit ratio:0.859834,time:119792
hit ratio:0.859784,time:119901
hit ratio:0.859712,time:120014
hit ratio:0.859606,time:120124
hit ratio:0.859517,time:120230
hit ratio:0.859499,time:120332
hit ratio:0.859473,time:120427
hit ratio:0.859423,time:120519
hit ratio:0.859392,time:120609
hit ratio:0.859384,time:120697
hit ratio:0.859372,time:120783
hit ratio:0.859347,time:120872
hit ratio:0.859304,time:120963
hit ratio:0.859247,time:121063
hit ratio:0.859201,time:121160
hit ratio:0.859151,time:121264
hit ratio:0.859085,time:121382
hit ratio:0.858991,time:121509
hit ratio:0.858909,time:121633
hit ratio:0.858816,time:121759
hit ratio:0.858689,time:121891
hit ratio:0.85857,time:122018
hit ratio:0.858457,time:122151
hit ratio:0.858344,time:122271
hit ratio:0.858279,time:122376
hit ratio:0.858251,time:122480
hit ratio:0.858242,time:122573
hit ratio:0.858237,time:122664
hit ratio:0.858244,time:122750
hit ratio:0.858242,time:122835
hit ratio:0.858249,time:122920
hit ratio:0.85823,time:123012
hit ratio:0.858215,time:123105
hit ratio:0.858219,time:123197
hit ratio:0.858223,time:123294
hit ratio:0.858213,time:123395
hit ratio:0.858189,time:123494
hit ratio:0.858134,time:123599
hit ratio:0.858072,time:123704
hit ratio:0.858015,time:123807
hit ratio:0.857946,time:123912
hit ratio:0.857885,time:124016
hit ratio:0.857817,time:124112
hit ratio:0.857726,time:124210
hit ratio:0.857642,time:124309
hit ratio:0.857562,time:124409
hit ratio:0.857512,time:124510
hit ratio:0.857481,time:124610
hit ratio:0.857465,time:124712
hit ratio:0.857459,time:124819
hit ratio:0.857445,time:124923
hit ratio:0.857437,time:125025
hit ratio:0.857396,time:125142
hit ratio:0.857308,time:125268
hit ratio:0.857225,time:125385
hit ratio:0.857163,time:125509
hit ratio:0.857096,time:125649
hit ratio:0.857026,time:125808
hit ratio:0.856947,time:125956
hit ratio:0.856947,time:126084
hit ratio:0.856924,time:126220
hit ratio:0.856857,time:126366
hit ratio:0.856789,time:126524
hit ratio:0.856729,time:126682
hit ratio:0.856677,time:126858
