LruTailAge Rebalancing init. Cache Initialized. size: 8GB
alloc failed. 17957,10660007414015541166,704,95573
alloc failed. 17957,10660007414015541166,704,871374
hit ratio:0.75332,time:18189
alloc failed. 20061,14418139917491533242,698,703721
hit ratio:0.73163,time:21021
hit ratio:0.729697,time:22604
hit ratio:0.730353,time:23830
hit ratio:0.73243,time:24897
hit ratio:0.736458,time:25919
hit ratio:0.733116,time:26876
hit ratio:0.727135,time:27738
hit ratio:0.727399,time:28533
hit ratio:0.733282,time:29064
hit ratio:0.737813,time:29592
hit ratio:0.741816,time:30023
hit ratio:0.741425,time:30630
hit ratio:0.739246,time:31031
hit ratio:0.735143,time:31302
hit ratio:0.734023,time:31587
hit ratio:0.730954,time:31830
hit ratio:0.728727,time:32146
hit ratio:0.725585,time:32440
hit ratio:0.726093,time:32730
hit ratio:0.727055,time:33020
hit ratio:0.726161,time:33350
hit ratio:0.725936,time:33639
hit ratio:0.72387,time:33924
hit ratio:0.722831,time:34163
hit ratio:0.722868,time:34400
hit ratio:0.721303,time:34721
hit ratio:0.719355,time:35066
hit ratio:0.717558,time:35315
hit ratio:0.716932,time:35528
hit ratio:0.716503,time:35746
hit ratio:0.716623,time:35973
hit ratio:0.717155,time:36207
hit ratio:0.717848,time:36435
hit ratio:0.718733,time:36679
hit ratio:0.719491,time:36924
hit ratio:0.719806,time:37160
hit ratio:0.719808,time:37396
hit ratio:0.719807,time:37616
hit ratio:0.719826,time:37844
hit ratio:0.720252,time:38090
hit ratio:0.720725,time:38314
hit ratio:0.72088,time:38510
hit ratio:0.72041,time:38717
hit ratio:0.720186,time:38920
hit ratio:0.719905,time:39130
hit ratio:0.719755,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.719456,time:39568
hit ratio:0.719215,time:39775
hit ratio:0.718766,time:39999
hit ratio:0.718763,time:40219
hit ratio:0.718694,time:40457
hit ratio:0.718829,time:40679
hit ratio:0.719005,time:40899
hit ratio:0.719396,time:41106
hit ratio:0.719799,time:41306
hit ratio:0.720125,time:41502
hit ratio:0.720636,time:41702
hit ratio:0.721175,time:41924
hit ratio:0.721599,time:42155
hit ratio:0.722263,time:42411
hit ratio:0.722865,time:42688
hit ratio:0.723556,time:43008
hit ratio:0.724105,time:43381
hit ratio:0.724339,time:43781
hit ratio:0.724299,time:44273
hit ratio:0.724192,time:44928
hit ratio:0.724042,time:45574
hit ratio:0.72411,time:46169
hit ratio:0.723447,time:46868
hit ratio:0.722837,time:47632
hit ratio:0.722508,time:48402
hit ratio:0.721935,time:49090
hit ratio:0.72174,time:49766
hit ratio:0.721537,time:50510
hit ratio:0.721281,time:51321
hit ratio:0.721656,time:51998
hit ratio:0.723282,time:52442
hit ratio:0.724925,time:52925
hit ratio:0.725955,time:53504
hit ratio:0.726705,time:54086
hit ratio:0.727722,time:54697
hit ratio:0.728592,time:55237
hit ratio:0.72972,time:55417
hit ratio:0.730677,time:55577
hit ratio:0.731334,time:55742
hit ratio:0.73166,time:56002
hit ratio:0.732181,time:56245
hit ratio:0.732656,time:56515
hit ratio:0.732636,time:56859
hit ratio:0.732472,time:57190
hit ratio:0.732717,time:57581
hit ratio:0.733104,time:58073
hit ratio:0.733804,time:58553
hit ratio:0.734471,time:58975
hit ratio:0.734976,time:59454
hit ratio:0.735101,time:59903
hit ratio:0.735426,time:60334
hit ratio:0.735786,time:60780
hit ratio:0.736124,time:61208
hit ratio:0.736613,time:61714
hit ratio:0.737231,time:62308
hit ratio:0.737904,time:62828
hit ratio:0.73826,time:63254
hit ratio:0.738742,time:63603
hit ratio:0.739173,time:63949
hit ratio:0.739525,time:64299
hit ratio:0.739795,time:64638
hit ratio:0.74011,time:64969
hit ratio:0.740572,time:65336
hit ratio:0.741293,time:65627
hit ratio:0.742161,time:65870
hit ratio:0.743091,time:66118
hit ratio:0.74413,time:66372
hit ratio:0.744773,time:66723
hit ratio:0.7454,time:67135
hit ratio:0.74637,time:67420
hit ratio:0.746898,time:67881
hit ratio:0.74764,time:68339
hit ratio:0.749168,time:68506
hit ratio:0.75075,time:68642
hit ratio:0.752295,time:68775
hit ratio:0.753764,time:68922
hit ratio:0.75449,time:69287
hit ratio:0.754866,time:69705
hit ratio:0.754944,time:70151
hit ratio:0.755439,time:70544
hit ratio:0.756203,time:70854
hit ratio:0.756935,time:71161
hit ratio:0.757949,time:71419
hit ratio:0.758868,time:71705
hit ratio:0.75976,time:72004
hit ratio:0.760786,time:72237
hit ratio:0.761833,time:72515
hit ratio:0.762695,time:72861
hit ratio:0.763752,time:73119
hit ratio:0.765058,time:73281
hit ratio:0.766422,time:73402
hit ratio:0.767686,time:73560
hit ratio:0.768923,time:73726
hit ratio:0.770155,time:73861
hit ratio:0.771231,time:74039
hit ratio:0.772105,time:74313
hit ratio:0.773114,time:74516
hit ratio:0.773942,time:74793
hit ratio:0.774551,time:75160
hit ratio:0.775346,time:75421
hit ratio:0.776328,time:75634
hit ratio:0.776971,time:75950
hit ratio:0.777822,time:76167
hit ratio:0.778752,time:76341
hit ratio:0.779753,time:76486
hit ratio:0.780692,time:76640
hit ratio:0.781543,time:76816
hit ratio:0.782331,time:77017
hit ratio:0.78318,time:77192
hit ratio:0.783948,time:77369
hit ratio:0.784674,time:77572
hit ratio:0.78542,time:77782
hit ratio:0.786117,time:77973
hit ratio:0.78687,time:78138
hit ratio:0.787713,time:78270
hit ratio:0.788634,time:78396
hit ratio:0.789484,time:78535
hit ratio:0.790241,time:78687
hit ratio:0.790916,time:78861
hit ratio:0.791599,time:79061
hit ratio:0.792229,time:79303
hit ratio:0.79278,time:79583
hit ratio:0.793325,time:79842
hit ratio:0.793621,time:80227
hit ratio:0.793705,time:80763
hit ratio:0.793541,time:81477
hit ratio:0.793063,time:82221
hit ratio:0.79256,time:82927
hit ratio:0.792132,time:83694
hit ratio:0.791874,time:84501
hit ratio:0.79165,time:85306
hit ratio:0.791501,time:86179
hit ratio:0.791267,time:87248
hit ratio:0.791062,time:88374
hit ratio:0.790839,time:89443
hit ratio:0.790605,time:90633
hit ratio:0.790546,time:91839
hit ratio:0.790407,time:92839
hit ratio:0.790021,time:93747
hit ratio:0.789705,time:94776
hit ratio:0.789365,time:95887
hit ratio:0.789245,time:97113
hit ratio:0.789103,time:98244
hit ratio:0.78885,time:99309
hit ratio:0.788444,time:100500
hit ratio:0.788078,time:101661
hit ratio:0.787881,time:102715
hit ratio:0.787804,time:103708
hit ratio:0.78782,time:104736
hit ratio:0.787713,time:105586
hit ratio:0.787698,time:106382
hit ratio:0.787649,time:107122
hit ratio:0.787536,time:107885
hit ratio:0.787207,time:108840
hit ratio:0.786998,time:109734
hit ratio:0.786705,time:110568
hit ratio:0.786342,time:111455
hit ratio:0.785937,time:112180
hit ratio:0.785474,time:112698
hit ratio:0.785043,time:113004
hit ratio:0.784642,time:113342
hit ratio:0.784138,time:113740
hit ratio:0.783502,time:113932
hit ratio:0.782745,time:114137
hit ratio:0.78196,time:114370
hit ratio:0.781324,time:114597
hit ratio:0.780719,time:114850
hit ratio:0.780194,time:115090
hit ratio:0.779692,time:115414
hit ratio:0.779292,time:115661
hit ratio:0.778785,time:115827
hit ratio:0.778252,time:115967
hit ratio:0.77775,time:116092
hit ratio:0.777307,time:116205
hit ratio:0.776897,time:116308
hit ratio:0.77658,time:116410
hit ratio:0.776296,time:116506
hit ratio:0.776062,time:116598
hit ratio:0.775804,time:116689
hit ratio:0.775541,time:116786
hit ratio:0.775266,time:116883
hit ratio:0.774971,time:116981
hit ratio:0.77469,time:117081
hit ratio:0.77441,time:117184
hit ratio:0.774111,time:117288
hit ratio:0.773786,time:117394
hit ratio:0.773462,time:117503
hit ratio:0.773152,time:117606
hit ratio:0.772794,time:117715
hit ratio:0.772541,time:117826
hit ratio:0.772187,time:117928
hit ratio:0.771852,time:118033
hit ratio:0.771557,time:118148
hit ratio:0.771248,time:118269
hit ratio:0.770924,time:118391
hit ratio:0.770601,time:118507
hit ratio:0.770274,time:118622
hit ratio:0.769914,time:118733
hit ratio:0.769555,time:118830
hit ratio:0.769226,time:118937
hit ratio:0.768857,time:119046
hit ratio:0.768523,time:119154
hit ratio:0.768156,time:119259
hit ratio:0.767764,time:119368
hit ratio:0.767401,time:119472
hit ratio:0.767103,time:119572
hit ratio:0.766793,time:119678
hit ratio:0.766483,time:119792
hit ratio:0.766204,time:119901
hit ratio:0.765923,time:120014
hit ratio:0.765627,time:120124
hit ratio:0.765335,time:120230
hit ratio:0.765115,time:120332
hit ratio:0.764856,time:120427
hit ratio:0.764575,time:120519
hit ratio:0.764364,time:120609
hit ratio:0.764154,time:120697
hit ratio:0.763962,time:120783
hit ratio:0.763767,time:120872
hit ratio:0.763553,time:120963
hit ratio:0.763326,time:121063
hit ratio:0.763107,time:121160
hit ratio:0.762877,time:121264
hit ratio:0.762659,time:121382
hit ratio:0.76241,time:121509
hit ratio:0.762207,time:121633
hit ratio:0.761992,time:121759
hit ratio:0.761742,time:121891
hit ratio:0.761488,time:122018
hit ratio:0.761239,time:122151
hit ratio:0.760929,time:122271
hit ratio:0.76062,time:122376
hit ratio:0.760329,time:122480
hit ratio:0.760081,time:122573
hit ratio:0.759861,time:122664
hit ratio:0.759649,time:122750
hit ratio:0.759409,time:122835
hit ratio:0.759219,time:122920
hit ratio:0.759052,time:123012
hit ratio:0.758868,time:123105
hit ratio:0.7587,time:123197
hit ratio:0.75857,time:123294
hit ratio:0.758424,time:123395
hit ratio:0.758267,time:123494
hit ratio:0.758082,time:123599
hit ratio:0.757903,time:123704
hit ratio:0.757732,time:123807
hit ratio:0.757528,time:123912
hit ratio:0.757346,time:124016
hit ratio:0.757141,time:124112
hit ratio:0.756936,time:124210
hit ratio:0.756711,time:124309
hit ratio:0.756477,time:124409
hit ratio:0.75628,time:124510
hit ratio:0.756108,time:124610
hit ratio:0.755961,time:124712
hit ratio:0.75581,time:124819
hit ratio:0.75564,time:124923
hit ratio:0.755465,time:125025
hit ratio:0.755269,time:125142
hit ratio:0.755056,time:125268
hit ratio:0.754862,time:125385
hit ratio:0.754683,time:125509
hit ratio:0.754519,time:125649
hit ratio:0.754405,time:125808
hit ratio:0.754255,time:125956
hit ratio:0.754162,time:126084
hit ratio:0.754031,time:126220
hit ratio:0.753858,time:126366
hit ratio:0.753681,time:126524
hit ratio:0.753489,time:126682
hit ratio:0.753282,time:126858
hit ratio:0.753105,time:127052
hit ratio:0.752922,time:127263
hit ratio:0.752751,time:127472
hit ratio:0.752629,time:127680
hit ratio:0.752468,time:127891
hit ratio:0.752313,time:128085
hit ratio:0.752115,time:128285
hit ratio:0.751923,time:128481
hit ratio:0.75178,time:128704
hit ratio:0.751726,time:128971
hit ratio:0.751619,time:129300
hit ratio:0.751485,time:129680
hit ratio:0.751418,time:130099
hit ratio:0.751278,time:130570
hit ratio:0.751124,time:131133
hit ratio:0.750923,time:131829
hit ratio:0.750755,time:132565
hit ratio:0.750582,time:133440
hit ratio:0.750422,time:134340
hit ratio:0.750235,time:135166
hit ratio:0.750042,time:136081
hit ratio:0.749876,time:137037
hit ratio:0.749811,time:138157
hit ratio:0.749755,time:139330
hit ratio:0.749853,time:140497
hit ratio:0.749961,time:141877
hit ratio:0.750021,time:143195
hit ratio:0.750072,time:144612
hit ratio:0.750131,time:146253
hit ratio:0.750275,time:147817
hit ratio:0.750481,time:149349
hit ratio:0.750678,time:150829
hit ratio:0.75084,time:152150
hit ratio:0.750989,time:153400
hit ratio:0.751127,time:154658
hit ratio:0.751206,time:155914
hit ratio:0.751291,time:157097
hit ratio:0.751409,time:158224
hit ratio:0.751499,time:159381
hit ratio:0.751573,time:160451
hit ratio:0.751562,time:161442
hit ratio:0.751602,time:162374
hit ratio:0.751608,time:163242
hit ratio:0.751441,time:164005
hit ratio:0.751329,time:164848
hit ratio:0.751207,time:165716
hit ratio:0.751085,time:166543
hit ratio:0.751022,time:167535
hit ratio:0.750949,time:168558
hit ratio:0.750833,time:169595
hit ratio:0.750787,time:170635
hit ratio:0.750715,time:171738
hit ratio:0.750717,time:172786
hit ratio:0.750753,time:173790
hit ratio:0.750668,time:175018
hit ratio:0.750668,time:176131
hit ratio:0.750611,time:177268
hit ratio:0.750565,time:178574
hit ratio:0.75056,time:179803
hit ratio:0.750607,time:181161
hit ratio:0.750642,time:182549
hit ratio:0.750648,time:184020
hit ratio:0.750678,time:185388
hit ratio:0.750615,time:186713
hit ratio:0.750567,time:187927
hit ratio:0.750508,time:189136
hit ratio:0.750376,time:190131
hit ratio:0.750136,time:190620
hit ratio:0.749872,time:191004
hit ratio:0.749669,time:191317
hit ratio:0.749537,time:191598
hit ratio:0.749376,time:191896
hit ratio:0.749216,time:192174
hit ratio:0.749051,time:192433
hit ratio:0.748881,time:192693
hit ratio:0.748734,time:192962
hit ratio:0.748629,time:193218
hit ratio:0.748496,time:193468
hit ratio:0.748365,time:193718
hit ratio:0.748206,time:193978
hit ratio:0.748062,time:194224
hit ratio:0.747872,time:194467
hit ratio:0.747682,time:194690
hit ratio:0.747501,time:194925
hit ratio:0.747318,time:195133
hit ratio:0.747082,time:195335
hit ratio:0.746895,time:195568
hit ratio:0.746688,time:195825
hit ratio:0.746529,time:196091
hit ratio:0.746352,time:196365
hit ratio:0.746199,time:196630
hit ratio:0.746052,time:196893
hit ratio:0.74592,time:197151
hit ratio:0.745825,time:197402
hit ratio:0.745722,time:197668
hit ratio:0.745614,time:197949
hit ratio:0.745483,time:198235
hit ratio:0.745377,time:198540
hit ratio:0.74529,time:198846
hit ratio:0.745191,time:199132
hit ratio:0.745059,time:199437
hit ratio:0.744938,time:199735
hit ratio:0.744852,time:200028
hit ratio:0.744745,time:200324
hit ratio:0.744603,time:200565
hit ratio:0.744437,time:200833
hit ratio:0.744351,time:201139
hit ratio:0.744319,time:201540
hit ratio:0.744261,time:201936
hit ratio:0.744165,time:202283
hit ratio:0.744041,time:202632
hit ratio:0.743924,time:202971
hit ratio:0.743817,time:203326
hit ratio:0.743752,time:203676
hit ratio:0.7437,time:204032
hit ratio:0.743575,time:204437
hit ratio:0.743478,time:204825
hit ratio:0.743354,time:205220
hit ratio:0.743252,time:205592
hit ratio:0.743138,time:205938
hit ratio:0.743004,time:206272
hit ratio:0.742896,time:206512
hit ratio:0.742776,time:206717
hit ratio:0.74266,time:206926
hit ratio:0.7426,time:207178
hit ratio:0.742538,time:207505
hit ratio:0.742481,time:207856
hit ratio:0.742486,time:208177
hit ratio:0.742479,time:208543
hit ratio:0.742404,time:208815
hit ratio:0.742343,time:209007
hit ratio:0.742277,time:209159
hit ratio:0.74226,time:209307
hit ratio:0.742275,time:209444
hit ratio:0.742315,time:209581
hit ratio:0.742344,time:209728
hit ratio:0.742398,time:209873
hit ratio:0.742429,time:210009
hit ratio:0.742434,time:210134
hit ratio:0.742444,time:210254
hit ratio:0.742475,time:210385
hit ratio:0.742488,time:210551
hit ratio:0.742513,time:210723
hit ratio:0.742521,time:210876
hit ratio:0.742511,time:211025
hit ratio:0.742517,time:211159
hit ratio:0.742552,time:211305
hit ratio:0.742624,time:211476
hit ratio:0.742671,time:211645
hit ratio:0.742708,time:211808
hit ratio:0.742759,time:211954
hit ratio:0.742773,time:212227
hit ratio:0.742741,time:212621
hit ratio:0.742703,time:212989
hit ratio:0.742627,time:213317
hit ratio:0.74259,time:213593
hit ratio:0.742611,time:213911
hit ratio:0.742609,time:214256
hit ratio:0.742584,time:214574
hit ratio:0.742597,time:214878
hit ratio:0.742586,time:215185
hit ratio:0.742549,time:215511
hit ratio:0.742467,time:215846
hit ratio:0.742444,time:216160
hit ratio:0.742432,time:216473
hit ratio:0.74238,time:216789
hit ratio:0.742312,time:217123
hit ratio:0.742236,time:217484
hit ratio:0.742167,time:217848
hit ratio:0.742147,time:218203
hit ratio:0.74218,time:218561
hit ratio:0.742261,time:218977
hit ratio:0.742358,time:219501
hit ratio:0.742453,time:220047
hit ratio:0.742487,time:220650
hit ratio:0.742452,time:221402
hit ratio:0.742462,time:222321
hit ratio:0.742524,time:223557
hit ratio:0.742589,time:225046
hit ratio:0.742682,time:226407
hit ratio:0.742779,time:227687
hit ratio:0.742858,time:229178
hit ratio:0.743026,time:231005
hit ratio:0.743172,time:232379
hit ratio:0.743314,time:233834
hit ratio:0.74343,time:235626
hit ratio:0.743595,time:237022
hit ratio:0.743749,time:238640
hit ratio:0.743903,time:240495
hit ratio:0.743961,time:241813
hit ratio:0.74376,time:242772
hit ratio:0.743831,time:244266
hit ratio:0.743856,time:245543
hit ratio:0.743852,time:246600
hit ratio:0.743793,time:247489
hit ratio:0.74361,time:248227
hit ratio:0.743498,time:248851
hit ratio:0.743492,time:249892
hit ratio:0.743522,time:250866
hit ratio:0.743531,time:251918
hit ratio:0.743513,time:252952
hit ratio:0.7435,time:253975
hit ratio:0.743478,time:254989
hit ratio:0.743486,time:256110
hit ratio:0.743528,time:257360
hit ratio:0.743532,time:258485
hit ratio:0.743529,time:259661
hit ratio:0.74355,time:260870
hit ratio:0.743571,time:262090
hit ratio:0.74357,time:263250
hit ratio:0.743715,time:263981
hit ratio:0.744047,time:264316
hit ratio:0.744372,time:264672
hit ratio:0.744696,time:265000
hit ratio:0.744989,time:265409
hit ratio:0.745273,time:265872
hit ratio:0.745562,time:266333
hit ratio:0.745838,time:266793
hit ratio:0.74597,time:267504
hit ratio:0.746091,time:268274
hit ratio:0.746181,time:269115
hit ratio:0.746237,time:269804
hit ratio:0.746344,time:270501
hit ratio:0.746411,time:271308
hit ratio:0.746514,time:272060
hit ratio:0.746649,time:272873
hit ratio:0.746798,time:273725
hit ratio:0.746955,time:274490
hit ratio:0.747097,time:275216
hit ratio:0.747232,time:276068
hit ratio:0.747327,time:276992
hit ratio:0.747425,time:277843
hit ratio:0.747484,time:278774
hit ratio:0.747497,time:279779
hit ratio:0.747496,time:280793
hit ratio:0.747492,time:281807
hit ratio:0.747465,time:282679
alloc failed. 283529,12824377023861574007,1166180352,67767899
hit ratio:0.747473,time:283587
hit ratio:0.747556,time:284650
hit ratio:0.747647,time:285753
hit ratio:0.747682,time:286759
hit ratio:0.747708,time:287474
hit ratio:0.747729,time:288036
hit ratio:0.747784,time:288485
hit ratio:0.747836,time:288802
hit ratio:0.747899,time:289039
hit ratio:0.74798,time:289235
hit ratio:0.748073,time:289410
hit ratio:0.748194,time:289581
hit ratio:0.748316,time:289746
hit ratio:0.748433,time:289913
hit ratio:0.748551,time:290082
hit ratio:0.748666,time:290241
hit ratio:0.748791,time:290397
hit ratio:0.748933,time:290545
hit ratio:0.749061,time:290696
hit ratio:0.749195,time:290848
hit ratio:0.749336,time:290990
hit ratio:0.749479,time:291132
hit ratio:0.74963,time:291272
hit ratio:0.749768,time:291415
hit ratio:0.749903,time:291557
hit ratio:0.750032,time:291703
hit ratio:0.750175,time:291853
hit ratio:0.750302,time:292009
hit ratio:0.750438,time:292162
hit ratio:0.750566,time:292313
