Cache Initialized. size: 32GB
hit ratio:0.75528,time:18189
hit ratio:0.758815,time:21021
hit ratio:0.772187,time:22604
hit ratio:0.777488,time:23830
hit ratio:0.781376,time:24897
hit ratio:0.785755,time:25919
hit ratio:0.782757,time:26876
hit ratio:0.775944,time:27738
hit ratio:0.775451,time:28533
hit ratio:0.780892,time:29064
hit ratio:0.784855,time:29592
hit ratio:0.787931,time:30023
hit ratio:0.78716,time:30630
hit ratio:0.78497,time:31031
hit ratio:0.781217,time:31302
hit ratio:0.779873,time:31587
hit ratio:0.777062,time:31830
hit ratio:0.774826,time:32146
hit ratio:0.772439,time:32440
hit ratio:0.773256,time:32730
hit ratio:0.774196,time:33020
hit ratio:0.773636,time:33350
hit ratio:0.773837,time:33639
hit ratio:0.772614,time:33924
hit ratio:0.772176,time:34163
hit ratio:0.772438,time:34400
hit ratio:0.771044,time:34721
hit ratio:0.769316,time:35066
hit ratio:0.76805,time:35315
hit ratio:0.768056,time:35528
hit ratio:0.768338,time:35746
hit ratio:0.768705,time:35973
hit ratio:0.769137,time:36207
hit ratio:0.769679,time:36435
hit ratio:0.770459,time:36679
hit ratio:0.771141,time:36924
hit ratio:0.77169,time:37160
hit ratio:0.772181,time:37396
hit ratio:0.772578,time:37616
hit ratio:0.772781,time:37844
hit ratio:0.773139,time:38090
hit ratio:0.773541,time:38314
hit ratio:0.773703,time:38510
hit ratio:0.773452,time:38717
hit ratio:0.77325,time:38920
hit ratio:0.772979,time:39130
hit ratio:0.772797,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.772469,time:39568
hit ratio:0.772365,time:39775
hit ratio:0.772094,time:39999
hit ratio:0.772144,time:40219
hit ratio:0.772088,time:40457
hit ratio:0.772275,time:40679
hit ratio:0.772518,time:40899
hit ratio:0.772992,time:41106
hit ratio:0.773509,time:41306
hit ratio:0.773875,time:41502
hit ratio:0.77434,time:41702
hit ratio:0.774689,time:41924
hit ratio:0.775005,time:42155
hit ratio:0.775406,time:42411
hit ratio:0.775754,time:42688
hit ratio:0.776103,time:43008
hit ratio:0.77623,time:43381
hit ratio:0.776073,time:43781
hit ratio:0.775875,time:44273
hit ratio:0.775549,time:44928
hit ratio:0.775311,time:45574
hit ratio:0.775167,time:46169
hit ratio:0.774411,time:46868
hit ratio:0.77367,time:47632
hit ratio:0.773321,time:48402
hit ratio:0.772737,time:49090
hit ratio:0.772562,time:49766
hit ratio:0.772471,time:50510
hit ratio:0.772352,time:51321
hit ratio:0.77287,time:51998
hit ratio:0.774369,time:52442
hit ratio:0.775894,time:52925
hit ratio:0.776949,time:53504
hit ratio:0.777786,time:54086
hit ratio:0.778865,time:54697
hit ratio:0.779905,time:55237
hit ratio:0.781773,time:55417
hit ratio:0.783548,time:55577
hit ratio:0.785187,time:55742
hit ratio:0.786212,time:56002
hit ratio:0.787217,time:56245
hit ratio:0.788104,time:56515
hit ratio:0.788609,time:56859
hit ratio:0.789221,time:57190
hit ratio:0.789869,time:57581
hit ratio:0.790568,time:58073
hit ratio:0.791485,time:58553
hit ratio:0.792543,time:58975
hit ratio:0.793455,time:59454
hit ratio:0.794058,time:59903
hit ratio:0.794751,time:60334
hit ratio:0.795557,time:60780
hit ratio:0.796349,time:61208
hit ratio:0.797219,time:61714
hit ratio:0.79821,time:62308
hit ratio:0.79916,time:62828
hit ratio:0.79997,time:63254
hit ratio:0.800866,time:63603
hit ratio:0.801752,time:63949
hit ratio:0.802547,time:64299
hit ratio:0.803329,time:64638
hit ratio:0.804141,time:64969
hit ratio:0.805029,time:65336
hit ratio:0.805992,time:65627
hit ratio:0.806981,time:65870
hit ratio:0.807991,time:66118
hit ratio:0.809058,time:66372
hit ratio:0.809866,time:66723
hit ratio:0.810684,time:67135
hit ratio:0.811652,time:67420
hit ratio:0.812391,time:67881
hit ratio:0.813249,time:68339
hit ratio:0.814504,time:68506
hit ratio:0.815791,time:68642
hit ratio:0.817061,time:68775
hit ratio:0.818279,time:68922
hit ratio:0.819083,time:69287
