Cache Initialized. size: 8GB
alloc failed. 17957,10660007414015541166,704,95573
alloc failed. 17957,10660007414015541166,704,871374
hit ratio:0.75358,time:18189
alloc failed. 20061,14418139917491533242,698,703721
hit ratio:0.7326,time:21021
hit ratio:0.731477,time:22604
hit ratio:0.731883,time:23830
hit ratio:0.734144,time:24897
hit ratio:0.738375,time:25919
hit ratio:0.73514,time:26876
hit ratio:0.729198,time:27738
hit ratio:0.72942,time:28533
hit ratio:0.7353,time:29064
hit ratio:0.739738,time:29592
hit ratio:0.743738,time:30023
hit ratio:0.743437,time:30630
hit ratio:0.741326,time:31031
hit ratio:0.737277,time:31302
hit ratio:0.736172,time:31587
hit ratio:0.733158,time:31830
hit ratio:0.730951,time:32146
hit ratio:0.727818,time:32440
hit ratio:0.728338,time:32730
hit ratio:0.729292,time:33020
hit ratio:0.728422,time:33350
hit ratio:0.728239,time:33639
hit ratio:0.726175,time:33924
hit ratio:0.725148,time:34163
hit ratio:0.725179,time:34400
hit ratio:0.723584,time:34721
hit ratio:0.721642,time:35066
hit ratio:0.719887,time:35315
hit ratio:0.719297,time:35528
hit ratio:0.718877,time:35746
hit ratio:0.718981,time:35973
hit ratio:0.719517,time:36207
hit ratio:0.720202,time:36435
hit ratio:0.721067,time:36679
hit ratio:0.721821,time:36924
hit ratio:0.722143,time:37160
hit ratio:0.722152,time:37396
hit ratio:0.722149,time:37616
hit ratio:0.722178,time:37844
hit ratio:0.7226,time:38090
hit ratio:0.723076,time:38314
hit ratio:0.723236,time:38510
hit ratio:0.722763,time:38717
hit ratio:0.722535,time:38920
hit ratio:0.722258,time:39130
hit ratio:0.72212,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.721824,time:39568
hit ratio:0.721593,time:39775
hit ratio:0.721141,time:39999
hit ratio:0.72113,time:40219
hit ratio:0.721052,time:40457
hit ratio:0.721175,time:40679
hit ratio:0.721342,time:40899
hit ratio:0.721737,time:41106
hit ratio:0.722136,time:41306
hit ratio:0.722453,time:41502
hit ratio:0.722961,time:41702
hit ratio:0.723499,time:41924
hit ratio:0.723907,time:42155
hit ratio:0.72456,time:42411
hit ratio:0.725145,time:42688
hit ratio:0.725822,time:43008
hit ratio:0.726348,time:43381
hit ratio:0.726557,time:43781
hit ratio:0.7265,time:44273
hit ratio:0.726384,time:44928
hit ratio:0.726222,time:45574
hit ratio:0.726266,time:46169
hit ratio:0.725605,time:46868
hit ratio:0.724989,time:47632
hit ratio:0.724662,time:48402
hit ratio:0.724092,time:49090
hit ratio:0.723895,time:49766
hit ratio:0.723694,time:50510
hit ratio:0.723447,time:51321
hit ratio:0.723823,time:51998
hit ratio:0.725442,time:52442
hit ratio:0.727077,time:52925
hit ratio:0.728103,time:53504
hit ratio:0.728843,time:54086
hit ratio:0.729849,time:54697
hit ratio:0.730714,time:55237
hit ratio:0.731841,time:55417
hit ratio:0.73279,time:55577
hit ratio:0.733442,time:55742
hit ratio:0.733776,time:56002
hit ratio:0.734315,time:56245
hit ratio:0.7348,time:56515
hit ratio:0.734797,time:56859
hit ratio:0.73465,time:57190
hit ratio:0.734913,time:57581
hit ratio:0.735301,time:58073
