Cache Initialized. size: 16GB
hit ratio:0.75528,time:18189
alloc failed. 20061,14418139917491533242,698,703721
hit ratio:0.74776,time:21021
alloc failed. 21500,7772116986147642388,687,85212708
hit ratio:0.75546,time:22604
hit ratio:0.760827,time:23830
hit ratio:0.765678,time:24897
hit ratio:0.7709,time:25919
hit ratio:0.76886,time:26876
hit ratio:0.763497,time:27738
hit ratio:0.764086,time:28533
hit ratio:0.770209,time:29064
hit ratio:0.774515,time:29592
hit ratio:0.778328,time:30023
hit ratio:0.777877,time:30630
hit ratio:0.775637,time:31031
hit ratio:0.77216,time:31302
hit ratio:0.771186,time:31587
hit ratio:0.768568,time:31830
hit ratio:0.766165,time:32146
hit ratio:0.763891,time:32440
hit ratio:0.764489,time:32730
hit ratio:0.765369,time:33020
hit ratio:0.764593,time:33350
hit ratio:0.764659,time:33639
hit ratio:0.76286,time:33924
hit ratio:0.762044,time:34163
hit ratio:0.762005,time:34400
hit ratio:0.760475,time:34721
hit ratio:0.758443,time:35066
hit ratio:0.756742,time:35315
hit ratio:0.756194,time:35528
hit ratio:0.75586,time:35746
hit ratio:0.755756,time:35973
hit ratio:0.755925,time:36207
hit ratio:0.756318,time:36435
hit ratio:0.756664,time:36679
hit ratio:0.757084,time:36924
hit ratio:0.757229,time:37160
hit ratio:0.757331,time:37396
hit ratio:0.757383,time:37616
hit ratio:0.757264,time:37844
hit ratio:0.757288,time:38090
hit ratio:0.75747,time:38314
hit ratio:0.757406,time:38510
hit ratio:0.756932,time:38717
hit ratio:0.756364,time:38920
hit ratio:0.755817,time:39130
hit ratio:0.755304,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.754653,time:39568
hit ratio:0.754287,time:39775
hit ratio:0.753701,time:39999
hit ratio:0.753569,time:40219
hit ratio:0.753237,time:40457
hit ratio:0.753209,time:40679
hit ratio:0.753193,time:40899
hit ratio:0.753452,time:41106
hit ratio:0.753798,time:41306
hit ratio:0.754059,time:41502
hit ratio:0.754449,time:41702
hit ratio:0.754772,time:41924
hit ratio:0.754985,time:42155
hit ratio:0.755327,time:42411
hit ratio:0.755632,time:42688
hit ratio:0.755984,time:43008
hit ratio:0.756133,time:43381
hit ratio:0.756095,time:43781
hit ratio:0.755922,time:44273
hit ratio:0.755698,time:44928
hit ratio:0.755535,time:45574
hit ratio:0.755537,time:46169
hit ratio:0.754918,time:46868
hit ratio:0.754436,time:47632
hit ratio:0.754185,time:48402
hit ratio:0.753848,time:49090
hit ratio:0.753808,time:49766
hit ratio:0.753796,time:50510
hit ratio:0.753812,time:51321
hit ratio:0.754412,time:51998
hit ratio:0.75599,time:52442
hit ratio:0.757586,time:52925
hit ratio:0.758668,time:53504
hit ratio:0.759489,time:54086
hit ratio:0.760528,time:54697
hit ratio:0.761452,time:55237
hit ratio:0.763238,time:55417
hit ratio:0.76505,time:55577
hit ratio:0.766686,time:55742
hit ratio:0.767639,time:56002
hit ratio:0.768664,time:56245
hit ratio:0.769621,time:56515
hit ratio:0.770132,time:56859
hit ratio:0.770729,time:57190
hit ratio:0.77141,time:57581
hit ratio:0.772137,time:58073
hit ratio:0.773125,time:58553
hit ratio:0.774203,time:58975
hit ratio:0.775087,time:59454
hit ratio:0.775648,time:59903
hit ratio:0.776363,time:60334
hit ratio:0.777087,time:60780
hit ratio:0.777811,time:61208
hit ratio:0.7786,time:61714
hit ratio:0.779488,time:62308
hit ratio:0.78035,time:62828
hit ratio:0.780956,time:63254
hit ratio:0.781585,time:63603
hit ratio:0.782148,time:63949
hit ratio:0.782694,time:64299
hit ratio:0.783179,time:64638
hit ratio:0.783687,time:64969
hit ratio:0.784271,time:65336
hit ratio:0.785099,time:65627
hit ratio:0.786005,time:65870
hit ratio:0.786952,time:66118
hit ratio:0.787975,time:66372
hit ratio:0.78872,time:66723
hit ratio:0.789468,time:67135
hit ratio:0.790474,time:67420
hit ratio:0.791197,time:67881
hit ratio:0.792065,time:68339
hit ratio:0.793436,time:68506
hit ratio:0.794851,time:68642
hit ratio:0.796243,time:68775
hit ratio:0.797572,time:68922
hit ratio:0.798451,time:69287
hit ratio:0.799107,time:69705
hit ratio:0.799495,time:70151
hit ratio:0.800192,time:70544
hit ratio:0.801109,time:70854
hit ratio:0.801958,time:71161
hit ratio:0.802974,time:71419
hit ratio:0.803928,time:71705
hit ratio:0.804856,time:72004
hit ratio:0.805864,time:72237
hit ratio:0.806879,time:72515
hit ratio:0.807773,time:72861
hit ratio:0.808784,time:73119
hit ratio:0.809949,time:73281
hit ratio:0.811144,time:73402
hit ratio:0.812264,time:73560
hit ratio:0.81334,time:73726
hit ratio:0.814424,time:73861
hit ratio:0.815411,time:74039
hit ratio:0.816263,time:74313
hit ratio:0.817194,time:74516
hit ratio:0.818007,time:74793
hit ratio:0.818678,time:75160
hit ratio:0.819466,time:75421
hit ratio:0.820344,time:75634
hit ratio:0.820993,time:75950
hit ratio:0.821768,time:76167
hit ratio:0.822609,time:76341
hit ratio:0.823494,time:76486
hit ratio:0.824345,time:76640
hit ratio:0.825114,time:76816
hit ratio:0.825855,time:77017
hit ratio:0.826636,time:77192
hit ratio:0.827368,time:77369
hit ratio:0.828065,time:77572
hit ratio:0.828745,time:77782
hit ratio:0.829383,time:77973
hit ratio:0.830061,time:78138
hit ratio:0.830791,time:78270
hit ratio:0.831574,time:78396
hit ratio:0.832319,time:78535
hit ratio:0.833002,time:78687
hit ratio:0.833597,time:78861
hit ratio:0.834209,time:79061
hit ratio:0.834796,time:79303
hit ratio:0.835342,time:79583
hit ratio:0.835881,time:79842
hit ratio:0.836225,time:80227
hit ratio:0.836354,time:80763
hit ratio:0.836271,time:81477
hit ratio:0.836038,time:82221
hit ratio:0.835802,time:82927
hit ratio:0.835603,time:83694
hit ratio:0.835511,time:84501
hit ratio:0.83548,time:85306
hit ratio:0.835461,time:86179
hit ratio:0.83536,time:87248
hit ratio:0.835326,time:88374
hit ratio:0.83536,time:89443
hit ratio:0.83531,time:90633
hit ratio:0.835347,time:91839
hit ratio:0.83534,time:92839
hit ratio:0.83505,time:93747
hit ratio:0.834834,time:94776
hit ratio:0.83457,time:95887
hit ratio:0.834529,time:97113
hit ratio:0.834449,time:98244
hit ratio:0.834254,time:99309
hit ratio:0.833958,time:100500
hit ratio:0.833717,time:101661
hit ratio:0.833611,time:102715
hit ratio:0.833625,time:103708
hit ratio:0.833746,time:104736
hit ratio:0.833763,time:105586
hit ratio:0.833913,time:106382
hit ratio:0.83402,time:107122
hit ratio:0.834084,time:107885
hit ratio:0.834013,time:108840
hit ratio:0.834024,time:109734
hit ratio:0.833986,time:110568
hit ratio:0.833859,time:111455
hit ratio:0.833766,time:112180
hit ratio:0.833537,time:112698
hit ratio:0.833262,time:113004
hit ratio:0.833,time:113342
hit ratio:0.832678,time:113740
hit ratio:0.832219,time:113932
hit ratio:0.83169,time:114137
hit ratio:0.831161,time:114370
hit ratio:0.830725,time:114597
hit ratio:0.830327,time:114850
hit ratio:0.829966,time:115090
hit ratio:0.829653,time:115414
hit ratio:0.829487,time:115661
hit ratio:0.829356,time:115827
hit ratio:0.829202,time:115967
hit ratio:0.829098,time:116092
hit ratio:0.828941,time:116205
hit ratio:0.828776,time:116308
hit ratio:0.828676,time:116410
hit ratio:0.828609,time:116506
hit ratio:0.828596,time:116598
hit ratio:0.828568,time:116689
hit ratio:0.828533,time:116786
hit ratio:0.828479,time:116883
hit ratio:0.828398,time:116981
hit ratio:0.828336,time:117081
hit ratio:0.828245,time:117184
hit ratio:0.828143,time:117288
hit ratio:0.828055,time:117394
hit ratio:0.828007,time:117503
hit ratio:0.827957,time:117606
hit ratio:0.827883,time:117715
hit ratio:0.827865,time:117826
hit ratio:0.827799,time:117928
hit ratio:0.827763,time:118033
hit ratio:0.827716,time:118148
hit ratio:0.827625,time:118269
hit ratio:0.827523,time:118391
hit ratio:0.827411,time:118507
hit ratio:0.827301,time:118622
hit ratio:0.827169,time:118733
hit ratio:0.827024,time:118830
hit ratio:0.826915,time:118937
hit ratio:0.826786,time:119046
hit ratio:0.826656,time:119154
hit ratio:0.826464,time:119259
hit ratio:0.826241,time:119368
hit ratio:0.826017,time:119472
hit ratio:0.825877,time:119572
hit ratio:0.825695,time:119678
hit ratio:0.825508,time:119792
hit ratio:0.825359,time:119901
hit ratio:0.825181,time:120014
hit ratio:0.824977,time:120124
hit ratio:0.824811,time:120230
hit ratio:0.824689,time:120332
hit ratio:0.824547,time:120427
hit ratio:0.824384,time:120519
hit ratio:0.824252,time:120609
hit ratio:0.824116,time:120697
hit ratio:0.824009,time:120783
hit ratio:0.823876,time:120872
hit ratio:0.823731,time:120963
hit ratio:0.823562,time:121063
hit ratio:0.823414,time:121160
hit ratio:0.823246,time:121264
hit ratio:0.823064,time:121382
hit ratio:0.822827,time:121509
hit ratio:0.822619,time:121633
hit ratio:0.822414,time:121759
hit ratio:0.822186,time:121891
hit ratio:0.821968,time:122018
hit ratio:0.821734,time:122151
hit ratio:0.821493,time:122271
hit ratio:0.821317,time:122376
hit ratio:0.821179,time:122480
hit ratio:0.821057,time:122573
hit ratio:0.820979,time:122664
hit ratio:0.820897,time:122750
hit ratio:0.820779,time:122835
hit ratio:0.820704,time:122920
hit ratio:0.820613,time:123012
hit ratio:0.82051,time:123105
hit ratio:0.820448,time:123197
hit ratio:0.820389,time:123294
hit ratio:0.820307,time:123395
hit ratio:0.820216,time:123494
hit ratio:0.820072,time:123599
hit ratio:0.81994,time:123704
hit ratio:0.819808,time:123807
hit ratio:0.819671,time:123912
hit ratio:0.819561,time:124016
hit ratio:0.819438,time:124112
hit ratio:0.819297,time:124210
hit ratio:0.819141,time:124309
hit ratio:0.818978,time:124409
hit ratio:0.818862,time:124510
hit ratio:0.818772,time:124610
hit ratio:0.818678,time:124712
hit ratio:0.818598,time:124819
hit ratio:0.81848,time:124923
hit ratio:0.818376,time:125025
hit ratio:0.818232,time:125142
hit ratio:0.818044,time:125268
hit ratio:0.817882,time:125385
hit ratio:0.817737,time:125509
hit ratio:0.817589,time:125649
hit ratio:0.817437,time:125808
hit ratio:0.817294,time:125956
hit ratio:0.817248,time:126084
hit ratio:0.817158,time:126220
hit ratio:0.817033,time:126366
hit ratio:0.81688,time:126524
hit ratio:0.816735,time:126682
hit ratio:0.816589,time:126858
hit ratio:0.816423,time:127052
hit ratio:0.816244,time:127263
hit ratio:0.816086,time:127472
hit ratio:0.815979,time:127680
hit ratio:0.81584,time:127891
hit ratio:0.815722,time:128085
hit ratio:0.815554,time:128285
hit ratio:0.815403,time:128481
hit ratio:0.815302,time:128704
hit ratio:0.81521,time:128971
