FreeMem Rebalancing init. Cache Initialized. size: 16GB
hit ratio:0.75528,time:18189
alloc failed. 20061,14418139917491533242,698,703721
hit ratio:0.74776,time:21021
alloc failed. 21500,7772116986147642388,687,85212708
hit ratio:0.755427,time:22604
hit ratio:0.760827,time:23830
hit ratio:0.765678,time:24897
hit ratio:0.770898,time:25919
hit ratio:0.768867,time:26876
hit ratio:0.763514,time:27738
hit ratio:0.764129,time:28533
hit ratio:0.770237,time:29064
hit ratio:0.774491,time:29592
hit ratio:0.778307,time:30023
hit ratio:0.777922,time:30630
hit ratio:0.77567,time:31031
hit ratio:0.772171,time:31302
hit ratio:0.771194,time:31587
hit ratio:0.768571,time:31830
hit ratio:0.766164,time:32146
hit ratio:0.763881,time:32440
hit ratio:0.764463,time:32730
hit ratio:0.765363,time:33020
hit ratio:0.764598,time:33350
hit ratio:0.764656,time:33639
hit ratio:0.762856,time:33924
hit ratio:0.762058,time:34163
hit ratio:0.762031,time:34400
hit ratio:0.760513,time:34721
hit ratio:0.758493,time:35066
hit ratio:0.756788,time:35315
hit ratio:0.756246,time:35528
hit ratio:0.755916,time:35746
hit ratio:0.755818,time:35973
hit ratio:0.755994,time:36207
hit ratio:0.756373,time:36435
hit ratio:0.756717,time:36679
hit ratio:0.757133,time:36924
hit ratio:0.75727,time:37160
hit ratio:0.757366,time:37396
hit ratio:0.757423,time:37616
hit ratio:0.757293,time:37844
hit ratio:0.757323,time:38090
hit ratio:0.757515,time:38314
hit ratio:0.757448,time:38510
hit ratio:0.756976,time:38717
hit ratio:0.756413,time:38920
hit ratio:0.755868,time:39130
hit ratio:0.755346,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.754689,time:39568
hit ratio:0.754322,time:39775
hit ratio:0.753726,time:39999
hit ratio:0.753593,time:40219
hit ratio:0.753255,time:40457
hit ratio:0.753235,time:40679
hit ratio:0.753216,time:40899
hit ratio:0.753481,time:41106
hit ratio:0.753813,time:41306
hit ratio:0.75408,time:41502
hit ratio:0.754465,time:41702
hit ratio:0.754791,time:41924
hit ratio:0.755004,time:42155
hit ratio:0.755349,time:42411
hit ratio:0.755658,time:42688
hit ratio:0.756014,time:43008
hit ratio:0.756159,time:43381
hit ratio:0.756119,time:43781
hit ratio:0.755937,time:44273
hit ratio:0.755719,time:44928
hit ratio:0.75556,time:45574
hit ratio:0.755563,time:46169
hit ratio:0.754956,time:46868
hit ratio:0.754473,time:47632
hit ratio:0.754223,time:48402
hit ratio:0.753884,time:49090
hit ratio:0.753839,time:49766
hit ratio:0.753827,time:50510
hit ratio:0.753859,time:51321
hit ratio:0.754459,time:51998
hit ratio:0.756043,time:52442
hit ratio:0.757629,time:52925
hit ratio:0.758707,time:53504
hit ratio:0.759533,time:54086
hit ratio:0.760568,time:54697
hit ratio:0.761494,time:55237
hit ratio:0.763281,time:55417
hit ratio:0.765088,time:55577
hit ratio:0.766721,time:55742
hit ratio:0.767678,time:56002
hit ratio:0.768705,time:56245
hit ratio:0.769665,time:56515
hit ratio:0.770172,time:56859
hit ratio:0.770773,time:57190
hit ratio:0.771459,time:57581
hit ratio:0.772189,time:58073
hit ratio:0.773179,time:58553
hit ratio:0.774251,time:58975
hit ratio:0.775145,time:59454
hit ratio:0.775707,time:59903
hit ratio:0.776412,time:60334
hit ratio:0.77714,time:60780
hit ratio:0.777861,time:61208
hit ratio:0.778641,time:61714
hit ratio:0.779521,time:62308
hit ratio:0.780383,time:62828
hit ratio:0.78099,time:63254
hit ratio:0.781614,time:63603
hit ratio:0.782176,time:63949
hit ratio:0.782724,time:64299
hit ratio:0.783211,time:64638
hit ratio:0.783725,time:64969
hit ratio:0.784318,time:65336
hit ratio:0.785148,time:65627
hit ratio:0.786047,time:65870
hit ratio:0.787003,time:66118
hit ratio:0.788025,time:66372
hit ratio:0.788777,time:66723
hit ratio:0.789519,time:67135
hit ratio:0.790529,time:67420
hit ratio:0.791248,time:67881
hit ratio:0.792111,time:68339
hit ratio:0.793483,time:68506
hit ratio:0.794899,time:68642
hit ratio:0.796288,time:68775
hit ratio:0.79762,time:68922
hit ratio:0.798493,time:69287
hit ratio:0.79915,time:69705
hit ratio:0.79954,time:70151
hit ratio:0.800234,time:70544
hit ratio:0.801154,time:70854
hit ratio:0.802,time:71161
hit ratio:0.80301,time:71419
hit ratio:0.803964,time:71705
hit ratio:0.804891,time:72004
hit ratio:0.805899,time:72237
hit ratio:0.806913,time:72515
hit ratio:0.807808,time:72861
hit ratio:0.808819,time:73119
hit ratio:0.809985,time:73281
hit ratio:0.811178,time:73402
hit ratio:0.8123,time:73560
hit ratio:0.813374,time:73726
hit ratio:0.814458,time:73861
hit ratio:0.815445,time:74039
hit ratio:0.816298,time:74313
hit ratio:0.817229,time:74516
hit ratio:0.818046,time:74793
hit ratio:0.818719,time:75160
hit ratio:0.819504,time:75421
hit ratio:0.820385,time:75634
hit ratio:0.821033,time:75950
hit ratio:0.821809,time:76167
hit ratio:0.822649,time:76341
hit ratio:0.823534,time:76486
hit ratio:0.824381,time:76640
hit ratio:0.825152,time:76816
hit ratio:0.825889,time:77017
hit ratio:0.826669,time:77192
hit ratio:0.827404,time:77369
hit ratio:0.828104,time:77572
hit ratio:0.828781,time:77782
hit ratio:0.829418,time:77973
hit ratio:0.830095,time:78138
hit ratio:0.830825,time:78270
hit ratio:0.831605,time:78396
hit ratio:0.832349,time:78535
hit ratio:0.833036,time:78687
hit ratio:0.83363,time:78861
hit ratio:0.83424,time:79061
hit ratio:0.834826,time:79303
hit ratio:0.835372,time:79583
hit ratio:0.835911,time:79842
hit ratio:0.836256,time:80227
hit ratio:0.836385,time:80763
hit ratio:0.836302,time:81477
hit ratio:0.83607,time:82221
hit ratio:0.835832,time:82927
hit ratio:0.835631,time:83694
hit ratio:0.835538,time:84501
hit ratio:0.835509,time:85306
hit ratio:0.835488,time:86179
hit ratio:0.835386,time:87248
hit ratio:0.835352,time:88374
hit ratio:0.835386,time:89443
hit ratio:0.835338,time:90633
hit ratio:0.835375,time:91839
hit ratio:0.835365,time:92839
hit ratio:0.835077,time:93747
hit ratio:0.834861,time:94776
hit ratio:0.834598,time:95887
hit ratio:0.834556,time:97113
hit ratio:0.834473,time:98244
hit ratio:0.834277,time:99309
hit ratio:0.833979,time:100500
hit ratio:0.833744,time:101661
hit ratio:0.833636,time:102715
hit ratio:0.833651,time:103708
hit ratio:0.83377,time:104736
hit ratio:0.833788,time:105586
hit ratio:0.833939,time:106382
hit ratio:0.834046,time:107122
hit ratio:0.834108,time:107885
hit ratio:0.834038,time:108840
hit ratio:0.834046,time:109734
hit ratio:0.834006,time:110568
hit ratio:0.83388,time:111455
hit ratio:0.83379,time:112180
hit ratio:0.833564,time:112698
hit ratio:0.833287,time:113004
hit ratio:0.833025,time:113342
hit ratio:0.832708,time:113740
hit ratio:0.832248,time:113932
hit ratio:0.831719,time:114137
hit ratio:0.831189,time:114370
hit ratio:0.830751,time:114597
hit ratio:0.830354,time:114850
hit ratio:0.829994,time:115090
hit ratio:0.829679,time:115414
hit ratio:0.829515,time:115661
hit ratio:0.829385,time:115827
hit ratio:0.829227,time:115967
hit ratio:0.829127,time:116092
hit ratio:0.82897,time:116205
hit ratio:0.828805,time:116308
hit ratio:0.8287,time:116410
hit ratio:0.828636,time:116506
hit ratio:0.828625,time:116598
hit ratio:0.828592,time:116689
hit ratio:0.828557,time:116786
hit ratio:0.828504,time:116883
hit ratio:0.828423,time:116981
hit ratio:0.82836,time:117081
hit ratio:0.828269,time:117184
hit ratio:0.82817,time:117288
hit ratio:0.828081,time:117394
hit ratio:0.828036,time:117503
hit ratio:0.827985,time:117606
hit ratio:0.827911,time:117715
hit ratio:0.827891,time:117826
hit ratio:0.827824,time:117928
hit ratio:0.827788,time:118033
hit ratio:0.827741,time:118148
hit ratio:0.827651,time:118269
hit ratio:0.827548,time:118391
hit ratio:0.827432,time:118507
hit ratio:0.827324,time:118622
hit ratio:0.827191,time:118733
hit ratio:0.827046,time:118830
hit ratio:0.826936,time:118937
hit ratio:0.826804,time:119046
hit ratio:0.826673,time:119154
hit ratio:0.826479,time:119259
hit ratio:0.826256,time:119368
hit ratio:0.826032,time:119472
hit ratio:0.82589,time:119572
hit ratio:0.825709,time:119678
hit ratio:0.825519,time:119792
hit ratio:0.825372,time:119901
hit ratio:0.825192,time:120014
hit ratio:0.824989,time:120124
hit ratio:0.824822,time:120230
hit ratio:0.824701,time:120332
hit ratio:0.824562,time:120427
hit ratio:0.824397,time:120519
hit ratio:0.824264,time:120609
hit ratio:0.82413,time:120697
hit ratio:0.824023,time:120783
hit ratio:0.82389,time:120872
hit ratio:0.823746,time:120963
hit ratio:0.823577,time:121063
hit ratio:0.823428,time:121160
hit ratio:0.823262,time:121264
hit ratio:0.823077,time:121382
hit ratio:0.82284,time:121509
hit ratio:0.82263,time:121633
hit ratio:0.822425,time:121759
hit ratio:0.822196,time:121891
hit ratio:0.821977,time:122018
hit ratio:0.821743,time:122151
hit ratio:0.821506,time:122271
hit ratio:0.821329,time:122376
hit ratio:0.821194,time:122480
hit ratio:0.821078,time:122573
hit ratio:0.821,time:122664
hit ratio:0.820918,time:122750
hit ratio:0.820801,time:122835
hit ratio:0.820726,time:122920
hit ratio:0.820635,time:123012
hit ratio:0.820531,time:123105
hit ratio:0.820467,time:123197
hit ratio:0.82041,time:123294
hit ratio:0.820325,time:123395
hit ratio:0.820234,time:123494
hit ratio:0.820094,time:123599
hit ratio:0.81996,time:123704
hit ratio:0.819829,time:123807
hit ratio:0.819695,time:123912
hit ratio:0.819581,time:124016
hit ratio:0.819461,time:124112
hit ratio:0.81932,time:124210
hit ratio:0.819165,time:124309
hit ratio:0.819003,time:124409
hit ratio:0.818883,time:124510
hit ratio:0.818795,time:124610
hit ratio:0.818701,time:124712
hit ratio:0.818622,time:124819
hit ratio:0.818503,time:124923
hit ratio:0.818395,time:125025
hit ratio:0.818255,time:125142
hit ratio:0.818071,time:125268
hit ratio:0.817908,time:125385
hit ratio:0.817765,time:125509
hit ratio:0.817617,time:125649
hit ratio:0.817465,time:125808
hit ratio:0.817327,time:125956
hit ratio:0.817282,time:126084
hit ratio:0.817192,time:126220
hit ratio:0.817066,time:126366
hit ratio:0.816914,time:126524
hit ratio:0.816768,time:126682
hit ratio:0.816623,time:126858
hit ratio:0.816456,time:127052
hit ratio:0.816277,time:127263
hit ratio:0.816119,time:127472
hit ratio:0.816015,time:127680
hit ratio:0.815877,time:127891
hit ratio:0.815756,time:128085
hit ratio:0.815589,time:128285
hit ratio:0.815433,time:128481
hit ratio:0.815333,time:128704
