Cache Initialized. size: 128GB
hit ratio:0.75528,time:18189
hit ratio:0.76,time:21021
hit ratio:0.780247,time:22604
hit ratio:0.790785,time:23830
hit ratio:0.799294,time:24897
hit ratio:0.806962,time:25919
hit ratio:0.807516,time:26876
hit ratio:0.803985,time:27738
hit ratio:0.805658,time:28533
hit ratio:0.811544,time:29064
hit ratio:0.816108,time:29592
hit ratio:0.819732,time:30023
hit ratio:0.820022,time:30630
hit ratio:0.818269,time:31031
hit ratio:0.815235,time:31302
hit ratio:0.814388,time:31587
hit ratio:0.812413,time:31830
hit ratio:0.81071,time:32146
hit ratio:0.809311,time:32440
hit ratio:0.810103,time:32730
hit ratio:0.811164,time:33020
hit ratio:0.811075,time:33350
hit ratio:0.811321,time:33639
hit ratio:0.810342,time:33924
hit ratio:0.809935,time:34163
hit ratio:0.810096,time:34400
hit ratio:0.809023,time:34721
hit ratio:0.807554,time:35066
hit ratio:0.806441,time:35315
hit ratio:0.806524,time:35528
hit ratio:0.806958,time:35746
hit ratio:0.807297,time:35973
hit ratio:0.807688,time:36207
hit ratio:0.808204,time:36435
hit ratio:0.808845,time:36679
hit ratio:0.809489,time:36924
hit ratio:0.809988,time:37160
hit ratio:0.810512,time:37396
hit ratio:0.81102,time:37616
hit ratio:0.811266,time:37844
hit ratio:0.811585,time:38090
hit ratio:0.811959,time:38314
hit ratio:0.812159,time:38510
hit ratio:0.81203,time:38717
hit ratio:0.811967,time:38920
hit ratio:0.811809,time:39130
hit ratio:0.811726,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.811506,time:39568
hit ratio:0.811514,time:39775
hit ratio:0.811388,time:39999
hit ratio:0.811549,time:40219
hit ratio:0.811573,time:40457
hit ratio:0.811865,time:40679
hit ratio:0.812187,time:40899
hit ratio:0.812681,time:41106
hit ratio:0.813234,time:41306
hit ratio:0.813666,time:41502
hit ratio:0.814152,time:41702
hit ratio:0.814472,time:41924
hit ratio:0.814752,time:42155
hit ratio:0.815106,time:42411
hit ratio:0.815403,time:42688
hit ratio:0.815695,time:43008
hit ratio:0.815768,time:43381
hit ratio:0.815549,time:43781
hit ratio:0.81535,time:44273
hit ratio:0.815046,time:44928
hit ratio:0.814851,time:45574
hit ratio:0.814713,time:46169
hit ratio:0.814086,time:46868
hit ratio:0.813569,time:47632
hit ratio:0.81331,time:48402
hit ratio:0.812896,time:49090
hit ratio:0.812879,time:49766
hit ratio:0.813064,time:50510
hit ratio:0.813235,time:51321
hit ratio:0.813959,time:51998
hit ratio:0.815375,time:52442
hit ratio:0.816814,time:52925
hit ratio:0.817923,time:53504
hit ratio:0.818943,time:54086
hit ratio:0.820056,time:54697
hit ratio:0.821096,time:55237
hit ratio:0.822643,time:55417
hit ratio:0.82412,time:55577
hit ratio:0.825489,time:55742
hit ratio:0.826403,time:56002
hit ratio:0.827321,time:56245
hit ratio:0.828158,time:56515
hit ratio:0.82872,time:56859
hit ratio:0.829385,time:57190
hit ratio:0.830049,time:57581
hit ratio:0.830751,time:58073
hit ratio:0.831635,time:58553
hit ratio:0.83266,time:58975
hit ratio:0.833642,time:59454
hit ratio:0.834418,time:59903
hit ratio:0.835324,time:60334
hit ratio:0.836266,time:60780
hit ratio:0.837185,time:61208
hit ratio:0.838131,time:61714
hit ratio:0.839191,time:62308
hit ratio:0.840243,time:62828
hit ratio:0.84128,time:63254
hit ratio:0.842399,time:63603
hit ratio:0.843486,time:63949
hit ratio:0.844511,time:64299
hit ratio:0.845513,time:64638
hit ratio:0.846497,time:64969
hit ratio:0.847505,time:65336
hit ratio:0.848533,time:65627
hit ratio:0.849538,time:65870
hit ratio:0.850537,time:66118
hit ratio:0.851559,time:66372
hit ratio:0.852441,time:66723
hit ratio:0.853301,time:67135
hit ratio:0.85422,time:67420
hit ratio:0.855007,time:67881
hit ratio:0.855839,time:68339
hit ratio:0.856878,time:68506
hit ratio:0.857923,time:68642
hit ratio:0.858954,time:68775
hit ratio:0.859953,time:68922
hit ratio:0.860678,time:69287
hit ratio:0.861283,time:69705
hit ratio:0.861678,time:70151
hit ratio:0.862291,time:70544
hit ratio:0.863024,time:70854
hit ratio:0.863676,time:71161
hit ratio:0.864404,time:71419
hit ratio:0.865097,time:71705
hit ratio:0.86579,time:72004
hit ratio:0.866536,time:72237
hit ratio:0.867275,time:72515
hit ratio:0.867935,time:72861
hit ratio:0.868664,time:73119
hit ratio:0.869477,time:73281
hit ratio:0.870304,time:73402
hit ratio:0.871085,time:73560
hit ratio:0.871837,time:73726
hit ratio:0.872587,time:73861
hit ratio:0.873256,time:74039
hit ratio:0.873847,time:74313
hit ratio:0.874484,time:74516
hit ratio:0.875039,time:74793
hit ratio:0.875482,time:75160
hit ratio:0.876011,time:75421
hit ratio:0.876595,time:75634
hit ratio:0.877025,time:75950
hit ratio:0.877538,time:76167
hit ratio:0.878094,time:76341
hit ratio:0.878687,time:76486
hit ratio:0.87925,time:76640
hit ratio:0.879761,time:76816
hit ratio:0.880261,time:77017
hit ratio:0.880797,time:77192
hit ratio:0.881289,time:77369
hit ratio:0.881756,time:77572
hit ratio:0.882213,time:77782
hit ratio:0.88261,time:77973
hit ratio:0.883043,time:78138
hit ratio:0.88352,time:78270
hit ratio:0.884045,time:78396
hit ratio:0.884542,time:78535
hit ratio:0.885013,time:78687
hit ratio:0.885409,time:78861
hit ratio:0.885824,time:79061
hit ratio:0.886216,time:79303
hit ratio:0.88658,time:79583
hit ratio:0.886948,time:79842
hit ratio:0.887187,time:80227
hit ratio:0.88724,time:80763
hit ratio:0.887119,time:81477
hit ratio:0.886834,time:82221
hit ratio:0.886585,time:82927
hit ratio:0.886353,time:83694
hit ratio:0.886233,time:84501
hit ratio:0.886158,time:85306
hit ratio:0.886066,time:86179
hit ratio:0.885915,time:87248
hit ratio:0.885794,time:88374
hit ratio:0.885769,time:89443
hit ratio:0.885667,time:90633
hit ratio:0.885579,time:91839
hit ratio:0.885466,time:92839
hit ratio:0.885088,time:93747
hit ratio:0.884783,time:94776
hit ratio:0.884403,time:95887
hit ratio:0.884188,time:97113
hit ratio:0.88401,time:98244
hit ratio:0.883682,time:99309
hit ratio:0.883307,time:100500
hit ratio:0.882959,time:101661
hit ratio:0.882772,time:102715
hit ratio:0.882656,time:103708
hit ratio:0.882605,time:104736
hit ratio:0.882505,time:105586
hit ratio:0.882567,time:106382
hit ratio:0.882609,time:107122
hit ratio:0.882596,time:107885
hit ratio:0.882472,time:108840
hit ratio:0.882405,time:109734
hit ratio:0.882361,time:110568
hit ratio:0.88226,time:111455
hit ratio:0.882209,time:112180
hit ratio:0.882014,time:112698
hit ratio:0.881728,time:113004
hit ratio:0.881474,time:113342
hit ratio:0.881165,time:113740
hit ratio:0.880767,time:113932
hit ratio:0.88031,time:114137
hit ratio:0.87988,time:114370
hit ratio:0.879542,time:114597
hit ratio:0.879228,time:114850
hit ratio:0.878938,time:115090
hit ratio:0.878711,time:115414
hit ratio:0.878612,time:115661
hit ratio:0.878557,time:115827
hit ratio:0.878496,time:115967
hit ratio:0.878471,time:116092
hit ratio:0.878439,time:116205
hit ratio:0.87839,time:116308
hit ratio:0.878384,time:116410
hit ratio:0.878412,time:116506
hit ratio:0.87847,time:116598
hit ratio:0.878511,time:116689
hit ratio:0.878544,time:116786
hit ratio:0.878569,time:116883
hit ratio:0.878593,time:116981
hit ratio:0.878609,time:117081
hit ratio:0.878596,time:117184
hit ratio:0.878586,time:117288
hit ratio:0.878623,time:117394
hit ratio:0.878697,time:117503
hit ratio:0.878802,time:117606
hit ratio:0.878865,time:117715
hit ratio:0.878955,time:117826
hit ratio:0.879004,time:117928
hit ratio:0.879076,time:118033
hit ratio:0.879126,time:118148
hit ratio:0.879132,time:118269
hit ratio:0.879145,time:118391
hit ratio:0.87915,time:118507
hit ratio:0.879175,time:118622
hit ratio:0.879168,time:118733
hit ratio:0.879139,time:118830
hit ratio:0.879129,time:118937
hit ratio:0.879128,time:119046
hit ratio:0.879139,time:119154
hit ratio:0.879103,time:119259
hit ratio:0.879026,time:119368
hit ratio:0.878995,time:119472
hit ratio:0.878996,time:119572
hit ratio:0.878952,time:119678
hit ratio:0.878918,time:119792
hit ratio:0.878874,time:119901
hit ratio:0.878816,time:120014
hit ratio:0.878733,time:120124
hit ratio:0.878664,time:120230
hit ratio:0.878651,time:120332
hit ratio:0.878631,time:120427
hit ratio:0.878592,time:120519
hit ratio:0.878575,time:120609
hit ratio:0.878576,time:120697
hit ratio:0.878572,time:120783
hit ratio:0.878552,time:120872
hit ratio:0.878529,time:120963
hit ratio:0.878499,time:121063
hit ratio:0.878468,time:121160
hit ratio:0.878428,time:121264
hit ratio:0.878386,time:121382
hit ratio:0.878321,time:121509
hit ratio:0.878262,time:121633
hit ratio:0.878189,time:121759
hit ratio:0.878091,time:121891
hit ratio:0.878003,time:122018
hit ratio:0.877913,time:122151
hit ratio:0.877821,time:122271
hit ratio:0.877776,time:122376
hit ratio:0.877762,time:122480
hit ratio:0.87776,time:122573
hit ratio:0.877768,time:122664
hit ratio:0.877779,time:122750
hit ratio:0.877784,time:122835
hit ratio:0.877797,time:122920
hit ratio:0.877789,time:123012
hit ratio:0.877786,time:123105
hit ratio:0.877797,time:123197
hit ratio:0.877805,time:123294
hit ratio:0.877803,time:123395
hit ratio:0.877792,time:123494
hit ratio:0.87775,time:123599
hit ratio:0.877701,time:123704
hit ratio:0.877657,time:123807
hit ratio:0.87761,time:123912
hit ratio:0.877561,time:124016
hit ratio:0.877508,time:124112
hit ratio:0.877443,time:124210
hit ratio:0.877377,time:124309
hit ratio:0.87731,time:124409
hit ratio:0.877262,time:124510
hit ratio:0.877244,time:124610
hit ratio:0.877241,time:124712
hit ratio:0.877238,time:124819
hit ratio:0.87723,time:124923
hit ratio:0.877232,time:125025
hit ratio:0.877212,time:125142
hit ratio:0.877149,time:125268
hit ratio:0.87708,time:125385
hit ratio:0.877033,time:125509
hit ratio:0.876986,time:125649
hit ratio:0.876924,time:125808
hit ratio:0.876857,time:125956
hit ratio:0.87686,time:126084
hit ratio:0.876843,time:126220
hit ratio:0.876791,time:126366
hit ratio:0.876733,time:126524
hit ratio:0.876692,time:126682
hit ratio:0.87666,time:126858
hit ratio:0.876589,time:127052
