Marginal Hits init. Cache Initialized. size: 32GB
hit ratio:0.75528,time:18189
hit ratio:0.758815,time:21021
hit ratio:0.772187,time:22604
hit ratio:0.777488,time:23830
hit ratio:0.781376,time:24897
hit ratio:0.785755,time:25919
hit ratio:0.782757,time:26876
hit ratio:0.775944,time:27738
hit ratio:0.775452,time:28533
hit ratio:0.780893,time:29064
hit ratio:0.784855,time:29592
hit ratio:0.787932,time:30023
hit ratio:0.787161,time:30630
hit ratio:0.784971,time:31031
hit ratio:0.781217,time:31302
hit ratio:0.779874,time:31587
hit ratio:0.777062,time:31830
hit ratio:0.774827,time:32146
hit ratio:0.772439,time:32440
hit ratio:0.773256,time:32730
hit ratio:0.774197,time:33020
hit ratio:0.773637,time:33350
hit ratio:0.773838,time:33639
hit ratio:0.772614,time:33924
hit ratio:0.772176,time:34163
hit ratio:0.772439,time:34400
hit ratio:0.771045,time:34721
hit ratio:0.769316,time:35066
hit ratio:0.76805,time:35315
hit ratio:0.768057,time:35528
hit ratio:0.768344,time:35746
hit ratio:0.768717,time:35973
hit ratio:0.769154,time:36207
hit ratio:0.769701,time:36435
hit ratio:0.770483,time:36679
hit ratio:0.771173,time:36924
hit ratio:0.771727,time:37160
hit ratio:0.772224,time:37396
hit ratio:0.77263,time:37616
hit ratio:0.772851,time:37844
hit ratio:0.773226,time:38090
hit ratio:0.773651,time:38314
hit ratio:0.773833,time:38510
hit ratio:0.773602,time:38717
hit ratio:0.773427,time:38920
hit ratio:0.773177,time:39130
hit ratio:0.773013,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.772703,time:39568
hit ratio:0.77262,time:39775
hit ratio:0.772371,time:39999
hit ratio:0.772444,time:40219
hit ratio:0.772409,time:40457
hit ratio:0.77261,time:40679
hit ratio:0.772871,time:40899
hit ratio:0.773356,time:41106
hit ratio:0.773888,time:41306
hit ratio:0.774267,time:41502
hit ratio:0.774738,time:41702
hit ratio:0.775088,time:41924
hit ratio:0.775409,time:42155
hit ratio:0.775808,time:42411
hit ratio:0.77616,time:42688
hit ratio:0.77651,time:43008
hit ratio:0.776645,time:43381
hit ratio:0.776498,time:43781
hit ratio:0.77631,time:44273
hit ratio:0.775985,time:44928
hit ratio:0.775749,time:45574
hit ratio:0.775603,time:46169
hit ratio:0.774846,time:46868
hit ratio:0.774097,time:47632
hit ratio:0.773747,time:48402
hit ratio:0.773165,time:49090
hit ratio:0.772987,time:49766
hit ratio:0.772891,time:50510
hit ratio:0.772763,time:51321
hit ratio:0.773277,time:51998
hit ratio:0.774773,time:52442
hit ratio:0.776293,time:52925
hit ratio:0.777342,time:53504
hit ratio:0.778172,time:54086
hit ratio:0.779248,time:54697
hit ratio:0.780285,time:55237
hit ratio:0.782148,time:55417
hit ratio:0.783918,time:55577
hit ratio:0.785553,time:55742
hit ratio:0.786575,time:56002
hit ratio:0.787576,time:56245
hit ratio:0.788459,time:56515
hit ratio:0.788962,time:56859
hit ratio:0.789571,time:57190
hit ratio:0.790217,time:57581
hit ratio:0.790912,time:58073
hit ratio:0.791826,time:58553
hit ratio:0.792883,time:58975
hit ratio:0.793792,time:59454
hit ratio:0.794392,time:59903
hit ratio:0.795082,time:60334
hit ratio:0.795886,time:60780
hit ratio:0.796677,time:61208
hit ratio:0.797543,time:61714
hit ratio:0.798531,time:62308
hit ratio:0.79948,time:62828
hit ratio:0.800289,time:63254
hit ratio:0.801184,time:63603
hit ratio:0.802071,time:63949
hit ratio:0.802867,time:64299
hit ratio:0.803652,time:64638
hit ratio:0.804467,time:64969
hit ratio:0.805358,time:65336
hit ratio:0.806322,time:65627
hit ratio:0.807312,time:65870
hit ratio:0.808325,time:66118
hit ratio:0.809392,time:66372
hit ratio:0.810204,time:66723
hit ratio:0.811024,time:67135
hit ratio:0.811991,time:67420
hit ratio:0.812733,time:67881
hit ratio:0.813593,time:68339
hit ratio:0.814847,time:68506
hit ratio:0.816134,time:68642
hit ratio:0.817403,time:68775
hit ratio:0.818619,time:68922
hit ratio:0.819424,time:69287
