Cache Initialized. size: 128GB
hit ratio:0.75528,time:18189
hit ratio:0.76,time:21021
hit ratio:0.780247,time:22604
hit ratio:0.790785,time:23830
hit ratio:0.799294,time:24897
hit ratio:0.806962,time:25919
hit ratio:0.807487,time:26876
hit ratio:0.803844,time:27738
hit ratio:0.80557,time:28533
hit ratio:0.811437,time:29064
hit ratio:0.816097,time:29592
hit ratio:0.819863,time:30023
hit ratio:0.820323,time:30630
hit ratio:0.81897,time:31031
hit ratio:0.816427,time:31302
hit ratio:0.815889,time:31587
hit ratio:0.814236,time:31830
hit ratio:0.812828,time:32146
hit ratio:0.811693,time:32440
hit ratio:0.812658,time:32730
hit ratio:0.813903,time:33020
hit ratio:0.813903,time:33350
hit ratio:0.814337,time:33639
hit ratio:0.813497,time:33924
hit ratio:0.813236,time:34163
hit ratio:0.813473,time:34400
hit ratio:0.812434,time:34721
hit ratio:0.811037,time:35066
hit ratio:0.810111,time:35315
hit ratio:0.810321,time:35528
hit ratio:0.81081,time:35746
hit ratio:0.811204,time:35973
hit ratio:0.811618,time:36207
hit ratio:0.812159,time:36435
hit ratio:0.812799,time:36679
hit ratio:0.813472,time:36924
hit ratio:0.81403,time:37160
hit ratio:0.814575,time:37396
hit ratio:0.815091,time:37616
hit ratio:0.815365,time:37844
hit ratio:0.815686,time:38090
hit ratio:0.816068,time:38314
hit ratio:0.816288,time:38510
hit ratio:0.816197,time:38717
hit ratio:0.816137,time:38920
hit ratio:0.815989,time:39130
hit ratio:0.815914,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.815714,time:39568
hit ratio:0.815724,time:39775
hit ratio:0.81562,time:39999
hit ratio:0.815796,time:40219
hit ratio:0.815814,time:40457
hit ratio:0.816105,time:40679
hit ratio:0.816431,time:40899
hit ratio:0.816925,time:41106
hit ratio:0.817481,time:41306
hit ratio:0.817914,time:41502
hit ratio:0.818391,time:41702
hit ratio:0.818703,time:41924
hit ratio:0.819,time:42155
hit ratio:0.819327,time:42411
hit ratio:0.819624,time:42688
hit ratio:0.819905,time:43008
hit ratio:0.819961,time:43381
hit ratio:0.819784,time:43781
hit ratio:0.819648,time:44273
hit ratio:0.819347,time:44928
hit ratio:0.819137,time:45574
hit ratio:0.818991,time:46169
hit ratio:0.818366,time:46868
hit ratio:0.817855,time:47632
hit ratio:0.817577,time:48402
hit ratio:0.817236,time:49090
hit ratio:0.817229,time:49766
hit ratio:0.817392,time:50510
hit ratio:0.817592,time:51321
hit ratio:0.818315,time:51998
hit ratio:0.819693,time:52442
hit ratio:0.821086,time:52925
hit ratio:0.822171,time:53504
hit ratio:0.823154,time:54086
hit ratio:0.824242,time:54697
hit ratio:0.825243,time:55237
hit ratio:0.826757,time:55417
hit ratio:0.828207,time:55577
hit ratio:0.829555,time:55742
hit ratio:0.830454,time:56002
hit ratio:0.831366,time:56245
hit ratio:0.832187,time:56515
hit ratio:0.832731,time:56859
hit ratio:0.83335,time:57190
hit ratio:0.833985,time:57581
hit ratio:0.834658,time:58073
hit ratio:0.835534,time:58553
hit ratio:0.836519,time:58975
hit ratio:0.837451,time:59454
hit ratio:0.838196,time:59903
hit ratio:0.839063,time:60334
hit ratio:0.839972,time:60780
hit ratio:0.840849,time:61208
hit ratio:0.841747,time:61714
hit ratio:0.842766,time:62308
hit ratio:0.843786,time:62828
hit ratio:0.844785,time:63254
hit ratio:0.845867,time:63603
hit ratio:0.846928,time:63949
hit ratio:0.847912,time:64299
hit ratio:0.848884,time:64638
hit ratio:0.84986,time:64969
hit ratio:0.850847,time:65336
hit ratio:0.851849,time:65627
hit ratio:0.852824,time:65870
hit ratio:0.8538,time:66118
hit ratio:0.854808,time:66372
hit ratio:0.855682,time:66723
hit ratio:0.856519,time:67135
hit ratio:0.857419,time:67420
hit ratio:0.858158,time:67881
hit ratio:0.858958,time:68339
hit ratio:0.859972,time:68506
hit ratio:0.860994,time:68642
hit ratio:0.862004,time:68775
hit ratio:0.862981,time:68922
hit ratio:0.863684,time:69287
hit ratio:0.864273,time:69705
hit ratio:0.864624,time:70151
hit ratio:0.865204,time:70544
hit ratio:0.865912,time:70854
hit ratio:0.86653,time:71161
hit ratio:0.867228,time:71419
hit ratio:0.867907,time:71705
hit ratio:0.868578,time:72004
hit ratio:0.869301,time:72237
hit ratio:0.870026,time:72515
hit ratio:0.870658,time:72861
hit ratio:0.871366,time:73119
hit ratio:0.872164,time:73281
hit ratio:0.872974,time:73402
hit ratio:0.873738,time:73560
hit ratio:0.874474,time:73726
hit ratio:0.875208,time:73861
hit ratio:0.87587,time:74039
hit ratio:0.876447,time:74313
hit ratio:0.877071,time:74516
hit ratio:0.877609,time:74793
hit ratio:0.878042,time:75160
hit ratio:0.87854,time:75421
hit ratio:0.879107,time:75634
hit ratio:0.879524,time:75950
hit ratio:0.880024,time:76167
hit ratio:0.880563,time:76341
hit ratio:0.881139,time:76486
hit ratio:0.881679,time:76640
hit ratio:0.882176,time:76816
hit ratio:0.882663,time:77017
hit ratio:0.883184,time:77192
hit ratio:0.883647,time:77369
hit ratio:0.884093,time:77572
hit ratio:0.884533,time:77782
hit ratio:0.88491,time:77973
hit ratio:0.885323,time:78138
hit ratio:0.88579,time:78270
hit ratio:0.886301,time:78396
hit ratio:0.886783,time:78535
hit ratio:0.887238,time:78687
hit ratio:0.887618,time:78861
hit ratio:0.888017,time:79061
hit ratio:0.888395,time:79303
hit ratio:0.88874,time:79583
hit ratio:0.889091,time:79842
hit ratio:0.889314,time:80227
hit ratio:0.889359,time:80763
hit ratio:0.889226,time:81477
hit ratio:0.888948,time:82221
hit ratio:0.888706,time:82927
hit ratio:0.888479,time:83694
hit ratio:0.888375,time:84501
hit ratio:0.888302,time:85306
hit ratio:0.888207,time:86179
hit ratio:0.888053,time:87248
hit ratio:0.887953,time:88374
hit ratio:0.887928,time:89443
hit ratio:0.887822,time:90633
hit ratio:0.887735,time:91839
hit ratio:0.887658,time:92839
hit ratio:0.887311,time:93747
hit ratio:0.887024,time:94776
hit ratio:0.886669,time:95887
hit ratio:0.886478,time:97113
hit ratio:0.886309,time:98244
hit ratio:0.886003,time:99309
hit ratio:0.885637,time:100500
hit ratio:0.885311,time:101661
hit ratio:0.885163,time:102715
hit ratio:0.885077,time:103708
hit ratio:0.885035,time:104736
hit ratio:0.884948,time:105586
hit ratio:0.885018,time:106382
hit ratio:0.885081,time:107122
hit ratio:0.885074,time:107885
hit ratio:0.884955,time:108840
hit ratio:0.884895,time:109734
hit ratio:0.884838,time:110568
hit ratio:0.884732,time:111455
hit ratio:0.884705,time:112180
hit ratio:0.884551,time:112698
hit ratio:0.884308,time:113004
hit ratio:0.884067,time:113342
hit ratio:0.883775,time:113740
hit ratio:0.883364,time:113932
hit ratio:0.882917,time:114137
hit ratio:0.882484,time:114370
hit ratio:0.882171,time:114597
hit ratio:0.881874,time:114850
hit ratio:0.881596,time:115090
hit ratio:0.881377,time:115414
hit ratio:0.881289,time:115661
hit ratio:0.881256,time:115827
hit ratio:0.881208,time:115967
hit ratio:0.881201,time:116092
hit ratio:0.881183,time:116205
hit ratio:0.881139,time:116308
hit ratio:0.881135,time:116410
hit ratio:0.881171,time:116506
hit ratio:0.88124,time:116598
hit ratio:0.881298,time:116689
hit ratio:0.881342,time:116786
hit ratio:0.881374,time:116883
hit ratio:0.881406,time:116981
hit ratio:0.881432,time:117081
hit ratio:0.881449,time:117184
hit ratio:0.881451,time:117288
hit ratio:0.881502,time:117394
hit ratio:0.881579,time:117503
hit ratio:0.881681,time:117606
hit ratio:0.881759,time:117715
hit ratio:0.88185,time:117826
hit ratio:0.881899,time:117928
hit ratio:0.881981,time:118033
hit ratio:0.882041,time:118148
hit ratio:0.882062,time:118269
hit ratio:0.882078,time:118391
hit ratio:0.882081,time:118507
hit ratio:0.882102,time:118622
hit ratio:0.882111,time:118733
hit ratio:0.882104,time:118830
hit ratio:0.882095,time:118937
hit ratio:0.882108,time:119046
hit ratio:0.882127,time:119154
hit ratio:0.882105,time:119259
hit ratio:0.882053,time:119368
hit ratio:0.882028,time:119472
hit ratio:0.882038,time:119572
hit ratio:0.882011,time:119678
hit ratio:0.881989,time:119792
hit ratio:0.881963,time:119901
hit ratio:0.881921,time:120014
hit ratio:0.881852,time:120124
hit ratio:0.881803,time:120230
hit ratio:0.881802,time:120332
hit ratio:0.881798,time:120427
hit ratio:0.881769,time:120519
hit ratio:0.881757,time:120609
hit ratio:0.881764,time:120697
hit ratio:0.881767,time:120783
hit ratio:0.881759,time:120872
hit ratio:0.881734,time:120963
hit ratio:0.881708,time:121063
hit ratio:0.881687,time:121160
hit ratio:0.881654,time:121264
hit ratio:0.88161,time:121382
hit ratio:0.881548,time:121509
hit ratio:0.881496,time:121633
hit ratio:0.881432,time:121759
hit ratio:0.881337,time:121891
hit ratio:0.881253,time:122018
hit ratio:0.881174,time:122151
hit ratio:0.881099,time:122271
hit ratio:0.881063,time:122376
hit ratio:0.881055,time:122480
hit ratio:0.88106,time:122573
hit ratio:0.881076,time:122664
hit ratio:0.881097,time:122750
hit ratio:0.881112,time:122835
hit ratio:0.881136,time:122920
hit ratio:0.88114,time:123012
hit ratio:0.881143,time:123105
hit ratio:0.88116,time:123197
hit ratio:0.881172,time:123294
hit ratio:0.881182,time:123395
hit ratio:0.881179,time:123494
hit ratio:0.881148,time:123599
hit ratio:0.881105,time:123704
hit ratio:0.88107,time:123807
hit ratio:0.881027,time:123912
hit ratio:0.880987,time:124016
hit ratio:0.880944,time:124112
hit ratio:0.880885,time:124210
hit ratio:0.880833,time:124309
hit ratio:0.880771,time:124409
hit ratio:0.880734,time:124510
hit ratio:0.880721,time:124610
hit ratio:0.880718,time:124712
hit ratio:0.880722,time:124819
hit ratio:0.88072,time:124923
hit ratio:0.880733,time:125025
hit ratio:0.880717,time:125142
hit ratio:0.880659,time:125268
hit ratio:0.880603,time:125385
hit ratio:0.880562,time:125509
hit ratio:0.880523,time:125649
hit ratio:0.880467,time:125808
hit ratio:0.880407,time:125956
hit ratio:0.880417,time:126084
hit ratio:0.880406,time:126220
hit ratio:0.880362,time:126366
hit ratio:0.880312,time:126524
hit ratio:0.880274,time:126682
hit ratio:0.880241,time:126858
hit ratio:0.880175,time:127052
