Initializing Cache...FreeMem Rebalancing init. FreeMem.h-default Config
Cache Initialized. size: 256GB
hit ratio:0.75528,time:18189
hit ratio:0.76,time:21021
hit ratio:0.780247,time:22604
hit ratio:0.790785,time:23830
hit ratio:0.799294,time:24897
hit ratio:0.806962,time:25919
hit ratio:0.807606,time:26876
hit ratio:0.804945,time:27738
hit ratio:0.808207,time:28533
hit ratio:0.815006,time:29064
hit ratio:0.820685,time:29592
hit ratio:0.825441,time:30023
hit ratio:0.826855,time:30630
hit ratio:0.826364,time:31031
hit ratio:0.823771,time:31302
hit ratio:0.822829,time:31587
hit ratio:0.820958,time:31830
hit ratio:0.819924,time:32146
RebStrtgy-pickVAndR...hit ratio:0.819581,time:32440
hit ratio:0.820867,time:32730
hit ratio:0.82227,time:33020
hit ratio:0.822699,time:33350
hit ratio:0.82349,time:33639
hit ratio:0.822825,time:33924
hit ratio:0.822565,time:34163
hit ratio:0.822739,time:34400
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.821814,time:34721
hit ratio:0.820358,time:35066
hit ratio:0.819355,time:35315
hit ratio:0.819563,time:35528
hit ratio:0.819992,time:35746
hit ratio:0.82031,time:35973
hit ratio:0.820708,time:36207
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.821183,time:36435
hit ratio:0.821784,time:36679
hit ratio:0.822351,time:36924
hit ratio:0.82286,time:37160
hit ratio:0.823365,time:37396
hit ratio:0.823877,time:37616
hit ratio:0.824118,time:37844
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.82444,time:38090
hit ratio:0.824871,time:38314
hit ratio:0.825106,time:38510
hit ratio:0.825054,time:38717
hit ratio:0.825047,time:38920
hit ratio:0.824984,time:39130
hit ratio:0.82495,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
RebStrtgy-pickVAndR...RebStrtgy-found class with alloc. failures. RebStrtgy-hold off started w/o triggering strategy specific pickVandRImp. v:46 r:9
hit ratio:0.824821,time:39568
hit ratio:0.824852,time:39775
hit ratio:0.824763,time:39999
hit ratio:0.824964,time:40219
hit ratio:0.824987,time:40457
hit ratio:0.825268,time:40679
hit ratio:0.825562,time:40899
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.826021,time:41106
hit ratio:0.82654,time:41306
hit ratio:0.826959,time:41502
hit ratio:0.827452,time:41702
hit ratio:0.827771,time:41924
hit ratio:0.828062,time:42155
hit ratio:0.828379,time:42411
hit ratio:0.828663,time:42688
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.82895,time:43008
hit ratio:0.829075,time:43381
hit ratio:0.828933,time:43781
hit ratio:0.82877,time:44273
hit ratio:0.828505,time:44928
hit ratio:0.828329,time:45574
hit ratio:0.828132,time:46169
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.827514,time:46868
hit ratio:0.826998,time:47632
hit ratio:0.826733,time:48402
hit ratio:0.826309,time:49090
hit ratio:0.826237,time:49766
hit ratio:0.826367,time:50510
hit ratio:0.826543,time:51321
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.827276,time:51998
hit ratio:0.828606,time:52442
hit ratio:0.829977,time:52925
hit ratio:0.831022,time:53504
hit ratio:0.831999,time:54086
hit ratio:0.83304,time:54697
hit ratio:0.833998,time:55237
hit ratio:0.835424,time:55417
hit ratio:0.836783,time:55577
hit ratio:0.838039,time:55742
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.838897,time:56002
hit ratio:0.839756,time:56245
hit ratio:0.840538,time:56515
hit ratio:0.841059,time:56859
hit ratio:0.84168,time:57190
hit ratio:0.842299,time:57581
hit ratio:0.842999,time:58073
hit ratio:0.843864,time:58553
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.844883,time:58975
hit ratio:0.845824,time:59454
hit ratio:0.846566,time:59903
hit ratio:0.847439,time:60334
hit ratio:0.848356,time:60780
hit ratio:0.849263,time:61208
hit ratio:0.850188,time:61714
hit ratio:0.851192,time:62308
hit ratio:0.852207,time:62828
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.853201,time:63254
hit ratio:0.854265,time:63603
hit ratio:0.855301,time:63949
hit ratio:0.856256,time:64299
hit ratio:0.857181,time:64638
hit ratio:0.858127,time:64969
hit ratio:0.85908,time:65336
hit ratio:0.860049,time:65627
hit ratio:0.861,time:65870
hit ratio:0.861959,time:66118
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.862922,time:66372
hit ratio:0.86379,time:66723
hit ratio:0.864615,time:67135
hit ratio:0.865494,time:67420
hit ratio:0.866267,time:67881
hit ratio:0.867077,time:68339
hit ratio:0.868041,time:68506
hit ratio:0.869008,time:68642
hit ratio:0.869969,time:68775
hit ratio:0.870903,time:68922
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.871623,time:69287
hit ratio:0.872224,time:69705
hit ratio:0.872634,time:70151
hit ratio:0.873228,time:70544
hit ratio:0.873922,time:70854
hit ratio:0.874554,time:71161
hit ratio:0.875247,time:71419
hit ratio:0.875898,time:71705
hit ratio:0.876551,time:72004
hit ratio:0.87725,time:72237
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.877941,time:72515
hit ratio:0.87855,time:72861
hit ratio:0.879229,time:73119
hit ratio:0.87998,time:73281
hit ratio:0.880741,time:73402
hit ratio:0.881465,time:73560
hit ratio:0.882161,time:73726
hit ratio:0.882845,time:73861
hit ratio:0.883456,time:74039
hit ratio:0.883988,time:74313
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.884577,time:74516
hit ratio:0.885077,time:74793
hit ratio:0.88548,time:75160
hit ratio:0.885969,time:75421
hit ratio:0.886518,time:75634
hit ratio:0.886916,time:75950
hit ratio:0.887394,time:76167
hit ratio:0.887917,time:76341
hit ratio:0.888467,time:76486
hit ratio:0.888994,time:76640
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.889468,time:76816
hit ratio:0.889922,time:77017
hit ratio:0.890418,time:77192
hit ratio:0.89089,time:77369
hit ratio:0.891335,time:77572
hit ratio:0.891766,time:77782
hit ratio:0.892155,time:77973
hit ratio:0.892568,time:78138
hit ratio:0.893018,time:78270
hit ratio:0.893505,time:78396
hit ratio:0.89397,time:78535
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.89442,time:78687
hit ratio:0.894794,time:78861
hit ratio:0.895188,time:79061
hit ratio:0.895558,time:79303
hit ratio:0.895899,time:79583
hit ratio:0.896236,time:79842
hit ratio:0.896456,time:80227
hit ratio:0.896514,time:80763
hit ratio:0.896396,time:81477
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.896128,time:82221
hit ratio:0.895879,time:82927
hit ratio:0.895671,time:83694
hit ratio:0.895544,time:84501
hit ratio:0.89544,time:85306
hit ratio:0.895329,time:86179
hit ratio:0.895165,time:87248
hit ratio:0.895033,time:88374
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.894982,time:89443
hit ratio:0.894863,time:90633
hit ratio:0.894764,time:91839
hit ratio:0.89463,time:92839
hit ratio:0.89424,time:93747
hit ratio:0.893926,time:94776
hit ratio:0.893545,time:95887
hit ratio:0.893327,time:97113
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.893136,time:98244
hit ratio:0.892814,time:99309
hit ratio:0.892449,time:100500
hit ratio:0.892123,time:101661
hit ratio:0.891948,time:102715
hit ratio:0.891849,time:103708
hit ratio:0.891782,time:104736
hit ratio:0.891657,time:105586
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.891687,time:106382
hit ratio:0.891715,time:107122
hit ratio:0.891689,time:107885
hit ratio:0.891537,time:108840
hit ratio:0.891455,time:109734
hit ratio:0.891393,time:110568
hit ratio:0.891281,time:111455
hit ratio:0.891237,time:112180
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.891061,time:112698
hit ratio:0.890816,time:113004
hit ratio:0.890589,time:113342
hit ratio:0.890298,time:113740
hit ratio:0.88989,time:113932
hit ratio:0.889462,time:114137
hit ratio:0.88908,time:114370
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.888761,time:114597
