Initializing Cache...Hits Per Slab Rebalancing init. HPS.h-default configCache Initialized. size: 256GB
hit ratio:0.75528,time:18189
hit ratio:0.76,time:21021
hit ratio:0.780247,time:22604
hit ratio:0.790785,time:23830
hit ratio:0.799294,time:24897
hit ratio:0.806962,time:25919
hit ratio:0.807606,time:26876
hit ratio:0.804945,time:27738
hit ratio:0.808207,time:28533
hit ratio:0.815006,time:29064
hit ratio:0.820685,time:29592
hit ratio:0.825441,time:30023
hit ratio:0.826855,time:30630
hit ratio:0.826364,time:31031
hit ratio:0.823771,time:31302
hit ratio:0.822829,time:31587
hit ratio:0.820958,time:31830
hit ratio:0.819924,time:32146
hit ratio:0.819581,time:32440
RebStrtgy-pickVAndR...hit ratio:0.820867,time:32730
hit ratio:0.82227,time:33020
hit ratio:0.822699,time:33350
hit ratio:0.82349,time:33639
hit ratio:0.822825,time:33924
hit ratio:0.822565,time:34163
hit ratio:0.822739,time:34400
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:46. r:15. HPS-hold off started.
hit ratio:0.821816,time:34721
hit ratio:0.820366,time:35066
hit ratio:0.81937,time:35315
hit ratio:0.819579,time:35528
hit ratio:0.820017,time:35746
hit ratio:0.820348,time:35973
hit ratio:0.820753,time:36207
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:46. r:15. HPS-hold off started.
hit ratio:0.821235,time:36435
hit ratio:0.821845,time:36679
hit ratio:0.822415,time:36924
hit ratio:0.822924,time:37160
hit ratio:0.823427,time:37396
hit ratio:0.823939,time:37616
hit ratio:0.824181,time:37844
hit ratio:0.824502,time:38090
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:46. r:15. HPS-hold off started.
hit ratio:0.82493,time:38314
hit ratio:0.825171,time:38510
hit ratio:0.825119,time:38717
hit ratio:0.82511,time:38920
hit ratio:0.825046,time:39130
hit ratio:0.825012,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
RebStrtgy-pickVAndR...RebStrtgy-found class with alloc. failures. RebStrtgy-hold off started w/o triggering strategy specific pickVandRImp. v:46 r:9
hit ratio:0.824882,time:39568
hit ratio:0.824911,time:39775
hit ratio:0.824823,time:39999
hit ratio:0.82503,time:40219
hit ratio:0.825057,time:40457
hit ratio:0.825343,time:40679
hit ratio:0.825643,time:40899
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:46. r:15. HPS-hold off started.
hit ratio:0.826109,time:41106
hit ratio:0.826634,time:41306
hit ratio:0.827061,time:41502
hit ratio:0.827554,time:41702
hit ratio:0.827874,time:41924
hit ratio:0.828162,time:42155
hit ratio:0.828478,time:42411
hit ratio:0.828761,time:42688
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:46. r:15. HPS-hold off started.
hit ratio:0.829053,time:43008
hit ratio:0.829177,time:43381
hit ratio:0.829034,time:43781
hit ratio:0.82887,time:44273
hit ratio:0.828605,time:44928
hit ratio:0.828434,time:45574
hit ratio:0.828239,time:46169
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:46. r:15. HPS-hold off started.
hit ratio:0.827625,time:46868
hit ratio:0.827118,time:47632
hit ratio:0.826866,time:48402
hit ratio:0.826455,time:49090
hit ratio:0.826392,time:49766
hit ratio:0.826532,time:50510
hit ratio:0.826713,time:51321
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.827452,time:51998
hit ratio:0.828782,time:52442
hit ratio:0.830155,time:52925
hit ratio:0.8312,time:53504
hit ratio:0.83218,time:54086
hit ratio:0.833224,time:54697
hit ratio:0.834183,time:55237
hit ratio:0.835607,time:55417
hit ratio:0.836964,time:55577
hit ratio:0.838219,time:55742
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.839079,time:56002
hit ratio:0.839938,time:56245
hit ratio:0.840723,time:56515
hit ratio:0.841247,time:56859
hit ratio:0.841868,time:57190
hit ratio:0.842495,time:57581
hit ratio:0.843203,time:58073
hit ratio:0.844067,time:58553
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.845086,time:58975
hit ratio:0.84603,time:59454
hit ratio:0.846773,time:59903
hit ratio:0.847647,time:60334
hit ratio:0.848564,time:60780
hit ratio:0.849472,time:61208
hit ratio:0.850396,time:61714
hit ratio:0.851403,time:62308
hit ratio:0.852417,time:62828
hit ratio:0.853413,time:63254
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.854476,time:63603
hit ratio:0.855513,time:63949
hit ratio:0.856468,time:64299
hit ratio:0.857393,time:64638
hit ratio:0.858341,time:64969
hit ratio:0.859295,time:65336
hit ratio:0.860263,time:65627
hit ratio:0.861214,time:65870
hit ratio:0.862174,time:66118
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.863136,time:66372
hit ratio:0.864003,time:66723
hit ratio:0.864826,time:67135
hit ratio:0.865705,time:67420
hit ratio:0.866478,time:67881
hit ratio:0.867288,time:68339
hit ratio:0.868251,time:68506
hit ratio:0.869217,time:68642
hit ratio:0.870177,time:68775
hit ratio:0.871109,time:68922
hit ratio:0.871827,time:69287
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:22. HPS-hold off started.
hit ratio:0.872428,time:69705
hit ratio:0.87284,time:70151
hit ratio:0.873434,time:70544
hit ratio:0.874129,time:70854
hit ratio:0.874766,time:71161
hit ratio:0.87546,time:71419
hit ratio:0.876112,time:71705
hit ratio:0.876765,time:72004
hit ratio:0.877465,time:72237
hit ratio:0.878155,time:72515
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.878764,time:72861
hit ratio:0.879442,time:73119
hit ratio:0.880192,time:73281
hit ratio:0.880952,time:73402
hit ratio:0.881674,time:73560
hit ratio:0.882369,time:73726
hit ratio:0.883053,time:73861
hit ratio:0.883665,time:74039
hit ratio:0.884195,time:74313
hit ratio:0.884784,time:74516
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.885284,time:74793
hit ratio:0.885689,time:75160
hit ratio:0.88618,time:75421
hit ratio:0.886728,time:75634
hit ratio:0.887127,time:75950
hit ratio:0.887605,time:76167
hit ratio:0.888127,time:76341
hit ratio:0.888678,time:76486
hit ratio:0.889205,time:76640
hit ratio:0.889678,time:76816
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:22. HPS-hold off started.
hit ratio:0.890132,time:77017
hit ratio:0.890628,time:77192
hit ratio:0.8911,time:77369
hit ratio:0.891548,time:77572
hit ratio:0.891978,time:77782
hit ratio:0.892368,time:77973
hit ratio:0.892781,time:78138
hit ratio:0.893231,time:78270
hit ratio:0.893717,time:78396
hit ratio:0.894181,time:78535
hit ratio:0.894631,time:78687
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.895005,time:78861
hit ratio:0.895398,time:79061
hit ratio:0.895768,time:79303
hit ratio:0.896109,time:79583
hit ratio:0.896446,time:79842
hit ratio:0.896667,time:80227
hit ratio:0.896727,time:80763
hit ratio:0.896612,time:81477
hit ratio:0.896353,time:82221
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.896109,time:82927
hit ratio:0.895907,time:83694
hit ratio:0.895784,time:84501
hit ratio:0.895686,time:85306
hit ratio:0.895582,time:86179
hit ratio:0.895421,time:87248
hit ratio:0.895294,time:88374
hit ratio:0.895249,time:89443
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:46. r:15. HPS-hold off started.
hit ratio:0.895137,time:90633
hit ratio:0.895047,time:91839
hit ratio:0.894924,time:92839
hit ratio:0.894546,time:93747
hit ratio:0.894239,time:94776
hit ratio:0.893868,time:95887
hit ratio:0.893653,time:97113
hit ratio:0.89347,time:98244
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:46. r:15. HPS-hold off started.
hit ratio:0.893163,time:99309
hit ratio:0.892812,time:100500
hit ratio:0.892507,time:101661
hit ratio:0.89234,time:102715
hit ratio:0.892247,time:103708
hit ratio:0.892184,time:104736
hit ratio:0.892064,time:105586
hit ratio:0.892096,time:106382
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:22. HPS-hold off started.
hit ratio:0.892129,time:107122
hit ratio:0.892107,time:107885
hit ratio:0.89196,time:108840
hit ratio:0.891882,time:109734
hit ratio:0.891824,time:110568
hit ratio:0.891714,time:111455
hit ratio:0.891673,time:112180
hit ratio:0.891504,time:112698
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.891269,time:113004
hit ratio:0.891051,time:113342
hit ratio:0.890765,time:113740
hit ratio:0.890362,time:113932
hit ratio:0.889939,time:114137
hit ratio:0.889562,time:114370
hit ratio:0.889245,time:114597
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:44. r:15. HPS-hold off started.
hit ratio:0.888962,time:114850
hit ratio:0.888705,time:115090
hit ratio:0.888481,time:115414
