Initializing Cache...FreeMem Rebalancing init. FreeMem.h-default Config
Cache Initialized. size: 256GB
hit ratio:0.75528,time:18189
hit ratio:0.76,time:21021
hit ratio:0.780247,time:22604
hit ratio:0.790785,time:23830
hit ratio:0.799294,time:24897
hit ratio:0.806962,time:25919
hit ratio:0.807606,time:26876
hit ratio:0.804945,time:27738
hit ratio:0.808207,time:28533
hit ratio:0.815006,time:29064
hit ratio:0.820685,time:29592
hit ratio:0.825441,time:30023
hit ratio:0.826885,time:30630
hit ratio:0.826513,time:31031
hit ratio:0.824274,time:31302
hit ratio:0.823622,time:31587
hit ratio:0.822009,time:31830
hit ratio:0.821162,time:32146
RebStrtgy-pickVAndR...hit ratio:0.820935,time:32440
hit ratio:0.822214,time:32730
hit ratio:0.823583,time:33020
hit ratio:0.823945,time:33350
hit ratio:0.82466,time:33639
hit ratio:0.82397,time:33924
hit ratio:0.823726,time:34163
hit ratio:0.823958,time:34400
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.823101,time:34721
hit ratio:0.821727,time:35066
hit ratio:0.820744,time:35315
hit ratio:0.820967,time:35528
hit ratio:0.821397,time:35746
hit ratio:0.821671,time:35973
hit ratio:0.82206,time:36207
hit ratio:0.822536,time:36435
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.823164,time:36679
hit ratio:0.823788,time:36924
hit ratio:0.824314,time:37160
hit ratio:0.824816,time:37396
hit ratio:0.825327,time:37616
hit ratio:0.825573,time:37844
hit ratio:0.82588,time:38090
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.826296,time:38314
hit ratio:0.826546,time:38510
hit ratio:0.826502,time:38717
hit ratio:0.826516,time:38920
hit ratio:0.826463,time:39130
hit ratio:0.826424,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
RebStrtgy-pickVAndR...RebStrtgy-found class with alloc. failures. RebStrtgy-hold off started w/o triggering strategy specific pickVandRImp. v:46 r:9
hit ratio:0.826288,time:39568
hit ratio:0.826294,time:39775
hit ratio:0.826179,time:39999
hit ratio:0.826385,time:40219
hit ratio:0.826439,time:40457
hit ratio:0.826737,time:40679
hit ratio:0.827065,time:40899
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.827522,time:41106
hit ratio:0.828052,time:41306
hit ratio:0.82846,time:41502
hit ratio:0.828963,time:41702
hit ratio:0.829284,time:41924
hit ratio:0.82956,time:42155
hit ratio:0.829872,time:42411
hit ratio:0.830155,time:42688
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.830446,time:43008
hit ratio:0.830565,time:43381
hit ratio:0.830426,time:43781
hit ratio:0.830262,time:44273
hit ratio:0.829992,time:44928
hit ratio:0.829816,time:45574
hit ratio:0.829622,time:46169
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.829023,time:46868
hit ratio:0.828519,time:47632
hit ratio:0.828246,time:48402
hit ratio:0.827832,time:49090
hit ratio:0.827759,time:49766
hit ratio:0.82789,time:50510
hit ratio:0.828074,time:51321
hit ratio:0.828799,time:51998
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.830118,time:52442
hit ratio:0.83147,time:52925
hit ratio:0.83252,time:53504
hit ratio:0.833495,time:54086
hit ratio:0.834535,time:54697
hit ratio:0.835483,time:55237
hit ratio:0.836895,time:55417
hit ratio:0.838241,time:55577
hit ratio:0.839489,time:55742
hit ratio:0.840332,time:56002
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.84118,time:56245
hit ratio:0.841953,time:56515
hit ratio:0.84248,time:56859
hit ratio:0.843092,time:57190
hit ratio:0.843716,time:57581
hit ratio:0.844408,time:58073
hit ratio:0.84527,time:58553
hit ratio:0.84628,time:58975
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.847214,time:59454
hit ratio:0.847957,time:59903
hit ratio:0.848822,time:60334
hit ratio:0.849721,time:60780
hit ratio:0.850607,time:61208
hit ratio:0.85152,time:61714
hit ratio:0.852517,time:62308
hit ratio:0.853523,time:62828
hit ratio:0.854513,time:63254
hit ratio:0.855569,time:63603
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.8566,time:63949
hit ratio:0.857551,time:64299
hit ratio:0.858474,time:64638
hit ratio:0.859411,time:64969
hit ratio:0.860356,time:65336
hit ratio:0.861315,time:65627
hit ratio:0.862257,time:65870
hit ratio:0.863209,time:66118
hit ratio:0.864164,time:66372
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.865027,time:66723
hit ratio:0.865847,time:67135
hit ratio:0.866715,time:67420
hit ratio:0.867479,time:67881
hit ratio:0.868282,time:68339
hit ratio:0.869233,time:68506
hit ratio:0.870191,time:68642
hit ratio:0.871141,time:68775
hit ratio:0.872067,time:68922
hit ratio:0.872797,time:69287
hit ratio:0.873392,time:69705
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.873798,time:70151
hit ratio:0.874396,time:70544
hit ratio:0.875079,time:70854
hit ratio:0.87573,time:71161
hit ratio:0.876426,time:71419
hit ratio:0.877079,time:71705
hit ratio:0.877728,time:72004
hit ratio:0.878415,time:72237
hit ratio:0.879096,time:72515
hit ratio:0.879704,time:72861
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.880374,time:73119
hit ratio:0.88112,time:73281
hit ratio:0.881876,time:73402
hit ratio:0.882591,time:73560
hit ratio:0.883278,time:73726
hit ratio:0.883953,time:73861
hit ratio:0.884552,time:74039
hit ratio:0.885081,time:74313
hit ratio:0.885663,time:74516
hit ratio:0.886165,time:74793
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.886566,time:75160
hit ratio:0.887053,time:75421
hit ratio:0.887595,time:75634
hit ratio:0.887989,time:75950
hit ratio:0.888459,time:76167
hit ratio:0.888973,time:76341
hit ratio:0.889512,time:76486
hit ratio:0.890029,time:76640
hit ratio:0.890498,time:76816
hit ratio:0.890949,time:77017
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.891436,time:77192
hit ratio:0.891898,time:77369
hit ratio:0.892339,time:77572
hit ratio:0.892769,time:77782
hit ratio:0.893154,time:77973
hit ratio:0.893565,time:78138
hit ratio:0.894011,time:78270
hit ratio:0.894492,time:78396
hit ratio:0.894956,time:78535
hit ratio:0.895402,time:78687
hit ratio:0.895781,time:78861
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.896171,time:79061
hit ratio:0.896541,time:79303
hit ratio:0.896874,time:79583
hit ratio:0.897219,time:79842
hit ratio:0.897444,time:80227
hit ratio:0.897502,time:80763
hit ratio:0.89739,time:81477
hit ratio:0.897133,time:82221
hit ratio:0.896889,time:82927
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.896676,time:83694
hit ratio:0.896543,time:84501
hit ratio:0.896455,time:85306
hit ratio:0.896349,time:86179
hit ratio:0.896181,time:87248
hit ratio:0.896048,time:88374
hit ratio:0.895995,time:89443
hit ratio:0.895884,time:90633
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.895779,time:91839
hit ratio:0.895652,time:92839
hit ratio:0.895259,time:93747
hit ratio:0.894951,time:94776
hit ratio:0.894575,time:95887
hit ratio:0.89436,time:97113
hit ratio:0.894181,time:98244
hit ratio:0.893864,time:99309
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.893499,time:100500
hit ratio:0.893182,time:101661
hit ratio:0.893006,time:102715
hit ratio:0.892901,time:103708
hit ratio:0.892823,time:104736
hit ratio:0.892692,time:105586
hit ratio:0.892727,time:106382
hit ratio:0.892753,time:107122
hit ratio:0.892722,time:107885
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.892579,time:108840
hit ratio:0.89249,time:109734
hit ratio:0.89243,time:110568
hit ratio:0.892325,time:111455
hit ratio:0.892283,time:112180
hit ratio:0.892104,time:112698
hit ratio:0.891863,time:113004
hit ratio:0.89164,time:113342
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...FMS-pickVAndRImpl...FMS-ctx.v:-1. FMS-invalid ctx
hit ratio:0.89135,time:113740
hit ratio:0.89095,time:113932
hit ratio:0.890528,time:114137
hit ratio:0.890148,time:114370
hit ratio:0.889839,time:114597
hit ratio:0.889575,time:114850
hit ratio:0.88931,time:115090
