Marginal Hits init.Cache Initialized. size: 8GB
hit ratio:0.35508,time:25071
hit ratio:0.381015,time:52484
hit ratio:0.359657,time:65390
hit ratio:0.341408,time:74718
hit ratio:0.32749,time:84560
hit ratio:0.321017,time:94560
hit ratio:0.335629,time:119293
hit ratio:0.339725,time:141277
hit ratio:0.334972,time:151799
hit ratio:0.329672,time:160865
hit ratio:0.325342,time:170053
hit ratio:0.31944,time:176472
hit ratio:0.322828,time:193108
hit ratio:0.328533,time:216336
hit ratio:0.33063,time:232657
hit ratio:0.32764,time:241609
hit ratio:0.326107,time:251325
hit ratio:0.324637,time:261331
hit ratio:0.32295,time:268835
hit ratio:0.327235,time:288242
hit ratio:0.333338,time:309243
hit ratio:0.335321,time:322260
hit ratio:0.333877,time:331605
hit ratio:0.333143,time:341995
hit ratio:0.333138,time:349137
hit ratio:0.335893,time:366630
hit ratio:0.342788,time:389342
hit ratio:0.345261,time:406829
hit ratio:0.344538,time:417447
hit ratio:0.343972,time:428458
hit ratio:0.344182,time:436584
hit ratio:0.35006,time:461748
hit ratio:0.355171,time:488707
hit ratio:0.358182,time:508475
hit ratio:0.361608,time:528818
EOF
hit ratio:0.36966,time:563371
num_requests:3587707,throughput:6.36828reqs/sec,
