LruTailAge Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 873925,115210544,733184,2258391
alloc failed. 877525,118266736,737280,9223372036854775807
hit ratio:0.80073,time:19410
hit ratio:0.744855,time:36078
hit ratio:0.76026,time:55104
hit ratio:0.765058,time:68987
hit ratio:0.77479,time:85754
hit ratio:0.751605,time:99983
hit ratio:0.754673,time:117155
hit ratio:0.761572,time:135439
hit ratio:0.765614,time:152058
hit ratio:0.770089,time:169932
hit ratio:0.763283,time:186003
hit ratio:0.767016,time:204521
hit ratio:0.771024,time:223394
hit ratio:0.774194,time:241218
hit ratio:0.775583,time:259379
hit ratio:0.771494,time:276090
hit ratio:0.772681,time:293665
hit ratio:0.772846,time:307934
hit ratio:0.773946,time:323219
hit ratio:0.775776,time:343025
hit ratio:0.770939,time:358925
hit ratio:0.771669,time:377402
hit ratio:0.771969,time:391690
hit ratio:0.773214,time:405377
hit ratio:0.775106,time:423866
hit ratio:0.771566,time:439446
hit ratio:0.772831,time:458368
hit ratio:0.772123,time:471806
hit ratio:0.772356,time:485151
hit ratio:0.773629,time:499120
hit ratio:0.775415,time:515050
hit ratio:0.771957,time:527546
hit ratio:0.773314,time:543745
hit ratio:0.773425,time:558396
hit ratio:0.773956,time:572324
EOF
hit ratio:0.77415,time:581588
num_requests:3558215,throughput:6.1181reqs/sec,
