Marginal Hits init. Cache Initialized. size: 256MB
alloc failed. 873925,115210544,733184,2258391
alloc failed. 877525,118266736,737280,9223372036854775807
hit ratio:0.80066,time:19410
hit ratio:0.744835,time:36078
hit ratio:0.760247,time:55104
hit ratio:0.765047,time:68987
hit ratio:0.774782,time:85754
hit ratio:0.751598,time:99983
hit ratio:0.754667,time:117155
hit ratio:0.761567,time:135439
hit ratio:0.76561,time:152058
hit ratio:0.770085,time:169932
hit ratio:0.763279,time:186003
hit ratio:0.767012,time:204521
hit ratio:0.771021,time:223394
hit ratio:0.774191,time:241218
hit ratio:0.775581,time:259379
hit ratio:0.771492,time:276090
hit ratio:0.772679,time:293665
hit ratio:0.772844,time:307934
hit ratio:0.773944,time:323219
hit ratio:0.775774,time:343025
hit ratio:0.770937,time:358925
hit ratio:0.771667,time:377402
hit ratio:0.771967,time:391690
hit ratio:0.773212,time:405377
hit ratio:0.775104,time:423866
hit ratio:0.771565,time:439446
hit ratio:0.77283,time:458368
hit ratio:0.772121,time:471806
hit ratio:0.772354,time:485151
hit ratio:0.773627,time:499120
hit ratio:0.775414,time:515050
hit ratio:0.771956,time:527546
hit ratio:0.773313,time:543745
hit ratio:0.773424,time:558396
hit ratio:0.773955,time:572324
EOF
hit ratio:0.774149,time:581588
num_requests:3558215,throughput:6.1181reqs/sec,
