LruTailAge Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 873925,115210544,733184,2258391
alloc failed. 877525,118266736,737280,9223372036854775807
hit ratio:0.80229,time:19410
hit ratio:0.745945,time:36078
hit ratio:0.761537,time:55104
hit ratio:0.76667,time:68987
hit ratio:0.776288,time:85754
hit ratio:0.753208,time:99983
hit ratio:0.756326,time:117155
hit ratio:0.763224,time:135439
hit ratio:0.76737,time:152058
hit ratio:0.77182,time:169932
hit ratio:0.764927,time:186003
hit ratio:0.768682,time:204521
hit ratio:0.772658,time:223394
hit ratio:0.775808,time:241218
hit ratio:0.777171,time:259379
hit ratio:0.773067,time:276090
hit ratio:0.774306,time:293665
hit ratio:0.774497,time:307934
hit ratio:0.775586,time:323219
hit ratio:0.777466,time:343025
hit ratio:0.772646,time:358925
hit ratio:0.773401,time:377402
hit ratio:0.773741,time:391690
hit ratio:0.774999,time:405377
hit ratio:0.776872,time:423866
hit ratio:0.77329,time:439446
hit ratio:0.774558,time:458368
hit ratio:0.77386,time:471806
hit ratio:0.774067,time:485151
hit ratio:0.77535,time:499120
hit ratio:0.777131,time:515050
hit ratio:0.773682,time:527546
hit ratio:0.775072,time:543745
hit ratio:0.77517,time:558396
hit ratio:0.775717,time:572324
EOF
hit ratio:0.775908,time:581588
num_requests:3558215,throughput:6.1181reqs/sec,
