Cache Initialized. size: 256MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.44151,time:19139
hit ratio:0.324715,time:21914
hit ratio:0.327343,time:30152
hit ratio:0.270498,time:35987
hit ratio:0.291076,time:51411
hit ratio:0.321427,time:73062
hit ratio:0.306444,time:79425
hit ratio:0.311929,time:94670
hit ratio:0.31265,time:105489
hit ratio:0.303857,time:108701
hit ratio:0.304542,time:122834
hit ratio:0.289602,time:127124
hit ratio:0.3014,time:144411
hit ratio:0.313194,time:166367
hit ratio:0.298533,time:166872
hit ratio:0.306228,time:181208
hit ratio:0.307858,time:198113
hit ratio:0.302356,time:210093
hit ratio:0.297406,time:220764
hit ratio:0.300274,time:238112
hit ratio:0.303927,time:253603
hit ratio:0.302423,time:264004
hit ratio:0.307479,time:282731
hit ratio:0.301897,time:287225
hit ratio:0.296032,time:297378
hit ratio:0.296216,time:310447
hit ratio:0.302586,time:328893
hit ratio:0.298803,time:340859
hit ratio:0.302282,time:358210
hit ratio:0.304893,time:372629
hit ratio:0.303186,time:379221
hit ratio:0.296879,time:384424
hit ratio:0.298682,time:393413
hit ratio:0.301285,time:409680
hit ratio:0.304949,time:423528
hit ratio:0.300043,time:431452
hit ratio:0.304004,time:452982
hit ratio:0.299732,time:454516
hit ratio:0.298322,time:462775
hit ratio:0.295917,time:471286
hit ratio:0.291316,time:474557
hit ratio:0.293812,time:489276
hit ratio:0.297668,time:508774
hit ratio:0.294341,time:515126
hit ratio:0.296008,time:525497
hit ratio:0.298093,time:540478
hit ratio:0.297357,time:551344
hit ratio:0.294482,time:558478
hit ratio:0.292762,time:559895
hit ratio:0.293764,time:577520
hit ratio:0.298057,time:599451
hit ratio:0.293684,time:602272
EOF
hit ratio:0.292351,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
