Marginal Hits init. Cache Initialized. size: 256MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.44157,time:19139
hit ratio:0.324745,time:21914
hit ratio:0.327363,time:30152
hit ratio:0.270512,time:35987
hit ratio:0.291088,time:51411
hit ratio:0.321437,time:73062
hit ratio:0.306453,time:79425
hit ratio:0.311936,time:94670
hit ratio:0.312657,time:105489
hit ratio:0.303863,time:108701
hit ratio:0.304547,time:122834
hit ratio:0.289607,time:127124
hit ratio:0.301405,time:144411
hit ratio:0.313199,time:166367
hit ratio:0.298537,time:166872
hit ratio:0.306232,time:181208
hit ratio:0.307862,time:198113
hit ratio:0.302359,time:210093
hit ratio:0.297409,time:220764
hit ratio:0.300276,time:238112
hit ratio:0.30393,time:253603
hit ratio:0.302426,time:264004
hit ratio:0.307482,time:282731
hit ratio:0.301899,time:287225
hit ratio:0.296034,time:297378
hit ratio:0.296218,time:310447
hit ratio:0.302589,time:328893
hit ratio:0.298805,time:340859
hit ratio:0.302284,time:358210
hit ratio:0.304895,time:372629
hit ratio:0.303188,time:379221
hit ratio:0.296881,time:384424
hit ratio:0.298684,time:393413
hit ratio:0.301287,time:409680
hit ratio:0.30495,time:423528
hit ratio:0.300045,time:431452
hit ratio:0.304005,time:452982
hit ratio:0.299739,time:454516
hit ratio:0.298351,time:462775
hit ratio:0.29594,time:471286
hit ratio:0.291339,time:474557
hit ratio:0.293835,time:489276
hit ratio:0.29769,time:508774
hit ratio:0.294362,time:515126
hit ratio:0.296029,time:525497
hit ratio:0.298114,time:540478
hit ratio:0.297378,time:551344
hit ratio:0.294502,time:558478
hit ratio:0.292779,time:559895
hit ratio:0.293772,time:577520
hit ratio:0.298065,time:599451
hit ratio:0.293692,time:602272
EOF
hit ratio:0.292359,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
