FreeMem Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.5031,time:19139
hit ratio:0.389515,time:21914
hit ratio:0.39563,time:30152
hit ratio:0.33233,time:35987
hit ratio:0.357134,time:51411
hit ratio:0.390563,time:73062
hit ratio:0.37673,time:79425
hit ratio:0.380975,time:94670
hit ratio:0.387104,time:105489
hit ratio:0.379097,time:108701
hit ratio:0.378638,time:122834
hit ratio:0.361044,time:127124
hit ratio:0.375714,time:144411
hit ratio:0.389131,time:166367
hit ratio:0.374151,time:166872
hit ratio:0.383005,time:181208
hit ratio:0.383227,time:198113
hit ratio:0.375664,time:210093
hit ratio:0.369672,time:220764
hit ratio:0.372565,time:238112
hit ratio:0.375297,time:253603
hit ratio:0.372967,time:264004
hit ratio:0.379446,time:282731
hit ratio:0.372583,time:287225
hit ratio:0.365275,time:297378
hit ratio:0.365808,time:310447
hit ratio:0.373019,time:328893
hit ratio:0.367842,time:340859
hit ratio:0.371457,time:358210
hit ratio:0.374462,time:372629
hit ratio:0.372014,time:379221
hit ratio:0.364789,time:384424
hit ratio:0.367882,time:393413
hit ratio:0.372222,time:409680
hit ratio:0.377594,time:423528
hit ratio:0.371983,time:431452
hit ratio:0.376528,time:452982
hit ratio:0.372847,time:454516
hit ratio:0.371773,time:462775
hit ratio:0.368344,time:471286
hit ratio:0.362881,time:474557
hit ratio:0.366326,time:489276
hit ratio:0.372293,time:508774
hit ratio:0.36861,time:515126
hit ratio:0.370249,time:525497
hit ratio:0.372572,time:540478
hit ratio:0.371089,time:551344
hit ratio:0.367383,time:558478
hit ratio:0.365875,time:559895
hit ratio:0.366778,time:577520
hit ratio:0.372719,time:599451
hit ratio:0.368008,time:602272
EOF
hit ratio:0.366611,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
