Cache Initialized. size: 256MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.44781,time:19139
hit ratio:0.330945,time:21914
hit ratio:0.333723,time:30152
hit ratio:0.27564,time:35987
hit ratio:0.296452,time:51411
hit ratio:0.327752,time:73062
hit ratio:0.312036,time:79425
hit ratio:0.317334,time:94670
hit ratio:0.317754,time:105489
hit ratio:0.308352,time:108701
hit ratio:0.30912,time:122834
hit ratio:0.293843,time:127124
hit ratio:0.306122,time:144411
hit ratio:0.317861,time:166367
hit ratio:0.302914,time:166872
hit ratio:0.310656,time:181208
hit ratio:0.31213,time:198113
hit ratio:0.306542,time:210093
hit ratio:0.301384,time:220764
hit ratio:0.304251,time:238112
hit ratio:0.30799,time:253603
hit ratio:0.306454,time:264004
hit ratio:0.311618,time:282731
hit ratio:0.305934,time:287225
hit ratio:0.30005,time:297378
hit ratio:0.300282,time:310447
hit ratio:0.306673,time:328893
hit ratio:0.302742,time:340859
hit ratio:0.306341,time:358210
hit ratio:0.309058,time:372629
hit ratio:0.307318,time:379221
hit ratio:0.301003,time:384424
hit ratio:0.302886,time:393413
hit ratio:0.305567,time:409680
hit ratio:0.309337,time:423528
hit ratio:0.304286,time:431452
hit ratio:0.308286,time:452982
hit ratio:0.303847,time:454516
hit ratio:0.302436,time:462775
hit ratio:0.299979,time:471286
hit ratio:0.29529,time:474557
hit ratio:0.297833,time:489276
hit ratio:0.301757,time:508774
hit ratio:0.298356,time:515126
hit ratio:0.300079,time:525497
hit ratio:0.302229,time:540478
hit ratio:0.301425,time:551344
hit ratio:0.298497,time:558478
hit ratio:0.296721,time:559895
hit ratio:0.297733,time:577520
hit ratio:0.302025,time:599451
hit ratio:0.297578,time:602272
EOF
hit ratio:0.296228,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
