Cache Initialized. size: 256MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.44787,time:19139
hit ratio:0.332535,time:21914
hit ratio:0.33622,time:30152
hit ratio:0.277523,time:35987
hit ratio:0.29878,time:51411
hit ratio:0.330477,time:73062
hit ratio:0.31506,time:79425
hit ratio:0.320559,time:94670
hit ratio:0.320608,time:105489
hit ratio:0.311343,time:108701
hit ratio:0.311982,time:122834
hit ratio:0.29648,time:127124
hit ratio:0.309027,time:144411
hit ratio:0.320886,time:166367
hit ratio:0.305869,time:166872
hit ratio:0.313704,time:181208
hit ratio:0.314999,time:198113
hit ratio:0.309256,time:210093
hit ratio:0.303963,time:220764
hit ratio:0.306712,time:238112
hit ratio:0.310557,time:253603
hit ratio:0.309106,time:264004
hit ratio:0.314407,time:282731
hit ratio:0.308598,time:287225
hit ratio:0.302611,time:297378
hit ratio:0.302897,time:310447
hit ratio:0.309341,time:328893
hit ratio:0.305321,time:340859
hit ratio:0.309005,time:358210
hit ratio:0.311789,time:372629
hit ratio:0.310006,time:379221
hit ratio:0.303678,time:384424
hit ratio:0.305588,time:393413
hit ratio:0.308314,time:409680
hit ratio:0.312257,time:423528
hit ratio:0.307127,time:431452
hit ratio:0.311153,time:452982
hit ratio:0.306635,time:454516
hit ratio:0.305164,time:462775
hit ratio:0.302631,time:471286
hit ratio:0.29788,time:474557
hit ratio:0.300573,time:489276
hit ratio:0.30454,time:508774
hit ratio:0.301195,time:515126
hit ratio:0.302898,time:525497
hit ratio:0.305077,time:540478
hit ratio:0.304192,time:551344
hit ratio:0.301209,time:558478
hit ratio:0.299385,time:559895
hit ratio:0.300365,time:577520
hit ratio:0.304667,time:599451
hit ratio:0.30018,time:602272
EOF
hit ratio:0.298803,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
