Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.5065,time:19139
hit ratio:0.39123,time:21914
hit ratio:0.397653,time:30152
hit ratio:0.333945,time:35987
hit ratio:0.359154,time:51411
hit ratio:0.39348,time:73062
hit ratio:0.379979,time:79425
hit ratio:0.384576,time:94670
hit ratio:0.391312,time:105489
hit ratio:0.383255,time:108701
hit ratio:0.382648,time:122834
hit ratio:0.364958,time:127124
hit ratio:0.379212,time:144411
hit ratio:0.393089,time:166367
hit ratio:0.377739,time:166872
hit ratio:0.386092,time:181208
hit ratio:0.385991,time:198113
hit ratio:0.378284,time:210093
hit ratio:0.372247,time:220764
hit ratio:0.375304,time:238112
hit ratio:0.378064,time:253603
hit ratio:0.375678,time:264004
hit ratio:0.38196,time:282731
hit ratio:0.375053,time:287225
hit ratio:0.367693,time:297378
hit ratio:0.36835,time:310447
hit ratio:0.375559,time:328893
hit ratio:0.370343,time:340859
hit ratio:0.374024,time:358210
hit ratio:0.376916,time:372629
hit ratio:0.37449,time:379221
hit ratio:0.367266,time:384424
hit ratio:0.370519,time:393413
hit ratio:0.375022,time:409680
hit ratio:0.38062,time:423528
hit ratio:0.375019,time:431452
hit ratio:0.380167,time:452982
hit ratio:0.376543,time:454516
hit ratio:0.375366,time:462775
hit ratio:0.371888,time:471286
hit ratio:0.36637,time:474557
hit ratio:0.369803,time:489276
hit ratio:0.375775,time:508774
hit ratio:0.372073,time:515126
hit ratio:0.373735,time:525497
hit ratio:0.376068,time:540478
hit ratio:0.37456,time:551344
hit ratio:0.370829,time:558478
hit ratio:0.369297,time:559895
hit ratio:0.370275,time:577520
hit ratio:0.37619,time:599451
hit ratio:0.371468,time:602272
EOF
hit ratio:0.370017,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
