Hits Per Slab Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.50631,time:19139
hit ratio:0.391135,time:21914
hit ratio:0.39753,time:30152
hit ratio:0.333795,time:35987
hit ratio:0.358948,time:51411
hit ratio:0.393308,time:73062
hit ratio:0.37978,time:79425
hit ratio:0.384374,time:94670
hit ratio:0.391146,time:105489
hit ratio:0.383116,time:108701
hit ratio:0.382523,time:122834
hit ratio:0.364819,time:127124
hit ratio:0.379049,time:144411
hit ratio:0.392938,time:166367
hit ratio:0.377563,time:166872
hit ratio:0.385927,time:181208
hit ratio:0.385838,time:198113
hit ratio:0.378137,time:210093
hit ratio:0.372101,time:220764
hit ratio:0.375174,time:238112
hit ratio:0.377937,time:253603
hit ratio:0.375519,time:264004
hit ratio:0.381807,time:282731
hit ratio:0.374915,time:287225
hit ratio:0.367549,time:297378
hit ratio:0.368174,time:310447
hit ratio:0.375417,time:328893
hit ratio:0.3702,time:340859
hit ratio:0.373885,time:358210
hit ratio:0.376785,time:372629
hit ratio:0.374362,time:379221
hit ratio:0.367128,time:384424
hit ratio:0.370389,time:393413
hit ratio:0.374896,time:409680
hit ratio:0.380499,time:423528
hit ratio:0.374878,time:431452
hit ratio:0.38003,time:452982
hit ratio:0.376444,time:454516
hit ratio:0.375277,time:462775
hit ratio:0.371802,time:471286
hit ratio:0.366273,time:474557
hit ratio:0.369706,time:489276
hit ratio:0.375672,time:508774
hit ratio:0.371949,time:515126
hit ratio:0.373611,time:525497
hit ratio:0.375941,time:540478
hit ratio:0.374439,time:551344
hit ratio:0.370701,time:558478
hit ratio:0.369171,time:559895
hit ratio:0.37015,time:577520
hit ratio:0.376066,time:599451
hit ratio:0.371335,time:602272
EOF
hit ratio:0.369885,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
