LruTailAge Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.50643,time:19139
hit ratio:0.39121,time:21914
hit ratio:0.39764,time:30152
hit ratio:0.333935,time:35987
hit ratio:0.359146,time:51411
hit ratio:0.393473,time:73062
hit ratio:0.379973,time:79425
hit ratio:0.384571,time:94670
hit ratio:0.391308,time:105489
hit ratio:0.383251,time:108701
hit ratio:0.382645,time:122834
hit ratio:0.364954,time:127124
hit ratio:0.379208,time:144411
hit ratio:0.393086,time:166367
hit ratio:0.377737,time:166872
hit ratio:0.386089,time:181208
hit ratio:0.385989,time:198113
hit ratio:0.378282,time:210093
hit ratio:0.372245,time:220764
hit ratio:0.375302,time:238112
hit ratio:0.378062,time:253603
hit ratio:0.375676,time:264004
hit ratio:0.381958,time:282731
hit ratio:0.375051,time:287225
hit ratio:0.367691,time:297378
hit ratio:0.368348,time:310447
hit ratio:0.375557,time:328893
hit ratio:0.370341,time:340859
hit ratio:0.374023,time:358210
hit ratio:0.376915,time:372629
hit ratio:0.374488,time:379221
hit ratio:0.367264,time:384424
hit ratio:0.370518,time:393413
hit ratio:0.375021,time:409680
hit ratio:0.380619,time:423528
hit ratio:0.375018,time:431452
hit ratio:0.380165,time:452982
hit ratio:0.376539,time:454516
hit ratio:0.375361,time:462775
hit ratio:0.371882,time:471286
hit ratio:0.366364,time:474557
hit ratio:0.369798,time:489276
hit ratio:0.375771,time:508774
hit ratio:0.372069,time:515126
hit ratio:0.373732,time:525497
hit ratio:0.376065,time:540478
hit ratio:0.374558,time:551344
hit ratio:0.370826,time:558478
hit ratio:0.369294,time:559895
hit ratio:0.370275,time:577520
hit ratio:0.376189,time:599451
hit ratio:0.371466,time:602272
EOF
hit ratio:0.370015,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
