Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.50725,time:19139
hit ratio:0.38927,time:21914
hit ratio:0.40118,time:30152
hit ratio:0.340627,time:35987
hit ratio:0.380616,time:51411
hit ratio:0.424843,time:73062
hit ratio:0.411571,time:79425
hit ratio:0.421915,time:94670
hit ratio:0.434819,time:105489
hit ratio:0.424255,time:108701
hit ratio:0.428885,time:122834
hit ratio:0.412023,time:127124
hit ratio:0.430192,time:144411
hit ratio:0.445403,time:166367
hit ratio:0.432083,time:166872
hit ratio:0.441761,time:181208
hit ratio:0.439751,time:198113
hit ratio:0.430614,time:210093
hit ratio:0.423926,time:220764
hit ratio:0.426285,time:238112
hit ratio:0.427891,time:253603
hit ratio:0.425593,time:264004
hit ratio:0.433192,time:282731
hit ratio:0.42524,time:287225
hit ratio:0.416525,time:297378
hit ratio:0.417469,time:310447
hit ratio:0.423557,time:328893
hit ratio:0.41727,time:340859
hit ratio:0.421786,time:358210
hit ratio:0.425377,time:372629
hit ratio:0.423085,time:379221
hit ratio:0.415387,time:384424
hit ratio:0.418174,time:393413
hit ratio:0.42417,time:409680
hit ratio:0.432324,time:423528
hit ratio:0.426233,time:431452
hit ratio:0.43312,time:452982
hit ratio:0.429461,time:454516
hit ratio:0.427468,time:462775
hit ratio:0.424824,time:471286
hit ratio:0.419057,time:474557
hit ratio:0.423355,time:489276
hit ratio:0.430848,time:508774
hit ratio:0.426683,time:515126
hit ratio:0.428439,time:525497
hit ratio:0.431071,time:540478
hit ratio:0.428555,time:551344
hit ratio:0.425478,time:558478
hit ratio:0.423609,time:559895
hit ratio:0.425911,time:577520
hit ratio:0.432835,time:599451
hit ratio:0.427125,time:602272
EOF
hit ratio:0.425516,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
