LruTailAge Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.50723,time:19139
hit ratio:0.38907,time:21914
hit ratio:0.40107,time:30152
hit ratio:0.340663,time:35987
hit ratio:0.380584,time:51411
hit ratio:0.424808,time:73062
hit ratio:0.411587,time:79425
hit ratio:0.421937,time:94670
hit ratio:0.434632,time:105489
hit ratio:0.423019,time:108701
hit ratio:0.42805,time:122834
hit ratio:0.411198,time:127124
hit ratio:0.430481,time:144411
hit ratio:0.445687,time:166367
hit ratio:0.4322,time:166872
hit ratio:0.442046,time:181208
hit ratio:0.440088,time:198113
hit ratio:0.430976,time:210093
hit ratio:0.424194,time:220764
hit ratio:0.426454,time:238112
hit ratio:0.427938,time:253603
hit ratio:0.425652,time:264004
hit ratio:0.433296,time:282731
hit ratio:0.425326,time:287225
hit ratio:0.416603,time:297378
hit ratio:0.417499,time:310447
hit ratio:0.423616,time:328893
hit ratio:0.417331,time:340859
hit ratio:0.421853,time:358210
hit ratio:0.425444,time:372629
hit ratio:0.423113,time:379221
hit ratio:0.415417,time:384424
hit ratio:0.418229,time:393413
hit ratio:0.424325,time:409680
hit ratio:0.432341,time:423528
hit ratio:0.426258,time:431452
hit ratio:0.43312,time:452982
hit ratio:0.429447,time:454516
hit ratio:0.427439,time:462775
hit ratio:0.424768,time:471286
hit ratio:0.418991,time:474557
hit ratio:0.423361,time:489276
hit ratio:0.430857,time:508774
hit ratio:0.426667,time:515126
hit ratio:0.428477,time:525497
hit ratio:0.431439,time:540478
hit ratio:0.428942,time:551344
hit ratio:0.425858,time:558478
hit ratio:0.423895,time:559895
hit ratio:0.426206,time:577520
hit ratio:0.43349,time:599451
hit ratio:0.427846,time:602272
EOF
hit ratio:0.426229,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
