Cache Initialized. size: 16GB
hit ratio:0.78546,time:34558
hit ratio:0.805305,time:70296
hit ratio:0.809377,time:103287
hit ratio:0.701638,time:118332
hit ratio:0.63739,time:119201
hit ratio:0.533087,time:119626
hit ratio:0.460551,time:119894
hit ratio:0.406856,time:120453
hit ratio:0.368619,time:121756
hit ratio:0.419313,time:160790
hit ratio:0.452428,time:193006
hit ratio:0.476576,time:194133
hit ratio:0.450505,time:194852
hit ratio:0.421856,time:195175
hit ratio:0.397071,time:195638
hit ratio:0.375429,time:195942
hit ratio:0.389029,time:220774
hit ratio:0.414575,time:253626
hit ratio:0.440102,time:287206
hit ratio:0.466079,time:321254
hit ratio:0.476108,time:322623
hit ratio:0.465257,time:323274
hit ratio:0.44884,time:323626
hit ratio:0.432845,time:324095
hit ratio:0.417361,time:324452
hit ratio:0.416763,time:339161
hit ratio:0.432988,time:373090
hit ratio:0.443016,time:380849
hit ratio:0.439071,time:381591
hit ratio:0.428124,time:381979
hit ratio:0.415743,time:382451
hit ratio:0.405077,time:382980
hit ratio:0.400895,time:392288
hit ratio:0.414444,time:425389
hit ratio:0.427809,time:458490
hit ratio:0.436027,time:467706
hit ratio:0.434606,time:468569
hit ratio:0.426087,time:468977
hit ratio:0.416316,time:469324
hit ratio:0.40744,time:469849
hit ratio:0.403034,time:476894
hit ratio:0.413147,time:509870
hit ratio:0.423781,time:549327
hit ratio:0.430247,time:555396
hit ratio:0.427187,time:556059
hit ratio:0.419538,time:556425
hit ratio:0.411216,time:556770
hit ratio:0.403667,time:557214
hit ratio:0.401661,time:567756
hit ratio:0.410799,time:601771
EOF
hit ratio:0.412714,time:609839
num_requests:5026619,throughput:8.24253reqs/sec,
