Marginal Hits init. Cache Initialized. size: 256MB
hit ratio:0.78241,time:34558
alloc failed. 14851124,9904743,69632,244712
alloc failed. 14851124,12198287,69632,244724
hit ratio:0.782715,time:70296
hit ratio:0.77388,time:103287
hit ratio:0.666475,time:118332
hit ratio:0.538138,time:119201
hit ratio:0.449682,time:119626
hit ratio:0.386069,time:119894
hit ratio:0.339354,time:120453
hit ratio:0.30496,time:121756
hit ratio:0.35213,time:160790
hit ratio:0.378805,time:193006
hit ratio:0.350966,time:194133
hit ratio:0.325215,time:194852
hit ratio:0.302204,time:195175
hit ratio:0.282618,time:195638
hit ratio:0.265266,time:195942
hit ratio:0.279525,time:220774
hit ratio:0.303327,time:253626
hit ratio:0.326993,time:287206
hit ratio:0.349347,time:321254
hit ratio:0.334297,time:322623
hit ratio:0.319969,time:323274
hit ratio:0.306296,time:323626
hit ratio:0.293983,time:324095
hit ratio:0.282472,time:324452
hit ratio:0.283534,time:339161
hit ratio:0.301289,time:373090
hit ratio:0.296602,time:380849
hit ratio:0.28703,time:381591
hit ratio:0.277717,time:381979
hit ratio:0.269011,time:382451
hit ratio:0.260985,time:382980
hit ratio:0.259033,time:392288
hit ratio:0.27309,time:425389
hit ratio:0.286488,time:458490
hit ratio:0.284262,time:467706
hit ratio:0.277228,time:468569
hit ratio:0.27015,time:468977
hit ratio:0.263376,time:469324
hit ratio:0.257006,time:469849
hit ratio:0.254525,time:476894
hit ratio:0.2655,time:509870
hit ratio:0.276884,time:549327
hit ratio:0.273613,time:555396
hit ratio:0.26796,time:556059
hit ratio:0.262309,time:556425
hit ratio:0.25687,time:556770
hit ratio:0.251661,time:557214
hit ratio:0.251129,time:567756
hit ratio:0.260796,time:601771
EOF
hit ratio:0.262866,time:609839
num_requests:5026619,throughput:8.24253reqs/sec,
