Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
hit ratio:0.7833,time:34558
alloc failed. 14851124,9904743,69632,244712
alloc failed. 14851124,12198287,69632,244724
hit ratio:0.78289,time:70296
hit ratio:0.774183,time:103287
hit ratio:0.66653,time:118332
hit ratio:0.538182,time:119201
hit ratio:0.449732,time:119626
hit ratio:0.386121,time:119894
hit ratio:0.339429,time:120453
hit ratio:0.305131,time:121756
hit ratio:0.35237,time:160790
hit ratio:0.379142,time:193006
hit ratio:0.351278,time:194133
hit ratio:0.325517,time:194852
hit ratio:0.302483,time:195175
hit ratio:0.282889,time:195638
hit ratio:0.265526,time:195942
hit ratio:0.279819,time:220774
hit ratio:0.303625,time:253626
hit ratio:0.327343,time:287206
hit ratio:0.349725,time:321254
hit ratio:0.334678,time:322623
hit ratio:0.320335,time:323274
hit ratio:0.306647,time:323626
hit ratio:0.294333,time:324095
hit ratio:0.282806,time:324452
hit ratio:0.283872,time:339161
hit ratio:0.301634,time:373090
hit ratio:0.296884,time:380849
hit ratio:0.287307,time:381591
hit ratio:0.277994,time:381979
hit ratio:0.269281,time:382451
hit ratio:0.261255,time:382980
hit ratio:0.259304,time:392288
hit ratio:0.273393,time:425389
hit ratio:0.286805,time:458490
hit ratio:0.28459,time:467706
hit ratio:0.277547,time:468569
hit ratio:0.270462,time:468977
hit ratio:0.263684,time:469324
hit ratio:0.257315,time:469849
hit ratio:0.254834,time:476894
hit ratio:0.265806,time:509870
hit ratio:0.277209,time:549327
hit ratio:0.273923,time:555396
hit ratio:0.268263,time:556059
hit ratio:0.262606,time:556425
hit ratio:0.257163,time:556770
hit ratio:0.251949,time:557214
hit ratio:0.251417,time:567756
hit ratio:0.261151,time:601771
EOF
hit ratio:0.263227,time:609839
num_requests:5026619,throughput:8.24253reqs/sec,
