Cache Initialized. size: 256MB
hit ratio:0.7833,time:34558
alloc failed. 14851124,9904743,69632,244712
alloc failed. 14851124,12198287,69632,244724
hit ratio:0.782935,time:70296
hit ratio:0.774213,time:103287
hit ratio:0.666552,time:118332
hit ratio:0.5382,time:119201
hit ratio:0.449747,time:119626
hit ratio:0.386134,time:119894
hit ratio:0.33944,time:120453
hit ratio:0.305141,time:121756
hit ratio:0.352379,time:160790
hit ratio:0.37915,time:193006
hit ratio:0.351286,time:194133
hit ratio:0.325524,time:194852
hit ratio:0.302489,time:195175
hit ratio:0.282895,time:195638
hit ratio:0.265531,time:195942
hit ratio:0.279825,time:220774
hit ratio:0.30363,time:253626
hit ratio:0.327348,time:287206
hit ratio:0.349729,time:321254
hit ratio:0.334682,time:322623
hit ratio:0.320339,time:323274
hit ratio:0.306651,time:323626
hit ratio:0.294337,time:324095
hit ratio:0.28281,time:324452
hit ratio:0.283875,time:339161
hit ratio:0.301637,time:373090
hit ratio:0.296887,time:380849
hit ratio:0.28731,time:381591
hit ratio:0.277997,time:381979
hit ratio:0.269284,time:382451
hit ratio:0.261257,time:382980
hit ratio:0.259307,time:392288
hit ratio:0.273396,time:425389
hit ratio:0.286807,time:458490
hit ratio:0.284592,time:467706
hit ratio:0.277549,time:468569
hit ratio:0.270464,time:468977
hit ratio:0.263686,time:469324
hit ratio:0.257318,time:469849
hit ratio:0.254836,time:476894
hit ratio:0.265808,time:509870
hit ratio:0.277211,time:549327
hit ratio:0.273925,time:555396
hit ratio:0.268265,time:556059
hit ratio:0.262608,time:556425
hit ratio:0.257165,time:556770
hit ratio:0.25195,time:557214
hit ratio:0.251419,time:567756
hit ratio:0.261153,time:601771
EOF
hit ratio:0.263229,time:609839
num_requests:5026619,throughput:8.24253reqs/sec,
