Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
hit ratio:0.78368,time:34558
alloc failed. 14851124,9904743,69632,244712
hit ratio:0.782725,time:70296
hit ratio:0.775873,time:103287
hit ratio:0.668955,time:118332
hit ratio:0.547346,time:119201
hit ratio:0.457662,time:119626
hit ratio:0.393141,time:119894
hit ratio:0.346374,time:120453
hit ratio:0.311929,time:121756
hit ratio:0.359743,time:160790
hit ratio:0.387118,time:193006
hit ratio:0.359212,time:194133
hit ratio:0.334428,time:194852
hit ratio:0.310889,time:195175
hit ratio:0.291032,time:195638
hit ratio:0.273326,time:195942
hit ratio:0.287954,time:220774
hit ratio:0.311896,time:253626
hit ratio:0.335655,time:287206
hit ratio:0.358206,time:321254
hit ratio:0.343396,time:322623
hit ratio:0.329946,time:323274
hit ratio:0.316007,time:323626
hit ratio:0.303534,time:324095
hit ratio:0.291746,time:324452
hit ratio:0.293031,time:339161
hit ratio:0.310612,time:373090
hit ratio:0.306066,time:380849
hit ratio:0.296938,time:381591
hit ratio:0.287513,time:381979
hit ratio:0.278525,time:382451
hit ratio:0.270393,time:382980
hit ratio:0.268468,time:392288
hit ratio:0.282266,time:425389
hit ratio:0.295665,time:458490
hit ratio:0.293493,time:467706
hit ratio:0.286877,time:468569
hit ratio:0.279762,time:468977
hit ratio:0.272782,time:469324
hit ratio:0.266249,time:469849
hit ratio:0.263795,time:476894
hit ratio:0.274557,time:509870
hit ratio:0.285961,time:549327
hit ratio:0.282666,time:555396
hit ratio:0.27708,time:556059
hit ratio:0.271458,time:556425
hit ratio:0.26587,time:556770
hit ratio:0.260533,time:557214
hit ratio:0.259981,time:567756
hit ratio:0.269654,time:601771
EOF
hit ratio:0.271708,time:609839
num_requests:5026619,throughput:8.24253reqs/sec,
