FreeMem Rebalancing init. Cache Initialized. size: 256MB
hit ratio:0.48819,time:8893
hit ratio:0.52972,time:18679
hit ratio:0.483773,time:24809
hit ratio:0.479997,time:32000
hit ratio:0.548706,time:72782
hit ratio:0.583882,time:83441
hit ratio:0.573736,time:90653
hit ratio:0.591975,time:100524
hit ratio:0.580972,time:107226
hit ratio:0.591845,time:118158
hit ratio:0.566705,time:119838
hit ratio:0.562387,time:151668
hit ratio:0.553962,time:158380
hit ratio:0.553849,time:166145
hit ratio:0.564525,time:175477
hit ratio:0.576216,time:184724
hit ratio:0.57186,time:191734
hit ratio:0.580902,time:202944
hit ratio:0.59211,time:243168
hit ratio:0.591311,time:250320
hit ratio:0.587246,time:256492
hit ratio:0.591808,time:264488
hit ratio:0.605793,time:275096
hit ratio:0.608967,time:283073
hit ratio:0.618779,time:323076
hit ratio:0.623557,time:334227
hit ratio:0.626839,time:341525
hit ratio:0.627881,time:347712
hit ratio:0.632207,time:355038
hit ratio:0.641986,time:364013
hit ratio:0.644499,time:372476
hit ratio:0.648116,time:410745
hit ratio:0.64784,time:417763
hit ratio:0.649485,time:425501
hit ratio:0.648271,time:432681
hit ratio:0.640949,time:437621
hit ratio:0.633602,time:441466
hit ratio:0.632534,time:449598
hit ratio:0.633579,time:457921
hit ratio:0.637324,time:497393
hit ratio:0.636323,time:505345
hit ratio:0.630089,time:509612
hit ratio:0.631291,time:518168
hit ratio:0.637833,time:530353
hit ratio:0.639591,time:539656
hit ratio:0.641241,time:549341
hit ratio:0.641376,time:588319
hit ratio:0.640384,time:597229
hit ratio:0.637919,time:606060
EOF
hit ratio:0.636221,time:606699
num_requests:4926610,throughput:8.12035reqs/sec,
