Hits Per Slab Rebalancing init. Cache Initialized. size: 2GB
hit ratio:0.66822,time:16891
hit ratio:0.67187,time:34469
hit ratio:0.69846,time:54535
hit ratio:0.58728,time:57022
hit ratio:0.514946,time:57338
hit ratio:0.445457,time:58087
hit ratio:0.394559,time:58954
hit ratio:0.358364,time:60017
hit ratio:0.371907,time:76760
hit ratio:0.406954,time:93953
hit ratio:0.442163,time:112178
hit ratio:0.471917,time:128504
hit ratio:0.460218,time:136196
hit ratio:0.440499,time:136520
hit ratio:0.423959,time:136979
hit ratio:0.399341,time:137875
hit ratio:0.380078,time:138837
hit ratio:0.38578,time:150641
hit ratio:0.402462,time:172410
hit ratio:0.420573,time:187786
hit ratio:0.437368,time:206839
hit ratio:0.454564,time:227428
hit ratio:0.470638,time:247062
hit ratio:0.487816,time:270917
hit ratio:0.502283,time:291592
hit ratio:0.514887,time:312205
hit ratio:0.526943,time:332266
hit ratio:0.537634,time:353999
hit ratio:0.549464,time:376482
hit ratio:0.559036,time:397554
hit ratio:0.569509,time:417952
hit ratio:0.5756,time:435703
hit ratio:0.58323,time:453690
hit ratio:0.590378,time:474091
hit ratio:0.597204,time:497972
hit ratio:0.60361,time:515866
hit ratio:0.608912,time:533467
hit ratio:0.61458,time:553099
EOF
hit ratio:0.617087,time:571069
num_requests:3880481,throughput:6.79512reqs/sec,
