FreeMem Rebalancing init. Cache Initialized. size: 16GB
hit ratio:0.65126,time:59498
hit ratio:0.43753,time:59972
hit ratio:0.300127,time:60925
hit ratio:0.22763,time:61589
hit ratio:0.23656,time:62935
hit ratio:0.199053,time:63741
alloc failed. 13315780,47890408,633856,955300
hit ratio:0.21283,time:101305
hit ratio:0.237129,time:101998
hit ratio:0.231202,time:102765
hit ratio:0.233693,time:103568
hit ratio:0.237708,time:104468
hit ratio:0.23376,time:105524
hit ratio:0.225829,time:115391
hit ratio:0.258944,time:174985
hit ratio:0.255215,time:175523
hit ratio:0.244814,time:176501
hit ratio:0.232564,time:177136
hit ratio:0.235085,time:178532
hit ratio:0.228019,time:179412
hit ratio:0.233661,time:221587
hit ratio:0.253743,time:288244
hit ratio:0.25623,time:288846
hit ratio:0.247557,time:289777
hit ratio:0.23864,time:290602
hit ratio:0.239634,time:291982
hit ratio:0.232621,time:292868
hit ratio:0.234392,time:326023
hit ratio:0.246646,time:363814
hit ratio:0.243943,time:364488
hit ratio:0.239049,time:365614
hit ratio:0.232046,time:366195
hit ratio:0.234217,time:367692
hit ratio:0.229426,time:368654
hit ratio:0.235678,time:419645
hit ratio:0.244302,time:448810
hit ratio:0.241735,time:449510
hit ratio:0.235752,time:450612
hit ratio:0.231275,time:451330
hit ratio:0.230983,time:452569
hit ratio:0.225492,time:453361
hit ratio:0.232711,time:515771
hit ratio:0.239729,time:536508
hit ratio:0.236133,time:537154
hit ratio:0.232791,time:538203
hit ratio:0.231261,time:539027
hit ratio:0.23059,time:540529
hit ratio:0.226296,time:541487
EOF
hit ratio:0.233586,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
