Cache Initialized. size: 16GB
hit ratio:0.65126,time:59498
hit ratio:0.43753,time:59972
hit ratio:0.300127,time:60925
hit ratio:0.22763,time:61589
hit ratio:0.23656,time:62935
hit ratio:0.199055,time:63741
alloc failed. 13315780,47890408,633856,955300
hit ratio:0.213193,time:101305
hit ratio:0.240694,time:101998
hit ratio:0.235642,time:102765
hit ratio:0.23878,time:103568
hit ratio:0.242227,time:104468
hit ratio:0.236515,time:105524
hit ratio:0.228334,time:115391
hit ratio:0.264223,time:174985
hit ratio:0.267475,time:175523
hit ratio:0.270314,time:176501
hit ratio:0.262576,time:177136
hit ratio:0.278766,time:178532
hit ratio:0.271256,time:179412
hit ratio:0.276219,time:221587
hit ratio:0.296122,time:288244
hit ratio:0.297848,time:288846
hit ratio:0.29318,time:289777
hit ratio:0.288709,time:290602
hit ratio:0.298293,time:291982
hit ratio:0.292379,time:292868
hit ratio:0.293442,time:326023
hit ratio:0.30758,time:363814
hit ratio:0.310844,time:364488
hit ratio:0.318492,time:365614
hit ratio:0.312448,time:366195
hit ratio:0.314369,time:367692
hit ratio:0.308163,time:368654
hit ratio:0.312782,time:419645
hit ratio:0.321977,time:448810
hit ratio:0.324646,time:449510
hit ratio:0.328122,time:450612
hit ratio:0.325878,time:451330
hit ratio:0.32999,time:452569
hit ratio:0.324278,time:453361
hit ratio:0.330252,time:515771
hit ratio:0.337343,time:536508
hit ratio:0.333511,time:537154
hit ratio:0.334,time:538203
hit ratio:0.333988,time:539027
hit ratio:0.33669,time:540529
hit ratio:0.331925,time:541487
EOF
hit ratio:0.337964,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
