FreeMem Rebalancing init. Cache Initialized. size: 1GB
hit ratio:0.65126,time:59498
hit ratio:0.421405,time:59972
hit ratio:0.285973,time:60925
hit ratio:0.216208,time:61589
hit ratio:0.198328,time:62935
hit ratio:0.166377,time:63741
alloc failed. 13315780,47890408,633856,955300
hit ratio:0.188181,time:101305
hit ratio:0.213169,time:101998
hit ratio:0.193413,time:102765
hit ratio:0.175688,time:103568
hit ratio:0.172044,time:104468
hit ratio:0.158813,time:105524
hit ratio:0.152675,time:115391
hit ratio:0.191169,time:174985
hit ratio:0.189376,time:175523
hit ratio:0.179538,time:176501
hit ratio:0.169626,time:177136
hit ratio:0.168626,time:178532
hit ratio:0.160485,time:179412
hit ratio:0.1688,time:221587
hit ratio:0.191936,time:288244
hit ratio:0.195532,time:288846
hit ratio:0.18837,time:289777
hit ratio:0.181064,time:290602
hit ratio:0.177767,time:291982
hit ratio:0.171265,time:292868
hit ratio:0.174899,time:326023
hit ratio:0.19086,time:363814
hit ratio:0.188886,time:364488
hit ratio:0.183309,time:365614
hit ratio:0.177764,time:366195
hit ratio:0.175595,time:367692
hit ratio:0.170627,time:368654
hit ratio:0.178164,time:419645
hit ratio:0.188858,time:448810
hit ratio:0.187216,time:449510
hit ratio:0.182714,time:450612
hit ratio:0.178779,time:451330
hit ratio:0.176534,time:452569
hit ratio:0.172357,time:453361
hit ratio:0.180722,time:515771
hit ratio:0.189071,time:536508
hit ratio:0.186351,time:537154
hit ratio:0.182556,time:538203
hit ratio:0.180552,time:539027
hit ratio:0.177331,time:540529
hit ratio:0.173767,time:541487
EOF
hit ratio:0.181851,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
