Marginal Hits init.Cache Initialized. size: 512MB
hit ratio:0.65126,time:59498
hit ratio:0.421405,time:59972
hit ratio:0.285973,time:60925
hit ratio:0.216208,time:61589
hit ratio:0.198326,time:62935
hit ratio:0.166375,time:63741
alloc failed. 13315780,47890408,633856,955300
hit ratio:0.18818,time:101305
hit ratio:0.213006,time:101998
hit ratio:0.193268,time:102765
hit ratio:0.175557,time:103568
hit ratio:0.171923,time:104468
hit ratio:0.158702,time:105524
hit ratio:0.152567,time:115391
hit ratio:0.191056,time:174985
hit ratio:0.189049,time:175523
hit ratio:0.179229,time:176501
hit ratio:0.169336,time:177136
hit ratio:0.16835,time:178532
hit ratio:0.160224,time:179412
hit ratio:0.168551,time:221587
hit ratio:0.191694,time:288244
hit ratio:0.195265,time:288846
hit ratio:0.188115,time:289777
hit ratio:0.180818,time:290602
hit ratio:0.17753,time:291982
hit ratio:0.171038,time:292868
hit ratio:0.174654,time:326023
hit ratio:0.190588,time:363814
hit ratio:0.188358,time:364488
hit ratio:0.1828,time:365614
hit ratio:0.177271,time:366195
hit ratio:0.175117,time:367692
hit ratio:0.170165,time:368654
hit ratio:0.17774,time:419645
hit ratio:0.188366,time:448810
hit ratio:0.186679,time:449510
hit ratio:0.182191,time:450612
hit ratio:0.178272,time:451330
hit ratio:0.176042,time:452569
hit ratio:0.171874,time:453361
hit ratio:0.180259,time:515771
hit ratio:0.188418,time:536508
hit ratio:0.185712,time:537154
hit ratio:0.181932,time:538203
hit ratio:0.179932,time:539027
hit ratio:0.176722,time:540529
hit ratio:0.173173,time:541487
EOF
hit ratio:0.181261,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
