LruTailAge Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 2082694,738603040,69632,8838
alloc failed. 2082694,738603176,69632,9223372036854775807
alloc failed. 2082694,738603312,69632,9223372036854775807
alloc failed. 2082694,738603448,69632,9223372036854775807
alloc failed. 2082694,738603584,69632,9223372036854775807
alloc failed. 2082694,738603720,69632,9223372036854775807
alloc failed. 2082694,738604320,69632,8799
alloc failed. 2082694,738604456,69632,9223372036854775807
alloc failed. 2082694,738604592,69632,9223372036854775807
alloc failed. 2082694,738604728,69632,9223372036854775807
alloc failed. 2082694,738604864,69632,9223372036854775807
alloc failed. 2082694,738605000,69632,9223372036854775807
alloc failed. 2082694,738605136,69632,9223372036854775807
alloc failed. 2082694,738605344,69632,8807
alloc failed. 2082694,738605480,69632,9223372036854775807
alloc failed. 2082694,738605984,69632,8844
alloc failed. 2082694,738606120,69632,9223372036854775807
alloc failed. 2082694,738606256,69632,9223372036854775807
alloc failed. 2082694,738606392,69632,9223372036854775807
alloc failed. 2082694,738606528,69632,9223372036854775807
alloc failed. 2082694,738606664,69632,9223372036854775807
alloc failed. 2082694,738606800,69632,9223372036854775807
alloc failed. 2082694,738607008,69632,8817
alloc failed. 2082694,738607144,69632,9223372036854775807
alloc failed. 2082694,738607280,69632,9223372036854775807
alloc failed. 2082694,738607416,69632,9223372036854775807
alloc failed. 2082694,738607552,69632,9223372036854775807
alloc failed. 2082694,738607688,69632,9223372036854775807
alloc failed. 2082694,738607824,69632,9223372036854775807
alloc failed. 2082694,738608032,69632,8847
alloc failed. 2082694,738608168,69632,9223372036854775807
alloc failed. 2082694,738608304,69632,9223372036854775807
alloc failed. 2082694,738608440,69632,9223372036854775807
alloc failed. 2082694,738608576,69632,9223372036854775807
alloc failed. 2082694,738608712,69632,9223372036854775807
alloc failed. 2082694,738608848,69632,9223372036854775807
alloc failed. 2082694,738609056,69632,8849
alloc failed. 2082694,738609192,69632,9223372036854775807
alloc failed. 2082694,738609328,69632,9223372036854775807
alloc failed. 2082694,738609464,69632,9223372036854775807
alloc failed. 2082694,738609600,69632,9223372036854775807
alloc failed. 2082694,738609736,69632,9223372036854775807
alloc failed. 2082694,738609872,69632,9223372036854775807
alloc failed. 2082694,738610080,69632,8860
alloc failed. 2082694,738610216,69632,9223372036854775807
alloc failed. 2082694,738610352,69632,9223372036854775807
alloc failed. 2082694,738610488,69632,9223372036854775807
hit ratio:0.2494,time:71225
hit ratio:0.15933,time:111098
hit ratio:0.160257,time:140654
hit ratio:0.156672,time:175074
hit ratio:0.142674,time:201827
hit ratio:0.16562,time:206661
hit ratio:0.143389,time:208112
hit ratio:0.126415,time:210284
hit ratio:0.112446,time:211012
hit ratio:0.101889,time:212866
hit ratio:0.0928018,time:213907
hit ratio:0.0851217,time:214837
hit ratio:0.0787523,time:216291
hit ratio:0.0732271,time:217685
hit ratio:0.0688033,time:219862
hit ratio:0.0650906,time:220791
hit ratio:0.0614359,time:221520
hit ratio:0.0581461,time:222716
hit ratio:0.0560342,time:224255
hit ratio:0.054075,time:226931
hit ratio:0.0518843,time:228604
hit ratio:0.0496832,time:229754
hit ratio:0.0477196,time:230485
hit ratio:0.0458287,time:231598
hit ratio:0.0440664,time:232494
hit ratio:0.0425181,time:233690
hit ratio:0.0411337,time:234993
hit ratio:0.04007,time:237165
hit ratio:0.038799,time:238110
hit ratio:0.0375757,time:239028
hit ratio:0.03642,time:239773
hit ratio:0.0353731,time:241047
hit ratio:0.0343782,time:242016
hit ratio:0.0334515,time:243179
hit ratio:0.0326154,time:243818
hit ratio:0.0317442,time:244441
hit ratio:0.0309381,time:245055
hit ratio:0.0302029,time:246214
hit ratio:0.0295867,time:247285
hit ratio:0.0288925,time:247966
hit ratio:0.0282156,time:248600
hit ratio:0.0276943,time:249971
hit ratio:0.027137,time:250970
hit ratio:0.0269657,time:267746
hit ratio:0.0292276,time:316239
hit ratio:0.0340215,time:376542
hit ratio:0.0340281,time:386125
EOF
hit ratio:0.0342099,time:399400
num_requests:4749563,throughput:11.8917reqs/sec,
