LruTailAge Rebalancing init. Cache Initialized. size: 512MB
hit ratio:0.25876,time:71225
hit ratio:0.165955,time:111098
hit ratio:0.167763,time:140654
hit ratio:0.163557,time:175074
hit ratio:0.148854,time:201827
hit ratio:0.171942,time:206661
hit ratio:0.149014,time:208112
hit ratio:0.13146,time:210284
hit ratio:0.117102,time:211012
hit ratio:0.106206,time:212866
hit ratio:0.0968036,time:213907
hit ratio:0.0888358,time:214837
hit ratio:0.08234,time:216291
hit ratio:0.0767864,time:217685
hit ratio:0.0722767,time:219862
hit ratio:0.0685075,time:220791
hit ratio:0.0648518,time:221520
hit ratio:0.0614533,time:222716
hit ratio:0.0592879,time:224255
hit ratio:0.0572805,time:226931
hit ratio:0.0550067,time:228604
hit ratio:0.0527386,time:229754
hit ratio:0.0507348,time:230485
hit ratio:0.0487783,time:231598
hit ratio:0.0469652,time:232494
hit ratio:0.0453896,time:233690
hit ratio:0.0440278,time:234993
hit ratio:0.0429436,time:237165
hit ratio:0.0416324,time:238110
hit ratio:0.0403997,time:239028
hit ratio:0.039229,time:239773
hit ratio:0.0381731,time:241047
hit ratio:0.0371794,time:242016
hit ratio:0.0362397,time:243179
hit ratio:0.0354066,time:243818
hit ratio:0.0345414,time:244441
hit ratio:0.0336997,time:245055
hit ratio:0.0329537,time:246214
hit ratio:0.0323682,time:247285
hit ratio:0.031631,time:247966
hit ratio:0.0309017,time:248600
hit ratio:0.0303762,time:249971
hit ratio:0.0297949,time:250970
hit ratio:0.0295984,time:267746
hit ratio:0.0319687,time:316239
hit ratio:0.0372085,time:376542
hit ratio:0.0372294,time:386125
EOF
hit ratio:0.0374285,time:399400
num_requests:4749563,throughput:11.8917reqs/sec,
