LruTailAge Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 7738871,101281960,782336,9223372036854775807
hit ratio:0.43749,time:2405
alloc failed. 7738910,631816,917504,9223372036854775807
hit ratio:0.49076,time:2984
hit ratio:0.50603,time:20997
hit ratio:0.514578,time:39572
hit ratio:0.50235,time:56638
hit ratio:0.533742,time:83728
hit ratio:0.557881,time:107382
hit ratio:0.589135,time:135941
hit ratio:0.583672,time:156991
hit ratio:0.599159,time:181038
hit ratio:0.617333,time:207072
hit ratio:0.615987,time:228438
hit ratio:0.624648,time:258141
hit ratio:0.635941,time:281430
hit ratio:0.641241,time:305429
hit ratio:0.636686,time:326189
hit ratio:0.642874,time:350566
hit ratio:0.651516,time:376841
hit ratio:0.650286,time:401254
hit ratio:0.646275,time:419428
hit ratio:0.65543,time:450811
hit ratio:0.657138,time:468570
hit ratio:0.653381,time:490409
hit ratio:0.661607,time:523842
hit ratio:0.663231,time:543777
hit ratio:0.668868,time:568152
hit ratio:0.673323,time:568235
hit ratio:0.672035,time:568414
hit ratio:0.668317,time:571815
hit ratio:0.648744,time:571982
hit ratio:0.62823,time:572127
hit ratio:0.609715,time:572264
hit ratio:0.592966,time:572393
hit ratio:0.576522,time:572581
hit ratio:0.563182,time:574109
hit ratio:0.566341,time:598283
EOF
hit ratio:0.568491,time:607175
num_requests:3625918,throughput:5.97178reqs/sec,
