Cache Initialized. size: 256MB
alloc failed. 7738871,101281960,782336,9223372036854775807
hit ratio:0.43553,time:2405
hit ratio:0.48582,time:2984
hit ratio:0.502147,time:20997
hit ratio:0.507707,time:39572
hit ratio:0.497654,time:56638
hit ratio:0.530682,time:83728
hit ratio:0.553299,time:107382
hit ratio:0.585451,time:135941
hit ratio:0.581108,time:156991
hit ratio:0.597024,time:181038
hit ratio:0.613587,time:207072
hit ratio:0.613381,time:228438
hit ratio:0.622528,time:258141
hit ratio:0.632681,time:281430
hit ratio:0.638448,time:305429
hit ratio:0.634613,time:326189
hit ratio:0.641277,time:350566
hit ratio:0.648808,time:376841
hit ratio:0.647954,time:401254
hit ratio:0.644433,time:419428
hit ratio:0.654163,time:450811
hit ratio:0.655038,time:468570
hit ratio:0.651791,time:490409
hit ratio:0.66063,time:523842
hit ratio:0.66146,time:543777
hit ratio:0.666506,time:568152
hit ratio:0.668805,time:568235
hit ratio:0.667402,time:568414
hit ratio:0.662747,time:571815
hit ratio:0.643523,time:571982
hit ratio:0.623292,time:572127
hit ratio:0.604696,time:572264
hit ratio:0.587662,time:572393
hit ratio:0.571321,time:572581
hit ratio:0.558047,time:574109
hit ratio:0.561033,time:598283
EOF
hit ratio:0.563236,time:607175
num_requests:3625918,throughput:5.97178reqs/sec,
