Cache Initialized. size: 256MB
alloc failed. 7738871,101281960,782336,9223372036854775807
hit ratio:0.43553,time:2405
hit ratio:0.48584,time:2984
hit ratio:0.5022,time:20997
hit ratio:0.50775,time:39572
hit ratio:0.497698,time:56638
hit ratio:0.530713,time:83728
hit ratio:0.553317,time:107382
hit ratio:0.585463,time:135941
hit ratio:0.581129,time:156991
hit ratio:0.597044,time:181038
hit ratio:0.613606,time:207072
hit ratio:0.613397,time:228438
hit ratio:0.62254,time:258141
hit ratio:0.632693,time:281430
hit ratio:0.638459,time:305429
hit ratio:0.634629,time:326189
hit ratio:0.641291,time:350566
hit ratio:0.648821,time:376841
hit ratio:0.647966,time:401254
hit ratio:0.64444,time:419428
hit ratio:0.654166,time:450811
hit ratio:0.655042,time:468570
hit ratio:0.651793,time:490409
hit ratio:0.660632,time:523842
hit ratio:0.661462,time:543777
hit ratio:0.666508,time:568152
hit ratio:0.668808,time:568235
hit ratio:0.667404,time:568414
hit ratio:0.662746,time:571815
hit ratio:0.643522,time:571982
hit ratio:0.623292,time:572127
hit ratio:0.604696,time:572264
hit ratio:0.587662,time:572393
hit ratio:0.571321,time:572581
hit ratio:0.558045,time:574109
hit ratio:0.561032,time:598283
EOF
hit ratio:0.563236,time:607175
num_requests:3625918,throughput:5.97178reqs/sec,
