Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 25935962,90718048,1024,132151
alloc failed. 25935967,98236200,4608,9869
alloc failed. 25935970,98236200,4608,11773
alloc failed. 25935985,34244096,9216,135618
alloc failed. 25936143,4364769,2048,136515
alloc failed. 25936143,4374589,2048,136520
alloc failed. 25936143,53674838,1536,136524
alloc failed. 25936143,53709170,1536,136530
alloc failed. 25936143,4451918,1536,136535
alloc failed. 25936143,38698951,1536,136536
alloc failed. 25936143,102690950,1536,136540
alloc failed. 25936143,4763479,1536,136555
alloc failed. 25936143,52320152,2048,136557
alloc failed. 25936144,4786075,1536,136566
alloc failed. 25936144,50139882,2560,136578
alloc failed. 25936144,38697977,1536,136584
alloc failed. 25936144,53228462,1536,136586
alloc failed. 25936144,48646808,1536,136598
alloc failed. 25936144,32529395,2560,136672
hit ratio:0.52302,time:27091
hit ratio:0.458805,time:43934
hit ratio:0.464347,time:65656
hit ratio:0.451645,time:76546
hit ratio:0.43979,time:96659
hit ratio:0.423382,time:108653
hit ratio:0.428031,time:134738
hit ratio:0.429092,time:152453
hit ratio:0.424914,time:173241
hit ratio:0.431054,time:199625
hit ratio:0.426285,time:219689
hit ratio:0.434993,time:248573
hit ratio:0.443167,time:279262
hit ratio:0.439217,time:302248
hit ratio:0.446369,time:333314
hit ratio:0.43702,time:350680
hit ratio:0.412444,time:351016
hit ratio:0.390671,time:351355
hit ratio:0.370965,time:351690
hit ratio:0.353447,time:352026
hit ratio:0.337622,time:352362
hit ratio:0.32309,time:352696
hit ratio:0.309947,time:353032
hit ratio:0.297852,time:353369
hit ratio:0.286696,time:353706
hit ratio:0.276075,time:354045
hit ratio:0.266349,time:354381
hit ratio:0.257826,time:354718
hit ratio:0.249686,time:355055
hit ratio:0.242171,time:355389
hit ratio:0.235196,time:355723
hit ratio:0.228485,time:356056
hit ratio:0.222221,time:356390
hit ratio:0.21631,time:356724
hit ratio:0.210902,time:357057
hit ratio:0.205773,time:357391
hit ratio:0.200931,time:357725
hit ratio:0.196337,time:358058
hit ratio:0.191782,time:358404
hit ratio:0.187157,time:358779
hit ratio:0.183118,time:360124
hit ratio:0.186403,time:378416
hit ratio:0.19479,time:402216
hit ratio:0.20028,time:425810
EOF
hit ratio:0.205184,time:447517
num_requests:4493515,throughput:10.041reqs/sec,
