FreeMem Rebalancing init. Cache Initialized. size: 64GB
hit ratio:0.56516,time:27091
hit ratio:0.55324,time:43934
hit ratio:0.559813,time:65656
hit ratio:0.637537,time:76546
hit ratio:0.652076,time:96659
hit ratio:0.683267,time:108653
hit ratio:0.704339,time:134738
hit ratio:0.718032,time:152453
hit ratio:0.732552,time:173241
hit ratio:0.748697,time:199625
hit ratio:0.763588,time:219689
hit ratio:0.776941,time:248573
hit ratio:0.791028,time:279262
hit ratio:0.800969,time:302248
hit ratio:0.808323,time:333314
hit ratio:0.791686,time:350680
hit ratio:0.793192,time:351016
hit ratio:0.801953,time:351355
hit ratio:0.810125,time:351690
hit ratio:0.819525,time:352026
hit ratio:0.826311,time:352362
hit ratio:0.833015,time:352696
hit ratio:0.839493,time:353032
hit ratio:0.846156,time:353369
hit ratio:0.849294,time:353706
hit ratio:0.842661,time:354045
hit ratio:0.832597,time:354381
hit ratio:0.838419,time:354718
hit ratio:0.834744,time:355055
hit ratio:0.838139,time:355389
hit ratio:0.843335,time:355723
hit ratio:0.848054,time:356056
hit ratio:0.852222,time:356390
hit ratio:0.855837,time:356724
hit ratio:0.859939,time:357057
hit ratio:0.86379,time:357391
hit ratio:0.867321,time:357725
hit ratio:0.870718,time:358058
hit ratio:0.865415,time:358404
hit ratio:0.860544,time:358779
hit ratio:0.860623,time:360124
hit ratio:0.863016,time:378416
hit ratio:0.865457,time:402216
hit ratio:0.867678,time:425810
EOF
hit ratio:0.868693,time:447517
num_requests:4493515,throughput:10.041reqs/sec,
