Cache Initialized. size: 256MB
alloc failed. 25935962,90718048,1024,132151
alloc failed. 25935967,98236200,4608,9869
alloc failed. 25935970,98236200,4608,11773
alloc failed. 25935985,34244096,9216,135618
alloc failed. 25936143,4364769,2048,136515
alloc failed. 25936143,4374589,2048,136520
alloc failed. 25936143,53674838,1536,136524
alloc failed. 25936143,53709170,1536,136530
alloc failed. 25936143,4451918,1536,136535
alloc failed. 25936143,38698951,1536,136536
alloc failed. 25936143,102690950,1536,136540
alloc failed. 25936143,4763479,1536,136555
alloc failed. 25936143,52320152,2048,136557
alloc failed. 25936144,4786075,1536,136566
alloc failed. 25936144,50139882,2560,136578
alloc failed. 25936144,38697977,1536,136584
alloc failed. 25936144,53228462,1536,136586
alloc failed. 25936144,48646808,1536,136598
alloc failed. 25936144,32529395,2560,136672
hit ratio:0.54241,time:27091
hit ratio:0.47738,time:43934
hit ratio:0.48661,time:65656
hit ratio:0.4809,time:76546
hit ratio:0.468274,time:96659
hit ratio:0.456415,time:108653
hit ratio:0.459387,time:134738
hit ratio:0.46206,time:152453
hit ratio:0.456873,time:173241
hit ratio:0.462695,time:199625
hit ratio:0.457024,time:219689
hit ratio:0.465881,time:248573
hit ratio:0.474462,time:279262
hit ratio:0.470371,time:302248
hit ratio:0.47802,time:333314
hit ratio:0.467932,time:350680
hit ratio:0.44101,time:351016
hit ratio:0.417576,time:351355
hit ratio:0.396601,time:351690
hit ratio:0.377814,time:352026
hit ratio:0.360824,time:352362
hit ratio:0.345325,time:352696
hit ratio:0.331233,time:353032
hit ratio:0.318301,time:353369
hit ratio:0.306332,time:353706
hit ratio:0.295108,time:354045
hit ratio:0.28453,time:354381
hit ratio:0.275102,time:354718
hit ratio:0.266394,time:355055
hit ratio:0.258399,time:355389
hit ratio:0.250916,time:355723
hit ratio:0.243791,time:356056
hit ratio:0.237225,time:356390
hit ratio:0.230988,time:356724
hit ratio:0.225203,time:357057
hit ratio:0.219717,time:357391
hit ratio:0.214534,time:357725
hit ratio:0.209619,time:358058
hit ratio:0.204676,time:358404
hit ratio:0.199798,time:358779
hit ratio:0.195581,time:360124
hit ratio:0.198844,time:378416
hit ratio:0.207795,time:402216
hit ratio:0.213635,time:425810
EOF
hit ratio:0.218724,time:447517
num_requests:4493515,throughput:10.041reqs/sec,
