FreeMem Rebalancing init. Cache Initialized. size: 256MB
hit ratio:0.80119,time:67082
hit ratio:0.68601,time:119503
hit ratio:0.461023,time:120672
hit ratio:0.347138,time:121587
hit ratio:0.27849,time:122279
hit ratio:0.234842,time:123488
hit ratio:0.202534,time:124077
hit ratio:0.240222,time:163278
hit ratio:0.247142,time:194941
hit ratio:0.224517,time:195831
hit ratio:0.204661,time:196434
hit ratio:0.188148,time:197178
hit ratio:0.174635,time:197917
hit ratio:0.163488,time:198623
hit ratio:0.200124,time:259950
hit ratio:0.236914,time:324846
hit ratio:0.224996,time:328072
hit ratio:0.21342,time:328809
hit ratio:0.202483,time:329308
hit ratio:0.194205,time:330168
hit ratio:0.185647,time:330862
hit ratio:0.187244,time:351245
hit ratio:0.196424,time:383103
hit ratio:0.189073,time:383905
hit ratio:0.181726,time:384449
hit ratio:0.175013,time:385008
hit ratio:0.169242,time:385625
hit ratio:0.163824,time:386155
hit ratio:0.180602,time:437783
hit ratio:0.184171,time:469037
hit ratio:0.179006,time:470262
hit ratio:0.173779,time:471119
hit ratio:0.169423,time:472092
hit ratio:0.16506,time:473031
hit ratio:0.160959,time:473921
hit ratio:0.176411,time:535804
hit ratio:0.177867,time:559953
hit ratio:0.173742,time:560718
hit ratio:0.169438,time:561292
hit ratio:0.165918,time:561909
hit ratio:0.162337,time:562585
hit ratio:0.158878,time:563191
EOF
hit ratio:0.169545,time:609774
num_requests:4284658,throughput:7.02663reqs/sec,
