LruTailAge Rebalancing init. Cache Initialized. size: 4GB
hit ratio:0.80122,time:67082
hit ratio:0.69165,time:119503
hit ratio:0.466087,time:120672
hit ratio:0.35119,time:121587
hit ratio:0.28187,time:122279
hit ratio:0.23836,time:123488
hit ratio:0.205679,time:124077
hit ratio:0.246229,time:163278
hit ratio:0.253226,time:194941
hit ratio:0.230746,time:195831
hit ratio:0.210439,time:196434
hit ratio:0.193468,time:197178
hit ratio:0.179622,time:197917
hit ratio:0.169747,time:198623
hit ratio:0.206463,time:259950
hit ratio:0.248601,time:324846
hit ratio:0.236688,time:328072
hit ratio:0.22457,time:328809
hit ratio:0.213081,time:329308
hit ratio:0.204533,time:330168
hit ratio:0.195557,time:330862
hit ratio:0.197922,time:351245
hit ratio:0.206966,time:383103
hit ratio:0.199485,time:383905
hit ratio:0.191748,time:384449
hit ratio:0.184665,time:385008
hit ratio:0.178747,time:385625
hit ratio:0.173736,time:386155
hit ratio:0.190479,time:437783
hit ratio:0.194048,time:469037
hit ratio:0.188827,time:470262
hit ratio:0.183323,time:471119
hit ratio:0.178695,time:472092
hit ratio:0.174218,time:473031
hit ratio:0.170534,time:473921
hit ratio:0.185868,time:535804
hit ratio:0.18735,time:559953
hit ratio:0.183154,time:560718
hit ratio:0.178632,time:561292
hit ratio:0.174893,time:561909
hit ratio:0.171242,time:562585
hit ratio:0.168098,time:563191
EOF
hit ratio:0.178705,time:609774
num_requests:4284658,throughput:7.02663reqs/sec,
