Cache Initialized. size: 512MB
hit ratio:0.80122,time:67082
hit ratio:0.69154,time:119503
hit ratio:0.464903,time:120672
hit ratio:0.350098,time:121587
hit ratio:0.280872,time:122279
hit ratio:0.236852,time:123488
hit ratio:0.204271,time:124077
hit ratio:0.244196,time:163278
hit ratio:0.250729,time:194941
hit ratio:0.227753,time:195831
hit ratio:0.207631,time:196434
hit ratio:0.190878,time:197178
hit ratio:0.177161,time:197917
hit ratio:0.167104,time:198623
hit ratio:0.203757,time:259950
hit ratio:0.244882,time:324846
hit ratio:0.232588,time:328072
hit ratio:0.220596,time:328809
hit ratio:0.209284,time:329308
hit ratio:0.200669,time:330168
hit ratio:0.191813,time:330862
hit ratio:0.193971,time:351245
hit ratio:0.202933,time:383103
hit ratio:0.195317,time:383905
hit ratio:0.187724,time:384449
hit ratio:0.180786,time:385008
hit ratio:0.174805,time:385625
hit ratio:0.169809,time:386155
hit ratio:0.186527,time:437783
hit ratio:0.190008,time:469037
hit ratio:0.184659,time:470262
hit ratio:0.179257,time:471119
hit ratio:0.174742,time:472092
hit ratio:0.170224,time:473031
hit ratio:0.166488,time:473921
hit ratio:0.181826,time:535804
hit ratio:0.183179,time:559953
hit ratio:0.178923,time:560718
hit ratio:0.174491,time:561292
hit ratio:0.170846,time:561909
hit ratio:0.167149,time:562585
hit ratio:0.163995,time:563191
EOF
hit ratio:0.174633,time:609774
num_requests:4284658,throughput:7.02663reqs/sec,
