FreeMem Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 9965538,0,192,14289
alloc failed. 9965706,0,192,14290
alloc failed. 9965706,0,192,14291
alloc failed. 9965706,0,192,14292
alloc failed. 9965706,0,192,14293
alloc failed. 9965706,0,192,14305
alloc failed. 9965706,0,192,14306
alloc failed. 9965706,0,192,14310
alloc failed. 9965706,0,192,14312
alloc failed. 9965706,0,192,14313
alloc failed. 9965706,0,192,14317
alloc failed. 9965706,0,192,14319
alloc failed. 9965706,0,192,14329
hit ratio:0.37466,time:55085
hit ratio:0.1886,time:55657
hit ratio:0.12639,time:56598
hit ratio:0.104507,time:57427
hit ratio:0.157024,time:124677
hit ratio:0.159302,time:140460
hit ratio:0.140169,time:141131
hit ratio:0.124147,time:141731
hit ratio:0.131612,time:166731
hit ratio:0.124251,time:166909
hit ratio:0.116134,time:167059
hit ratio:0.113526,time:167176
hit ratio:0.106551,time:167361
hit ratio:0.101731,time:167568
hit ratio:0.100604,time:174906
hit ratio:0.102412,time:193574
hit ratio:0.0979782,time:193768
hit ratio:0.0936533,time:193930
hit ratio:0.105175,time:223217
hit ratio:0.100285,time:223803
hit ratio:0.0962014,time:224412
hit ratio:0.0949768,time:225233
hit ratio:0.108337,time:274527
hit ratio:0.12005,time:307533
hit ratio:0.115894,time:308280
hit ratio:0.111689,time:308859
hit ratio:0.109172,time:309423
hit ratio:0.121891,time:379945
hit ratio:0.121888,time:391216
hit ratio:0.118642,time:392455
hit ratio:0.115097,time:393490
hit ratio:0.112503,time:394533
hit ratio:0.124238,time:480366
EOF
hit ratio:0.135138,time:577477
num_requests:3351357,throughput:5.80345reqs/sec,
