Cache Initialized. size: 512MB
alloc failed. 9965538,0,192,14289
alloc failed. 9965706,0,192,14290
alloc failed. 9965706,0,192,14291
alloc failed. 9965706,0,192,14292
alloc failed. 9965706,0,192,14293
alloc failed. 9965706,0,192,14305
alloc failed. 9965706,0,192,14306
alloc failed. 9965706,0,192,14310
alloc failed. 9965706,0,192,14312
alloc failed. 9965706,0,192,14313
alloc failed. 9965706,0,192,14317
alloc failed. 9965706,0,192,14319
alloc failed. 9965706,0,192,14329
alloc failed. 9965706,0,192,14330
alloc failed. 9965706,0,192,14334
alloc failed. 9965706,0,192,14336
alloc failed. 9965706,0,192,14337
hit ratio:0.37461,time:55085
hit ratio:0.188575,time:55657
hit ratio:0.126373,time:56598
hit ratio:0.104495,time:57427
hit ratio:0.157014,time:124677
hit ratio:0.159293,time:140460
hit ratio:0.140161,time:141131
hit ratio:0.124141,time:141731
hit ratio:0.131607,time:166731
hit ratio:0.124246,time:166909
hit ratio:0.116129,time:167059
hit ratio:0.113522,time:167176
hit ratio:0.106547,time:167361
hit ratio:0.101727,time:167568
hit ratio:0.100601,time:174906
hit ratio:0.102409,time:193574
hit ratio:0.0979753,time:193768
hit ratio:0.0936506,time:193930
hit ratio:0.105173,time:223217
hit ratio:0.100282,time:223803
hit ratio:0.0961991,time:224412
hit ratio:0.0949745,time:225233
hit ratio:0.108335,time:274527
hit ratio:0.120048,time:307533
hit ratio:0.115892,time:308280
hit ratio:0.111687,time:308859
hit ratio:0.10917,time:309423
hit ratio:0.121889,time:379945
hit ratio:0.121886,time:391216
hit ratio:0.118641,time:392455
hit ratio:0.115095,time:393490
hit ratio:0.112501,time:394533
hit ratio:0.124236,time:480366
EOF
hit ratio:0.135137,time:577477
num_requests:3351357,throughput:5.80345reqs/sec,
