Cache Initialized. size: 512MB
alloc failed. 9965538,0,192,14289
alloc failed. 9965706,0,192,14290
alloc failed. 9965706,0,192,14291
alloc failed. 9965706,0,192,14292
alloc failed. 9965706,0,192,14293
alloc failed. 9965706,0,192,14305
alloc failed. 9965706,0,192,14306
alloc failed. 9965706,0,192,14310
alloc failed. 9965706,0,192,14312
alloc failed. 9965706,0,192,14313
alloc failed. 9965706,0,192,14317
alloc failed. 9965706,0,192,14319
alloc failed. 9965706,0,192,14329
alloc failed. 9965706,0,192,14330
alloc failed. 9965706,0,192,14334
alloc failed. 9965706,0,192,14336
alloc failed. 9965706,0,192,14337
alloc failed. 9965706,0,192,14341
alloc failed. 9965706,0,192,14343
alloc failed. 9965708,0,192,14344
alloc failed. 9965708,0,192,14345
hit ratio:0.37458,time:55085
hit ratio:0.18856,time:55657
hit ratio:0.126363,time:56598
hit ratio:0.104488,time:57427
hit ratio:0.157008,time:124677
hit ratio:0.159288,time:140460
hit ratio:0.140157,time:141131
hit ratio:0.124137,time:141731
hit ratio:0.131603,time:166731
hit ratio:0.124243,time:166909
hit ratio:0.116126,time:167059
hit ratio:0.113519,time:167176
hit ratio:0.106545,time:167361
hit ratio:0.101725,time:167568
hit ratio:0.100599,time:174906
hit ratio:0.102408,time:193574
hit ratio:0.0979735,time:193768
hit ratio:0.0936489,time:193930
hit ratio:0.105171,time:223217
hit ratio:0.100281,time:223803
hit ratio:0.0961976,time:224412
hit ratio:0.0949732,time:225233
hit ratio:0.108334,time:274527
hit ratio:0.120047,time:307533
hit ratio:0.115891,time:308280
hit ratio:0.111686,time:308859
hit ratio:0.109169,time:309423
hit ratio:0.121888,time:379945
hit ratio:0.121885,time:391216
hit ratio:0.11864,time:392455
hit ratio:0.115094,time:393490
hit ratio:0.1125,time:394533
hit ratio:0.124235,time:480366
EOF
hit ratio:0.135136,time:577477
num_requests:3351357,throughput:5.80345reqs/sec,
