Marginal Hits init. Cache Initialized. size: 16GB
hit ratio:0.42886,time:55085
hit ratio:0.23765,time:55657
hit ratio:0.178463,time:56598
hit ratio:0.232503,time:57427
hit ratio:0.289348,time:124677
hit ratio:0.302273,time:140460
hit ratio:0.279579,time:141131
hit ratio:0.262379,time:141731
hit ratio:0.285219,time:166731
hit ratio:0.282184,time:166909
hit ratio:0.262433,time:167059
hit ratio:0.254024,time:167176
hit ratio:0.243297,time:167361
hit ratio:0.234686,time:167568
hit ratio:0.228704,time:174906
hit ratio:0.228945,time:193574
hit ratio:0.220017,time:193768
hit ratio:0.210463,time:193930
hit ratio:0.226117,time:223217
hit ratio:0.227998,time:223803
hit ratio:0.227135,time:224412
hit ratio:0.232695,time:225233
hit ratio:0.246893,time:274527
hit ratio:0.259655,time:307533
hit ratio:0.25551,time:308280
hit ratio:0.247665,time:308859
hit ratio:0.252342,time:309423
hit ratio:0.264655,time:379945
hit ratio:0.263121,time:391216
hit ratio:0.258888,time:392455
hit ratio:0.252901,time:393490
hit ratio:0.255864,time:394533
hit ratio:0.268328,time:480366
EOF
hit ratio:0.278328,time:577477
num_requests:3351357,throughput:5.80345reqs/sec,
