Cache Initialized. size: 512MB
alloc failed. 9965538,0,192,14289
alloc failed. 9965706,0,192,14290
alloc failed. 9965706,0,192,14291
alloc failed. 9965706,0,192,14292
alloc failed. 9965706,0,192,14293
alloc failed. 9965706,0,192,14305
alloc failed. 9965706,0,192,14306
alloc failed. 9965706,0,192,14310
alloc failed. 9965706,0,192,14312
alloc failed. 9965706,0,192,14313
alloc failed. 9965706,0,192,14317
alloc failed. 9965706,0,192,14319
alloc failed. 9965706,0,192,14329
alloc failed. 9965706,0,192,14330
alloc failed. 9965706,0,192,14334
alloc failed. 9965706,0,192,14336
alloc failed. 9965706,0,192,14337
alloc failed. 9965706,0,192,14341
alloc failed. 9965706,0,192,14343
alloc failed. 9965708,0,192,14344
alloc failed. 9965708,0,192,14345
hit ratio:0.37502,time:55085
hit ratio:0.188785,time:55657
hit ratio:0.12652,time:56598
hit ratio:0.10445,time:57427
hit ratio:0.157074,time:124677
hit ratio:0.159398,time:140460
hit ratio:0.140294,time:141131
hit ratio:0.124247,time:141731
hit ratio:0.131648,time:166731
hit ratio:0.124286,time:166909
hit ratio:0.11617,time:167059
hit ratio:0.113566,time:167176
hit ratio:0.106125,time:167361
hit ratio:0.101346,time:167568
hit ratio:0.100497,time:174906
hit ratio:0.102406,time:193574
hit ratio:0.0979741,time:193768
hit ratio:0.0936506,time:193930
hit ratio:0.105002,time:223217
hit ratio:0.10012,time:223803
hit ratio:0.0959567,time:224412
hit ratio:0.0943727,time:225233
hit ratio:0.107756,time:274527
hit ratio:0.119566,time:307533
hit ratio:0.115627,time:308280
hit ratio:0.111543,time:308859
hit ratio:0.109023,time:309423
hit ratio:0.121794,time:379945
hit ratio:0.121807,time:391216
hit ratio:0.118553,time:392455
hit ratio:0.11501,time:393490
hit ratio:0.112395,time:394533
hit ratio:0.124146,time:480366
EOF
hit ratio:0.135094,time:577477
num_requests:3351357,throughput:5.80345reqs/sec,
