LruTailAge Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 9965538,0,192,14289
alloc failed. 9965706,0,192,14290
alloc failed. 9965706,0,192,14291
alloc failed. 9965706,0,192,14292
alloc failed. 9965706,0,192,14293
alloc failed. 9965706,0,192,14305
alloc failed. 9965706,0,192,14306
alloc failed. 9965706,0,192,14310
alloc failed. 9965706,0,192,14312
alloc failed. 9965706,0,192,14313
alloc failed. 9965706,0,192,14317
alloc failed. 9965706,0,192,14319
alloc failed. 9965706,0,192,14329
hit ratio:0.381,time:55085
hit ratio:0.19231,time:55657
hit ratio:0.129423,time:56598
hit ratio:0.107165,time:57427
hit ratio:0.160288,time:124677
hit ratio:0.163858,time:140460
hit ratio:0.144411,time:141131
hit ratio:0.128284,time:141731
hit ratio:0.135969,time:166731
hit ratio:0.128557,time:166909
hit ratio:0.120065,time:167059
hit ratio:0.114578,time:167176
hit ratio:0.107729,time:167361
hit ratio:0.103109,time:167568
hit ratio:0.102252,time:174906
hit ratio:0.105394,time:193574
hit ratio:0.101037,time:193768
hit ratio:0.0966811,time:193930
hit ratio:0.108381,time:223217
hit ratio:0.104201,time:223803
hit ratio:0.100448,time:224412
hit ratio:0.0991491,time:225233
hit ratio:0.11272,time:274527
hit ratio:0.124688,time:307533
hit ratio:0.120722,time:308280
hit ratio:0.116807,time:308859
hit ratio:0.114799,time:309423
hit ratio:0.128064,time:379945
hit ratio:0.128159,time:391216
hit ratio:0.124882,time:392455
hit ratio:0.121529,time:393490
hit ratio:0.119386,time:394533
hit ratio:0.13131,time:480366
EOF
hit ratio:0.142803,time:577477
num_requests:3351357,throughput:5.80345reqs/sec,
