Cache Initialized. size: 256MB
alloc failed. 24146317,29860664,1052672,891257
alloc failed. 24146317,29862720,1011712,891258
alloc failed. 24146317,29864696,1052672,29957
alloc failed. 24146317,29866752,1044480,29958
alloc failed. 24146317,29868792,1052672,29959
alloc failed. 24146317,29870848,1044480,29960
alloc failed. 24146317,29872888,1052672,29961
alloc failed. 24146317,24623008,1052672,153547
hit ratio:0.65851,time:15082
hit ratio:0.57449,time:25522
hit ratio:0.617867,time:36647
hit ratio:0.578635,time:44262
hit ratio:0.563148,time:65696
hit ratio:0.594353,time:86055
hit ratio:0.605296,time:101511
hit ratio:0.610242,time:118016
hit ratio:0.601652,time:130790
hit ratio:0.602036,time:147573
hit ratio:0.620226,time:163976
hit ratio:0.608948,time:177348
hit ratio:0.614531,time:199156
hit ratio:0.622599,time:210335
hit ratio:0.611498,time:217517
hit ratio:0.614157,time:240147
hit ratio:0.619269,time:259018
hit ratio:0.622897,time:285511
hit ratio:0.628784,time:309943
hit ratio:0.607167,time:311599
hit ratio:0.58266,time:313336
hit ratio:0.57835,time:328819
hit ratio:0.58415,time:349496
hit ratio:0.588153,time:373135
hit ratio:0.585462,time:383082
hit ratio:0.583629,time:395242
hit ratio:0.585369,time:410003
hit ratio:0.590301,time:428070
hit ratio:0.590656,time:446171
hit ratio:0.598966,time:467822
hit ratio:0.595248,time:480517
hit ratio:0.59686,time:496888
hit ratio:0.601258,time:514714
hit ratio:0.600977,time:529386
hit ratio:0.607725,time:546792
hit ratio:0.604444,time:552900
hit ratio:0.60544,time:567952
hit ratio:0.606409,time:582925
hit ratio:0.609623,time:601110
EOF
hit ratio:0.609386,time:606815
num_requests:3937240,throughput:6.48837reqs/sec,
