Cache Initialized. size: 256MB
alloc failed. 24146317,29860664,1052672,891257
alloc failed. 24146317,29862720,1011712,891258
alloc failed. 24146317,29864696,1052672,29957
alloc failed. 24146317,29866752,1044480,29958
alloc failed. 24146317,29868792,1052672,29959
alloc failed. 24146317,29870848,1044480,29960
alloc failed. 24146317,29872888,1052672,29961
alloc failed. 24146317,24623008,1052672,153547
alloc failed. 24146317,24625064,1011712,408868
hit ratio:0.64948,time:15082
hit ratio:0.583605,time:25522
hit ratio:0.62187,time:36647
hit ratio:0.59025,time:44262
hit ratio:0.577284,time:65696
hit ratio:0.604978,time:86055
hit ratio:0.6178,time:101511
hit ratio:0.621691,time:118016
hit ratio:0.616817,time:130790
hit ratio:0.6158,time:147573
hit ratio:0.633278,time:163976
hit ratio:0.624647,time:177348
hit ratio:0.629327,time:199156
hit ratio:0.636382,time:210335
hit ratio:0.627978,time:217517
hit ratio:0.62965,time:240147
hit ratio:0.635119,time:259018
hit ratio:0.638223,time:285511
hit ratio:0.644043,time:309943
hit ratio:0.622343,time:311599
hit ratio:0.597584,time:313336
hit ratio:0.593244,time:328819
hit ratio:0.59852,time:349496
hit ratio:0.602284,time:373135
hit ratio:0.599637,time:383082
hit ratio:0.599018,time:395242
hit ratio:0.600448,time:410003
hit ratio:0.605284,time:428070
hit ratio:0.604958,time:446171
hit ratio:0.613131,time:467822
hit ratio:0.610768,time:480517
hit ratio:0.612173,time:496888
hit ratio:0.61664,time:514714
hit ratio:0.616091,time:529386
hit ratio:0.622876,time:546792
hit ratio:0.619507,time:552900
hit ratio:0.620736,time:567952
hit ratio:0.62146,time:582925
hit ratio:0.624683,time:601110
EOF
hit ratio:0.624558,time:606815
num_requests:3937240,throughput:6.48837reqs/sec,
