Marginal Hits init.Cache Initialized. size: 256MB
alloc failed. 24146317,29860664,1052672,891257
alloc failed. 24146317,29862720,1011712,891258
alloc failed. 24146317,29864696,1052672,29957
alloc failed. 24146317,29866752,1044480,29958
alloc failed. 24146317,29868792,1052672,29959
alloc failed. 24146317,29870848,1044480,29960
alloc failed. 24146317,29872888,1052672,29961
alloc failed. 24146317,24623008,1052672,153547
alloc failed. 24146317,24625064,1011712,408868
alloc failed. 24146317,24627040,1052672,29981
hit ratio:0.64949,time:15082
hit ratio:0.58362,time:25522
hit ratio:0.62188,time:36647
hit ratio:0.590258,time:44262
hit ratio:0.57729,time:65696
hit ratio:0.604983,time:86055
hit ratio:0.617804,time:101511
hit ratio:0.621695,time:118016
hit ratio:0.61682,time:130790
hit ratio:0.615803,time:147573
hit ratio:0.633281,time:163976
hit ratio:0.62465,time:177348
hit ratio:0.629329,time:199156
hit ratio:0.636384,time:210335
hit ratio:0.62798,time:217517
hit ratio:0.629652,time:240147
hit ratio:0.635121,time:259018
hit ratio:0.638224,time:285511
hit ratio:0.644045,time:309943
hit ratio:0.622344,time:311599
hit ratio:0.597586,time:313336
hit ratio:0.593245,time:328819
hit ratio:0.598521,time:349496
hit ratio:0.602285,time:373135
hit ratio:0.599638,time:383082
hit ratio:0.59902,time:395242
hit ratio:0.600449,time:410003
hit ratio:0.605285,time:428070
hit ratio:0.604959,time:446171
hit ratio:0.613132,time:467822
hit ratio:0.610769,time:480517
hit ratio:0.612174,time:496888
hit ratio:0.616641,time:514714
hit ratio:0.616092,time:529386
hit ratio:0.622877,time:546792
hit ratio:0.619508,time:552900
hit ratio:0.620737,time:567952
hit ratio:0.621461,time:582925
hit ratio:0.624683,time:601110
EOF
hit ratio:0.624559,time:606815
num_requests:3937240,throughput:6.48837reqs/sec,
