Marginal Hits init.Cache Initialized. size: 256MB
alloc failed. 19937710,49925015,524288,131523
alloc failed. 19937715,49927063,524288,349299
alloc failed. 19937715,49928087,524288,47897
alloc failed. 19937730,49937159,368640,214879
alloc failed. 19937740,49941983,438272,503774
alloc failed. 19937740,49942847,421888,49742
hit ratio:0.30057,time:23811
hit ratio:0.30347,time:48841
hit ratio:0.28979,time:64034
hit ratio:0.27162,time:72707
hit ratio:0.26243,time:82045
hit ratio:0.25506,time:90814
hit ratio:0.256864,time:105374
hit ratio:0.260694,time:128856
hit ratio:0.262191,time:147345
hit ratio:0.254903,time:154819
hit ratio:0.252307,time:164714
hit ratio:0.249969,time:174765
hit ratio:0.245761,time:183570
hit ratio:0.251194,time:207466
hit ratio:0.251981,time:227426
hit ratio:0.249872,time:237519
hit ratio:0.247939,time:246096
hit ratio:0.246785,time:255380
hit ratio:0.243184,time:262330
hit ratio:0.244097,time:276479
hit ratio:0.246228,time:299119
hit ratio:0.247768,time:317455
hit ratio:0.245489,time:325033
hit ratio:0.244617,time:334069
hit ratio:0.244286,time:343725
hit ratio:0.24258,time:351400
hit ratio:0.244687,time:370474
hit ratio:0.246017,time:393148
hit ratio:0.246543,time:408558
hit ratio:0.245012,time:415900
hit ratio:0.244665,time:425385
hit ratio:0.244321,time:434843
hit ratio:0.243774,time:447778
hit ratio:0.247124,time:482339
hit ratio:0.247684,time:499860
hit ratio:0.247327,time:514225
hit ratio:0.249485,time:540190
EOF
hit ratio:0.251951,time:567665
num_requests:3768450,throughput:6.63851reqs/sec,
