Hits Per Slab Rebalancing init. Cache Initialized. size: 2GB
hit ratio:0.35719,time:27649
hit ratio:0.3434,time:49187
hit ratio:0.322137,time:63392
hit ratio:0.301327,time:71397
hit ratio:0.292326,time:81036
hit ratio:0.285095,time:90155
hit ratio:0.291244,time:105877
hit ratio:0.297247,time:128590
hit ratio:0.299072,time:146497
hit ratio:0.291522,time:154158
hit ratio:0.286795,time:162445
hit ratio:0.283561,time:171605
hit ratio:0.279759,time:179957
hit ratio:0.283859,time:198617
hit ratio:0.286911,time:221475
hit ratio:0.287007,time:236240
hit ratio:0.28219,time:243035
hit ratio:0.28114,time:253480
hit ratio:0.278298,time:262199
hit ratio:0.278154,time:274912
hit ratio:0.281738,time:299539
hit ratio:0.28379,time:319192
hit ratio:0.281072,time:327012
hit ratio:0.279845,time:336289
hit ratio:0.27914,time:346657
hit ratio:0.278477,time:357712
hit ratio:0.281616,time:382578
hit ratio:0.282216,time:401028
hit ratio:0.281576,time:413236
hit ratio:0.280139,time:421973
hit ratio:0.279809,time:433265
hit ratio:0.279666,time:447982
hit ratio:0.283955,time:482966
hit ratio:0.284789,time:500546
hit ratio:0.285041,time:516704
hit ratio:0.287571,time:543276
EOF
hit ratio:0.290057,time:568780
num_requests:3664418,throughput:6.44259reqs/sec,
