Marginal Hits init. Cache Initialized. size: 4GB
hit ratio:0.35719,time:27649
hit ratio:0.357875,time:49187
hit ratio:0.33557,time:63392
hit ratio:0.316568,time:71397
hit ratio:0.305064,time:81036
hit ratio:0.298345,time:90155
hit ratio:0.303651,time:105877
hit ratio:0.310686,time:128590
hit ratio:0.312708,time:146497
hit ratio:0.30517,time:154158
hit ratio:0.300173,time:162445
hit ratio:0.297448,time:171605
hit ratio:0.293385,time:179957
hit ratio:0.297536,time:198617
hit ratio:0.300797,time:221475
hit ratio:0.301089,time:236240
hit ratio:0.296271,time:243035
hit ratio:0.295196,time:253480
hit ratio:0.292492,time:262199
hit ratio:0.292243,time:274912
hit ratio:0.296,time:299539
hit ratio:0.298324,time:319192
hit ratio:0.29565,time:327012
hit ratio:0.294289,time:336289
hit ratio:0.293934,time:346657
hit ratio:0.293077,time:357712
hit ratio:0.296449,time:382578
hit ratio:0.297101,time:401028
hit ratio:0.296561,time:413236
hit ratio:0.295013,time:421973
hit ratio:0.294934,time:433265
hit ratio:0.294717,time:447982
hit ratio:0.299101,time:482966
hit ratio:0.300056,time:500546
hit ratio:0.300567,time:516704
hit ratio:0.303218,time:543276
EOF
hit ratio:0.305924,time:568780
num_requests:3664418,throughput:6.44259reqs/sec,
