Cache Initialized. size: 16GB
hit ratio:0.35719,time:27649
hit ratio:0.35807,time:49187
hit ratio:0.34497,time:63392
hit ratio:0.331962,time:71397
hit ratio:0.326324,time:81036
hit ratio:0.326738,time:90155
hit ratio:0.342207,time:105877
hit ratio:0.370571,time:128590
hit ratio:0.371169,time:146497
hit ratio:0.365372,time:154158
hit ratio:0.363423,time:162445
hit ratio:0.358152,time:171605
hit ratio:0.357131,time:179957
hit ratio:0.362664,time:198617
hit ratio:0.372825,time:221475
hit ratio:0.371228,time:236240
hit ratio:0.367126,time:243035
hit ratio:0.364066,time:253480
hit ratio:0.361686,time:262199
hit ratio:0.364365,time:274912
hit ratio:0.371906,time:299539
hit ratio:0.37361,time:319192
hit ratio:0.372172,time:327012
hit ratio:0.36932,time:336289
hit ratio:0.367094,time:346657
hit ratio:0.36776,time:357712
hit ratio:0.373959,time:382578
hit ratio:0.378996,time:401028
hit ratio:0.377229,time:413236
hit ratio:0.377982,time:421973
hit ratio:0.376269,time:433265
hit ratio:0.378837,time:447982
hit ratio:0.387201,time:482966
hit ratio:0.392761,time:500546
hit ratio:0.397143,time:516704
hit ratio:0.401265,time:543276
EOF
hit ratio:0.40501,time:568780
num_requests:3664418,throughput:6.44259reqs/sec,
