Eviction Algo,total_attempts,StrtgyTriggered,TriggeredByFailAlloc,FreeAllocAbvThrsld,FreeMemNotAlloc,invalid class id,rDHpS < vPDHpS,improv.< minDiff,improv.< diffRatio * vPDHpS,Final Miss Ratio,minDiff,diffRatio,minSlabs,numSlabsFreeMem,minLTA,maxLTA
Sieve,94,29,8,0,0,0,5,1,51,0.19251200000000002,100,0.150000,1,2,0,0
Sieve,101,14,9,0,0,0,28,0,49,0.22523000000000004,70,0.250000,2,3,0,0
Sieve,123,14,9,0,0,0,50,0,49,0.216615,80,0.250000,2,4,0,0
Sieve,108,10,8,0,0,0,68,1,20,0.24094499999999996,100,0.100000,3,4,0,0
Sieve,373,7,7,0,0,0,354,0,4,0.27029099999999995,30,0.200000,4,3,0,0
Sieve,111,2,8,0,0,100,0,0,0,0.29015899999999994,100,0.100000,5,2,0,0
Sieve,137,3,9,0,0,124,0,0,0,0.31105400000000005,30,0.200000,4,4,0,0
Sieve,91,19,9,0,0,0,4,0,58,0.19054099999999996,40,0.200000,1,3,0,0
Sieve,343,159,9,0,0,0,154,3,19,0.19363600000000003,60,0.050000,1,3,0,0
Sieve,112,32,8,0,0,0,13,0,58,0.19131399999999998,20,0.200000,1,2,0,0
Sieve,130,1,9,0,0,118,0,1,0,0.30680300000000005,20,0.250000,5,3,0,0
Sieve,103,14,8,0,0,0,50,0,30,0.21174700000000002,60,0.150000,2,2,0,0
Sieve,107,2,8,0,0,95,0,1,0,0.29015899999999994,50,0.250000,4,1,0,0
Sieve,105,12,8,0,0,0,54,0,30,0.246792,20,0.150000,3,2,0,0
Sieve,114,1,9,0,0,102,0,1,0,0.30678700000000003,20,0.250000,5,1,0,0
Sieve,111,38,8,0,0,0,41,0,23,0.19113800000000003,20,0.150000,1,3,0,0
Sieve,118,1,9,0,0,106,0,1,0,0.306673,50,0.100000,5,5,0,0
Sieve,119,2,8,0,0,107,0,1,0,0.29027899999999995,50,0.150000,4,5,0,0
Sieve,107,21,8,0,0,0,51,0,26,0.21075699999999997,30,0.150000,2,5,0,0
Sieve,129,9,9,0,0,0,103,0,7,0.25778199999999996,40,0.100000,3,1,0,0
Sieve,109,2,7,0,0,99,0,0,0,0.29041799999999995,70,0.250000,5,4,0,0
Sieve,569,6,9,0,0,552,0,1,1,0.311395,30,0.150000,4,2,0,0
Sieve,107,2,8,0,0,96,0,0,0,0.290231,100,0.150000,5,4,0,0
Sieve,97,39,8,0,0,0,37,0,12,0.19267900000000004,90,0.100000,1,4,0,0
Sieve,120,2,8,0,0,108,0,1,0,0.290249,60,0.150000,4,5,0,0
Sieve,489,205,9,0,0,0,72,6,201,0.194596,100,0.150000,1,4,0,0
Sieve,157,1,9,0,0,145,0,1,0,0.30674599999999996,70,0.050000,5,5,0,0
Sieve,118,2,7,0,0,0,107,0,1,0.270274,10,0.200000,4,4,0,0
Sieve,166,16,9,0,0,0,62,0,78,0.257869,40,0.250000,3,5,0,0
Sieve,103,51,9,0,0,0,38,0,4,0.192044,30,0.050000,1,2,0,0
Sieve,137,20,8,0,0,0,96,0,12,0.24283,20,0.050000,3,4,0,0
Sieve,124,3,9,0,0,111,0,0,0,0.31160200000000005,70,0.250000,4,1,0,0
Sieve,137,3,8,0,0,125,0,0,0,0.29068099999999997,30,0.100000,4,5,0,0
Sieve,117,2,8,0,0,106,0,0,0,0.290218,20,0.200000,5,4,0,0
Sieve,148,1,9,0,0,137,0,0,0,0.30649800000000005,30,0.200000,5,3,0,0
Sieve,101,51,9,0,0,0,33,1,7,0.19377,50,0.100000,1,2,0,0
Sieve,139,1,9,0,0,127,0,1,0,0.30666400000000005,40,0.200000,5,2,0,0
Sieve,104,30,9,0,0,0,22,0,42,0.19263300000000005,80,0.200000,1,3,0,0
Sieve,245,53,8,0,0,0,91,0,92,0.21859300000000004,100,0.250000,2,1,0,0
Sieve,112,31,9,0,0,0,50,0,21,0.22176399999999996,60,0.050000,2,1,0,0
Sieve,110,2,8,0,0,99,0,0,0,0.290443,50,0.150000,4,3,0,0
Sieve,352,114,7,0,0,0,187,1,42,0.20888600000000002,90,0.100000,2,4,0,0
Sieve,117,2,9,0,0,105,0,0,0,0.311555,10,0.250000,4,2,0,0
Sieve,105,18,8,0,0,0,7,0,71,0.19031699999999996,40,0.250000,1,4,0,0
Sieve,99,35,8,0,0,0,46,0,9,0.21033500000000005,70,0.050000,2,3,0,0
Sieve,102,12,8,0,0,0,73,2,7,0.24192899999999995,70,0.050000,3,3,0,0
Sieve,130,1,9,0,0,119,0,0,0,0.306693,60,0.100000,5,3,0,0
Sieve,110,17,8,0,0,0,75,1,8,0.24210299999999996,20,0.050000,3,5,0,0
Sieve,231,58,9,0,0,0,36,0,127,0.19210000000000005,10,0.250000,1,5,0,0
Sieve,110,2,8,0,0,98,0,1,0,0.290165,70,0.050000,4,1,0,0
Sieve,252,83,9,0,0,0,57,1,102,0.19240900000000005,20,0.150000,1,1,0,0
Sieve,119,2,8,0,0,108,0,0,0,0.290154,20,0.100000,5,1,0,0
Sieve,110,2,8,0,0,99,0,0,0,0.29016600000000004,80,0.050000,5,2,0,0
