Eviction Algo,total_attempts,StrtgyTriggered,TriggeredByFailAlloc,FreeAllocAbvThrsld,FreeMemNotAlloc,vPTA < rTA,improv. < minTailAgeDifference,improv. < diffRatio * vPTA,Final Miss Ratio,minSlabs,tailAgeDifferenceRatio,minTailAgeDifference,numSlabsFreeMem,slabProjectionLength
Lru,469,16,0,0,0,0,452,5,0.393397,5,0.250000,50,4,4
Lru,497,0,0,0,0,0,496,1,0.392629,2,0.200000,50,3,4
Lru,416,47,0,0,0,0,368,0,0.394451,1,0.150000,30,4,3
Lru,446,0,0,0,0,0,445,8,0.392629,5,0.250000,110,1,2
Lru,149,0,0,0,0,0,148,0,0.392629,4,0.050000,40,3,4
Lru,137,0,0,0,0,0,136,0,0.392629,1,0.150000,30,1,1
Lru,147,0,0,0,0,0,146,1,0.392629,4,0.200000,70,3,2
Lru,139,0,0,0,0,0,138,2,0.392629,1,0.250000,70,4,1
Lru,156,0,0,0,0,0,155,3,0.392629,2,0.250000,110,3,2
Lru,141,0,0,0,0,0,140,0,0.392629,1,0.200000,130,4,5
Lru,147,0,0,0,0,0,146,0,0.392629,3,0.100000,50,3,5
Lru,147,0,0,0,0,0,146,3,0.392629,3,0.250000,70,2,3
Lru,368,0,0,0,0,0,367,0,0.392629,2,0.050000,100,1,1
Lru,135,0,0,0,0,0,134,0,0.392629,3,0.050000,120,1,1
Lru,129,0,0,0,0,0,128,0,0.392629,4,0.200000,110,5,4
Lru,142,0,0,0,0,0,141,1,0.392629,1,0.200000,20,4,4
Lru,138,0,0,0,0,0,137,1,0.392629,1,0.250000,90,3,3
Lru,139,0,0,0,0,0,138,0,0.392629,4,0.200000,70,4,1
Lru,143,0,0,0,0,0,142,0,0.392629,4,0.100000,110,5,4
Lru,145,0,0,0,0,0,144,2,0.392629,5,0.200000,30,1,4
Lru,135,0,0,0,0,0,134,0,0.392629,1,0.100000,130,3,5
Lru,125,13,0,0,0,0,111,0,0.39318200000000003,4,0.050000,10,2,1
Lru,133,0,0,0,0,0,132,0,0.392629,4,0.100000,80,3,4
Lru,441,0,0,0,0,0,440,1,0.392629,3,0.100000,70,3,2
Lru,173,0,0,0,0,0,172,0,0.392629,3,0.100000,20,3,4
Lru,136,0,0,0,0,0,135,1,0.392629,1,0.200000,20,5,2
Lru,141,0,0,0,0,0,140,0,0.392629,2,0.150000,120,3,3
Lru,144,0,0,0,0,0,143,0,0.392629,3,0.150000,90,4,4
Lru,142,0,0,0,0,0,141,2,0.392629,1,0.200000,100,1,1
Lru,138,0,0,0,0,0,137,0,0.392629,3,0.150000,30,5,5
Lru,156,0,0,0,0,0,155,0,0.392629,4,0.100000,30,3,1
Lru,137,0,0,0,0,0,136,0,0.392629,5,0.050000,40,5,2
Lru,155,0,0,0,0,0,154,0,0.392629,4,0.050000,120,4,5
Lru,128,0,0,0,0,0,127,2,0.392629,3,0.250000,120,4,5
Lru,124,0,0,0,0,0,123,0,0.392629,3,0.100000,70,3,4
Lru,146,0,0,0,0,0,145,0,0.392629,5,0.050000,20,4,3
Lru,151,0,0,0,0,0,150,6,0.392629,1,0.250000,70,1,4
Lru,142,0,0,0,0,0,141,0,0.392629,2,0.100000,30,2,3
Lru,152,22,0,0,0,0,129,0,0.393174,2,0.100000,10,5,5
Lru,162,0,0,0,0,0,161,1,0.392629,5,0.200000,110,1,2
Lru,142,0,0,0,0,0,141,0,0.392629,5,0.200000,90,2,5
Lru,393,0,0,0,0,0,392,0,0.392629,4,0.100000,70,5,5
Lru,137,0,0,0,0,0,136,0,0.392629,5,0.150000,120,2,5
Lru,153,0,0,0,0,0,152,1,0.392629,4,0.250000,20,5,1
Lru,138,0,0,0,0,0,137,0,0.392629,5,0.150000,30,2,4
Lru,139,0,0,0,0,0,138,0,0.392629,2,0.100000,70,3,2
Lru,132,0,0,0,0,0,131,0,0.392629,5,0.150000,60,5,2
Lru,165,0,0,0,0,0,164,0,0.392629,4,0.050000,90,2,4
Lru,140,0,0,0,0,0,139,0,0.392629,2,0.200000,80,1,5
Lru,158,0,0,0,0,0,157,0,0.392629,4,0.200000,40,3,2
Lru,146,0,0,0,0,0,145,1,0.392629,2,0.250000,60,5,5
Lru,501,0,0,0,0,0,500,0,0.392629,4,0.150000,80,4,3
Lru,138,0,0,0,0,0,137,0,0.392629,1,0.050000,20,2,3
Lru,135,0,0,0,0,0,134,0,0.392629,3,0.050000,90,2,2
Lru,134,0,0,0,0,0,133,0,0.392629,1,0.100000,30,4,5
Lru,130,0,0,0,0,0,129,0,0.392629,3,0.100000,20,1,5
Lru,137,0,0,0,0,0,136,0,0.392629,3,0.050000,20,5,1
Lru,134,0,0,0,0,0,133,0,0.392629,1,0.150000,90,3,5
Lru,125,0,0,0,0,0,124,1,0.392629,4,0.250000,110,4,2
Lru,155,0,0,0,0,0,154,0,0.392629,1,0.100000,60,2,2
Lru,407,45,0,0,0,0,361,0,0.39444500000000005,4,0.050000,30,2,2
Lru,425,48,0,0,0,0,376,1,0.39427,1,0.200000,30,3,5
Lru,132,0,0,0,0,0,131,0,0.392629,4,0.100000,110,5,3
Lru,127,0,0,0,0,0,126,0,0.392629,4,0.150000,20,3,5
Lru,149,0,0,0,0,0,148,0,0.392629,3,0.050000,100,2,3
Lru,138,0,0,0,0,0,137,0,0.392629,3,0.150000,60,5,2
Lru,134,0,0,0,0,0,133,0,0.392629,1,0.050000,60,2,4
Lru,164,0,0,0,0,0,163,0,0.392629,3,0.100000,70,5,1
Lru,141,0,0,0,0,0,140,1,0.392629,5,0.250000,90,5,5
Lru,154,0,0,0,0,0,153,0,0.392629,2,0.100000,40,3,5
Lru,138,0,0,0,0,0,137,0,0.392629,5,0.050000,130,5,2
Lru,139,0,0,0,0,0,138,0,0.392629,3,0.050000,90,5,1
Lru,142,0,0,0,0,0,141,0,0.392629,1,0.150000,60,2,3
Lru,153,0,0,0,0,0,152,5,0.392629,1,0.250000,70,2,2
Lru,137,0,0,0,0,0,136,0,0.392629,2,0.200000,50,3,1
Lru,150,0,0,0,0,0,149,0,0.392629,3,0.100000,130,1,5
Lru,123,0,0,0,0,0,122,0,0.392629,3,0.200000,20,1,2
Lru,136,0,0,0,0,0,135,0,0.392629,4,0.150000,20,1,2
Lru,135,0,0,0,0,0,134,0,0.392629,5,0.150000,100,5,2
Lru,133,0,0,0,0,0,132,0,0.392629,1,0.100000,20,3,4
Lru,144,0,0,0,0,0,143,0,0.392629,2,0.100000,70,1,2
